,US1,US2,US3,US4,US5,US6,US7,US8,US9,US10,US11,US12,US13,US14,US15,US16,US17,US18,US19,US20,US21,US22,US23,US24,CLASS
12,0.48100000000000004,0.544,3.658,3.678,5.0,2.926,5.0,2.6060000000000003,2.303,2.6189999999999998,1.6680000000000001,1.643,1.651,1.275,0.723,0.581,0.495,0.486,0.49700000000000005,0.47700000000000004,0.45899999999999996,0.47200000000000003,0.484,0.47200000000000003,Sharp-Right-Turn
13,0.484,0.544,3.661,3.665,5.0,2.928,5.0,2.3209999999999997,2.3040000000000003,5.022,1.6469999999999998,1.639,1.646,1.27,0.757,0.623,0.493,0.484,0.495,0.48,0.461,0.474,0.485,0.47600000000000003,Sharp-Right-Turn
14,0.484,0.532,3.6689999999999996,3.662,2.945,2.926,5.0,2.326,2.306,2.62,1.6480000000000001,1.639,1.646,1.27,0.76,0.5329999999999999,0.493,0.483,0.494,0.507,0.461,0.473,0.486,0.47600000000000003,Sharp-Right-Turn
15,0.48200000000000004,0.52,3.685,3.6639999999999997,2.952,2.927,5.0,2.9810000000000003,2.307,2.329,1.65,1.64,1.6440000000000001,1.268,0.757,0.5329999999999999,0.49200000000000005,0.48200000000000004,0.49200000000000005,0.513,0.45899999999999996,0.474,0.485,0.474,Sharp-Right-Turn
16,0.48100000000000004,0.522,3.682,3.661,2.955,2.927,2.957,2.984,1.7,2.622,1.651,1.641,1.645,1.272,0.7609999999999999,0.53,0.49200000000000005,0.48200000000000004,0.49200000000000005,0.513,0.462,0.486,0.483,0.473,Sharp-Right-Turn
17,0.48,0.525,3.694,3.6639999999999997,2.948,2.926,2.95,2.995,1.6969999999999998,2.6189999999999998,1.651,1.642,1.646,1.2690000000000001,0.762,0.53,0.493,0.48200000000000004,0.49200000000000005,0.516,0.462,0.486,0.483,0.473,Sharp-Right-Turn
18,0.48100000000000004,0.515,5.018,3.6639999999999997,2.9560000000000004,2.927,2.947,2.9930000000000003,1.6969999999999998,2.622,1.651,1.641,1.645,1.2690000000000001,0.765,0.5920000000000001,0.489,0.48200000000000004,0.495,0.531,0.462,0.499,0.483,0.473,Sharp-Right-Turn
19,0.479,5.0,3.696,3.661,2.9530000000000003,2.927,2.944,2.9930000000000003,1.702,2.622,1.649,1.642,1.645,1.2690000000000001,0.812,0.588,0.489,0.48100000000000004,0.491,0.51,0.462,0.48100000000000004,0.483,0.473,Sharp-Right-Turn
20,0.48,0.506,5.019,3.665,2.9410000000000003,2.929,2.945,2.9810000000000003,1.7,2.616,1.652,1.642,1.645,1.271,0.8140000000000001,0.643,0.491,0.48,0.493,0.524,0.461,0.469,0.484,0.473,Sharp-Right-Turn
21,0.479,5.0,5.019,3.661,2.943,2.93,2.9419999999999997,2.9960000000000004,1.6980000000000002,2.312,1.653,1.642,1.6440000000000001,1.274,0.8109999999999999,0.617,0.491,0.479,0.491,0.575,0.461,0.465,0.484,0.473,Sharp-Right-Turn
22,0.479,5.0,5.02,3.662,2.945,2.931,2.9419999999999997,2.997,1.7,2.313,1.6540000000000001,1.642,1.6440000000000001,1.27,0.9079999999999999,0.616,0.49,0.478,0.489,0.503,0.46,0.46,0.478,0.473,Slight-Right-Turn
23,0.48100000000000004,0.508,5.021,3.66,2.9539999999999997,2.9360000000000004,2.946,2.966,1.705,2.313,1.6540000000000001,1.643,1.643,1.27,1.689,0.6779999999999999,0.493,0.47700000000000004,0.483,0.49700000000000005,0.467,0.45899999999999996,0.47600000000000003,0.473,Slight-Right-Turn
24,0.486,0.51,0.522,3.662,2.958,2.938,2.9389999999999996,2.627,1.7069999999999999,2.314,1.659,1.643,1.639,1.665,1.702,0.696,0.516,0.47600000000000003,0.47700000000000004,0.547,0.465,0.457,0.47,0.474,Slight-Right-Turn
25,0.479,0.521,0.52,3.6630000000000003,2.9539999999999997,2.938,2.9410000000000003,2.957,1.712,2.314,1.66,1.643,1.6380000000000001,1.66,1.758,0.688,0.534,0.475,0.475,0.489,0.461,0.456,0.465,0.474,Slight-Right-Turn
26,0.48,0.5539999999999999,0.521,3.6639999999999997,2.9539999999999997,2.938,2.9410000000000003,2.6319999999999997,1.715,2.313,1.66,1.643,1.6369999999999998,1.656,1.761,0.687,0.5529999999999999,0.475,0.474,0.5579999999999999,0.462,0.45299999999999996,0.465,0.47600000000000003,Slight-Right-Turn
27,0.48100000000000004,0.511,5.023,3.665,2.9539999999999997,2.937,2.9410000000000003,2.627,1.7069999999999999,2.312,1.66,1.641,1.636,1.655,1.756,0.687,0.545,0.475,0.475,0.504,0.46299999999999997,0.45799999999999996,0.47,0.47700000000000004,Slight-Right-Turn
28,0.48200000000000004,0.528,0.524,3.665,2.9530000000000003,2.937,2.94,2.6289999999999996,1.706,2.312,1.6569999999999998,1.64,1.635,1.6540000000000001,1.756,0.5660000000000001,0.5489999999999999,0.475,0.47600000000000003,0.505,0.46399999999999997,0.45899999999999996,0.46799999999999997,0.47700000000000004,Slight-Right-Turn
29,0.48200000000000004,0.529,0.521,3.665,2.9560000000000004,2.94,2.94,2.627,1.706,2.312,1.656,1.64,1.635,1.6540000000000001,1.756,0.5660000000000001,0.556,0.475,0.47600000000000003,0.502,0.46299999999999997,0.45899999999999996,0.46799999999999997,0.47700000000000004,Slight-Right-Turn
30,0.48200000000000004,0.525,0.524,3.665,2.9530000000000003,2.94,2.94,2.63,1.709,2.311,1.66,1.64,1.635,1.6540000000000001,1.756,0.563,0.542,0.475,0.47600000000000003,0.488,0.46399999999999997,0.45899999999999996,0.46799999999999997,0.478,Slight-Right-Turn
31,0.48200000000000004,0.512,0.524,3.665,2.9530000000000003,2.94,2.94,2.6289999999999996,1.709,2.311,1.66,1.64,1.635,1.6540000000000001,1.755,0.563,0.545,0.475,0.475,0.485,0.46399999999999997,0.45899999999999996,0.46799999999999997,0.478,Slight-Right-Turn
32,0.484,0.514,0.525,3.667,2.9539999999999997,2.938,2.9410000000000003,2.957,1.7069999999999999,2.31,1.6580000000000001,1.6380000000000001,1.633,1.652,1.7530000000000001,0.682,0.535,0.475,0.475,0.544,0.465,0.457,0.469,0.483,Slight-Right-Turn
33,0.48700000000000004,0.5329999999999999,0.525,3.6689999999999996,2.955,2.9410000000000003,2.938,2.958,1.7080000000000002,2.307,1.652,1.635,1.629,1.6480000000000001,1.749,0.535,0.541,0.474,0.474,0.525,0.46799999999999997,0.45899999999999996,0.47100000000000003,0.483,Slight-Right-Turn
34,0.49200000000000005,0.537,0.532,3.673,2.9560000000000004,2.9419999999999997,2.9419999999999997,3.472,1.704,2.3040000000000003,1.6469999999999998,1.63,1.624,1.646,1.744,0.526,0.545,0.474,0.473,0.486,0.47100000000000003,0.462,0.474,0.488,Slight-Right-Turn
35,0.494,0.539,0.5379999999999999,3.677,2.9560000000000004,2.9419999999999997,2.9389999999999996,3.053,1.695,2.298,1.645,1.624,1.618,1.639,1.78,0.526,0.53,0.474,0.473,0.542,0.47600000000000003,0.467,0.478,0.498,Slight-Right-Turn
36,0.501,0.539,5.024,3.681,2.96,2.943,2.9419999999999997,3.738,2.596,2.294,1.635,1.617,1.611,1.635,1.7280000000000002,0.523,0.541,0.474,0.473,0.495,0.48100000000000004,0.47200000000000003,0.483,0.505,Slight-Right-Turn
37,0.509,0.546,5.0280000000000005,3.687,5.0,2.944,2.9419999999999997,2.963,2.589,2.286,1.6340000000000001,1.61,1.609,1.621,1.662,0.526,0.541,0.47700000000000004,0.47200000000000003,0.488,0.48700000000000004,0.47700000000000004,0.488,0.513,Slight-Right-Turn
38,0.517,0.5539999999999999,5.025,3.695,2.969,2.945,2.943,2.986,1.682,2.28,1.633,1.604,1.6030000000000002,1.611,1.646,0.524,0.5529999999999999,0.48700000000000004,0.47100000000000003,0.483,0.493,0.483,0.494,0.525,Slight-Right-Turn
39,0.526,0.56,5.026,3.701,5.0,2.945,2.943,2.6,1.67,2.273,1.6280000000000001,1.595,1.59,1.6019999999999999,0.5760000000000001,0.705,0.5489999999999999,0.47700000000000004,0.47100000000000003,0.483,0.503,0.49,0.5,0.528,Sharp-Right-Turn
40,0.535,0.568,0.67,3.707,5.0,2.949,2.943,2.588,1.662,2.266,5.0,1.5859999999999999,1.581,1.5919999999999999,1.62,0.6990000000000001,0.542,0.47600000000000003,0.47100000000000003,0.48200000000000004,0.5,0.49700000000000005,0.506,0.54,Slight-Right-Turn
41,0.544,0.5589999999999999,5.029,3.7119999999999997,5.0,2.948,2.943,2.582,1.6540000000000001,1.6480000000000001,5.0,1.58,1.5719999999999998,1.579,1.607,0.525,0.5720000000000001,0.47600000000000003,0.47100000000000003,0.48200000000000004,0.514,0.504,0.513,0.5529999999999999,Slight-Right-Turn
42,0.5529999999999999,0.565,5.026,3.718,5.0,2.948,2.943,2.577,1.646,1.64,5.0,1.571,1.5619999999999998,1.57,1.597,0.526,0.5920000000000001,0.47600000000000003,0.47,0.48200000000000004,0.521,0.511,0.523,0.5670000000000001,Slight-Right-Turn
43,0.562,0.574,5.026,3.728,3.7569999999999997,2.949,2.943,1.661,1.6369999999999998,1.631,5.0,1.561,1.5530000000000002,1.56,1.587,0.701,0.5579999999999999,0.47600000000000003,0.47,0.48100000000000004,0.529,0.518,0.53,0.573,Slight-Right-Turn
44,0.5720000000000001,0.583,5.023,3.7310000000000003,3.7769999999999997,2.9530000000000003,2.943,2.96,1.631,1.625,5.0,1.554,1.5419999999999998,1.5530000000000002,1.179,0.6890000000000001,0.58,0.47700000000000004,0.47,0.48100000000000004,0.537,0.525,0.534,0.581,Slight-Right-Turn
45,0.5820000000000001,0.593,5.029,3.74,3.786,2.9560000000000004,2.943,2.9530000000000003,2.541,2.231,1.558,1.541,1.5319999999999998,1.5419999999999998,1.167,0.742,0.573,0.47700000000000004,0.47,0.48100000000000004,0.5479999999999999,0.536,0.545,0.59,Slight-Right-Turn
46,0.591,0.599,5.0,3.003,3.7910000000000004,2.96,2.943,2.9589999999999996,2.535,2.224,1.5519999999999998,1.531,1.5219999999999998,1.5290000000000001,1.159,0.7290000000000001,0.53,0.47700000000000004,0.47100000000000003,0.48,0.556,0.541,0.552,0.6,Slight-Right-Turn
47,0.6,0.608,5.0280000000000005,3.0010000000000003,3.7689999999999997,2.967,2.943,2.9530000000000003,2.529,2.217,5.0,1.5230000000000001,1.5130000000000001,1.5190000000000001,1.151,0.73,0.57,0.47700000000000004,0.47100000000000003,0.48100000000000004,0.5760000000000001,0.551,0.5820000000000001,0.609,Slight-Right-Turn
48,0.604,0.62,5.0280000000000005,3.0010000000000003,3.765,5.0,2.943,2.952,2.526,2.211,1.5319999999999998,1.511,1.504,1.51,1.143,0.8170000000000001,0.564,0.478,0.47100000000000003,0.48100000000000004,0.595,0.5579999999999999,0.5820000000000001,0.619,Slight-Right-Turn
49,0.607,0.628,5.0,2.998,3.77,5.0,2.9419999999999997,2.9539999999999997,2.523,2.204,1.524,1.5019999999999998,1.495,1.501,1.136,1.621,0.5760000000000001,0.478,0.47100000000000003,0.48100000000000004,0.609,0.5660000000000001,0.578,0.628,Slight-Right-Turn
50,0.617,0.634,5.0,3.7710000000000004,3.772,5.0,2.9419999999999997,2.957,2.5180000000000002,1.574,1.515,1.493,1.486,1.4909999999999999,1.128,1.6159999999999999,0.584,0.478,0.47200000000000003,0.48100000000000004,0.507,0.573,0.588,0.637,Slight-Right-Turn
51,0.623,0.643,5.0,3.7769999999999997,3.7739999999999996,5.0,2.9419999999999997,3.673,2.508,1.5619999999999998,1.5090000000000001,1.484,1.4769999999999999,1.482,1.589,1.607,0.578,0.479,0.47200000000000003,0.48100000000000004,5.0,0.584,0.585,0.647,Slight-Right-Turn
52,0.627,0.652,5.0,3.786,3.779,5.0,2.9410000000000003,5.0,2.502,1.554,1.4980000000000002,1.475,1.4669999999999999,1.472,1.129,0.754,0.583,0.48,0.473,0.48100000000000004,0.5,0.5920000000000001,0.589,0.6559999999999999,Slight-Right-Turn
53,0.63,0.665,5.0,3.83,3.7880000000000003,2.9610000000000003,2.9410000000000003,5.0,2.502,2.176,1.489,1.466,1.4569999999999999,1.459,1.5719999999999998,0.748,0.599,0.49200000000000005,0.473,0.48200000000000004,0.5,0.6,0.597,0.6629999999999999,Slight-Right-Turn
54,0.644,0.674,5.0,5.0169999999999995,3.79,5.0,2.94,5.0,2.9010000000000002,2.171,1.483,1.456,1.4480000000000002,1.452,1.5630000000000002,1.574,0.589,0.49,0.474,0.48200000000000004,0.5,0.616,0.605,0.674,Slight-Right-Turn
55,0.67,0.684,5.0,5.016,3.795,2.9539999999999997,2.9389999999999996,5.0,2.895,2.164,1.476,1.4469999999999998,1.4380000000000002,1.439,1.554,1.571,0.627,0.491,0.475,0.483,0.501,0.7509999999999999,0.613,0.636,Slight-Right-Turn
56,0.6890000000000001,0.69,0.723,5.016,3.8339999999999996,2.957,2.9419999999999997,5.0,2.89,2.156,5.019,1.44,1.4280000000000002,1.429,1.545,1.5619999999999998,0.63,0.493,0.48700000000000004,0.486,0.504,0.625,0.617,0.64,Slight-Right-Turn
57,0.6990000000000001,0.7040000000000001,5.0,5.015,3.8089999999999997,5.0,2.9419999999999997,5.0,2.885,2.149,1.462,1.431,1.4180000000000001,1.419,1.472,1.5519999999999998,0.642,0.494,0.485,0.48700000000000004,0.653,0.773,0.629,0.6509999999999999,Slight-Right-Turn
58,0.706,0.7240000000000001,2.546,5.013,3.81,5.0,2.9410000000000003,2.963,2.8789999999999996,2.141,5.018,1.421,1.412,1.409,1.4369999999999998,1.54,0.632,0.495,0.486,0.48700000000000004,0.502,5.0,0.575,0.652,Slight-Right-Turn
59,0.716,0.7340000000000001,5.0,5.012,3.812,5.0,2.943,2.898,2.8760000000000003,2.1430000000000002,5.0169999999999995,1.412,1.399,1.4,1.4169999999999998,1.534,0.631,0.496,0.48700000000000004,0.485,0.502,5.0,0.578,0.654,Slight-Right-Turn
60,0.7290000000000001,0.726,5.0,5.012,3.82,5.0,5.0,2.947,2.8710000000000004,2.129,5.019,1.406,1.39,1.393,1.411,1.5230000000000001,0.639,0.501,0.488,0.486,5.0,0.6609999999999999,0.65,0.662,Slight-Right-Turn
61,0.735,0.736,0.787,5.01,3.822,5.0,2.9410000000000003,2.9389999999999996,2.862,2.122,2.126,1.3969999999999998,1.38,1.383,1.4040000000000001,1.423,0.6629999999999999,0.502,0.49,0.48700000000000004,0.6859999999999999,0.67,0.6579999999999999,0.669,Slight-Right-Turn
62,0.7440000000000001,0.7509999999999999,5.0,5.013,3.826,5.0,2.9410000000000003,2.9339999999999997,2.8569999999999998,2.115,2.115,1.3880000000000001,1.374,1.37,1.3940000000000001,1.413,0.659,0.504,0.491,0.489,0.7,0.6779999999999999,0.6659999999999999,0.677,Slight-Right-Turn
63,0.757,0.753,5.0,5.011,3.83,5.0,2.9389999999999996,2.932,2.852,2.11,2.104,1.38,1.365,1.361,1.3840000000000001,1.409,0.665,0.506,0.496,0.491,0.514,0.69,0.674,0.685,Slight-Right-Turn
64,0.7190000000000001,0.7659999999999999,0.813,5.01,3.835,5.0,2.9410000000000003,2.93,2.8489999999999998,2.415,2.0980000000000003,1.374,1.3559999999999999,1.354,1.37,1.406,0.541,0.542,0.498,0.494,0.508,0.696,0.6829999999999999,0.693,Slight-Right-Turn
65,0.7240000000000001,0.7559999999999999,5.0,5.0089999999999995,3.839,5.0,2.9360000000000004,2.928,2.843,2.414,2.0869999999999997,1.365,1.349,1.344,1.36,1.473,0.5429999999999999,0.514,0.5,0.496,0.52,0.705,0.6920000000000001,0.7020000000000001,Move-Forward
66,0.733,0.764,0.8109999999999999,5.004,3.844,5.0,2.9360000000000004,2.926,2.8360000000000003,2.416,2.0780000000000003,1.393,1.367,1.33,1.345,1.465,0.5429999999999999,0.595,0.502,0.498,0.513,0.711,0.701,0.711,Move-Forward
67,0.741,0.7759999999999999,0.845,0.833,3.8489999999999998,5.0,2.931,2.923,2.83,2.412,2.072,1.459,1.367,1.32,1.335,1.3630000000000002,0.5489999999999999,0.575,0.504,0.499,0.512,0.7240000000000001,0.71,0.7190000000000001,Move-Forward
68,0.828,0.7809999999999999,0.8170000000000001,0.848,3.8539999999999996,5.0,2.929,2.918,2.824,2.827,2.06,1.463,1.35,1.31,1.325,1.3459999999999999,0.552,0.578,0.53,0.501,0.7509999999999999,0.7340000000000001,0.7190000000000001,0.731,Move-Forward
69,0.7609999999999999,0.816,0.8340000000000001,5.0,3.859,5.0,2.938,2.9139999999999997,2.8160000000000003,2.405,2.05,1.455,1.341,1.298,1.3130000000000002,1.331,1.355,0.5760000000000001,0.516,0.504,0.524,0.745,0.73,0.742,Move-Forward
70,0.772,0.8290000000000001,0.84,0.861,3.867,5.0,5.0,2.91,2.81,2.81,2.0380000000000003,1.442,1.294,1.285,1.297,1.317,1.341,0.575,0.524,0.507,0.527,0.76,0.742,0.767,Move-Forward
71,0.848,0.843,0.851,0.878,3.873,2.9419999999999997,5.0,2.906,2.8,2.7960000000000003,2.025,1.4240000000000002,1.28,1.271,1.2819999999999998,1.3019999999999998,0.5770000000000001,0.583,0.525,0.511,0.53,0.778,0.7559999999999999,0.802,Move-Forward
72,0.8,0.855,0.8690000000000001,0.903,3.8760000000000003,5.0,2.9160000000000004,2.9010000000000002,2.7889999999999997,2.7880000000000003,2.011,1.415,1.297,1.256,1.27,1.287,0.569,0.585,0.527,0.515,0.531,5.0,0.7709999999999999,0.878,Move-Forward
73,0.816,0.8740000000000001,0.885,4.997,3.8819999999999997,5.0,5.0,2.895,2.7769999999999997,2.773,1.996,1.392,1.262,1.239,1.254,1.273,0.574,0.603,0.532,0.52,0.532,5.0,0.787,0.897,Move-Forward
74,0.831,0.887,0.898,4.638999999999999,3.889,5.0,2.908,2.89,2.766,2.761,1.9809999999999999,1.375,1.273,1.2229999999999999,1.234,1.26,0.583,0.621,0.536,0.525,0.537,5.0,0.807,0.927,Move-Forward
75,0.851,0.907,0.914,4.638,3.8960000000000004,5.0,2.909,2.884,2.753,2.7460000000000004,1.965,1.36,1.218,1.206,1.219,1.246,1.273,0.557,0.539,0.53,0.545,5.0,0.611,0.8540000000000001,Move-Forward
76,0.868,0.924,0.935,4.636,3.903,5.0,2.8960000000000004,2.877,2.741,2.736,1.949,1.338,1.2009999999999998,1.188,1.199,1.357,1.4369999999999998,0.563,0.544,0.535,0.547,0.863,0.621,0.8640000000000001,Move-Forward
77,0.898,0.9420000000000001,0.9520000000000001,4.635,3.9130000000000003,5.0,2.886,2.87,2.727,2.719,1.932,1.3219999999999998,1.183,1.17,1.1840000000000002,1.345,1.391,0.569,0.55,0.541,0.5529999999999999,5.0,0.8590000000000001,0.892,Move-Forward
78,0.92,0.961,0.9740000000000001,4.637,3.917,5.0,2.883,2.864,2.713,2.7060000000000004,1.9140000000000001,1.3019999999999998,1.165,1.1520000000000001,1.165,1.1840000000000002,1.364,0.5720000000000001,0.557,0.5479999999999999,0.5589999999999999,5.0,0.878,0.91,Move-Forward
79,0.9390000000000001,0.9790000000000001,0.993,4.64,3.925,5.0,2.8789999999999996,2.8560000000000003,2.699,2.6919999999999997,1.8969999999999998,1.2819999999999998,1.146,1.133,1.146,1.319,0.9,0.579,0.563,0.5539999999999999,0.565,5.0,0.897,0.958,Move-Forward
80,0.958,0.9990000000000001,1.018,4.6419999999999995,3.9330000000000003,5.0,2.875,2.8489999999999998,2.685,2.681,1.879,1.318,1.127,1.114,1.126,1.306,0.8909999999999999,0.588,0.569,0.56,0.5720000000000001,5.0,0.917,0.925,Move-Forward
81,0.977,1.018,1.028,4.644,3.944,5.0,2.8680000000000003,2.842,2.6710000000000003,2.6660000000000004,1.86,1.129,1.107,1.094,1.104,1.129,0.883,0.595,0.5760000000000001,0.5670000000000001,0.578,5.0,0.937,0.945,Move-Forward
82,1.0,1.037,1.047,4.647,3.952,5.0,2.8539999999999996,2.835,2.656,2.653,1.84,1.107,1.088,1.075,1.085,1.107,0.875,0.602,0.5820000000000001,0.573,0.584,5.0,0.956,0.961,Move-Forward
83,1.015,1.056,1.0659999999999998,4.652,3.9589999999999996,5.0,2.85,2.827,2.6430000000000002,2.639,1.825,1.207,1.0659999999999998,1.056,1.0659999999999998,1.088,0.868,0.612,0.589,0.58,0.591,5.0,0.975,0.98,Move-Forward
84,1.033,1.074,1.084,4.6530000000000005,3.967,5.0,2.846,2.82,2.6289999999999996,2.625,1.807,1.305,1.048,1.037,1.047,1.073,1.263,0.615,0.596,0.586,0.597,5.0,0.9940000000000001,0.998,Move-Forward
85,1.055,1.092,1.102,5.0,3.9739999999999998,5.0,2.8360000000000003,2.813,2.612,2.6289999999999996,1.79,1.2819999999999998,1.0290000000000001,1.0190000000000001,1.032,1.054,1.249,1.3,0.602,0.593,0.604,5.0,1.013,1.0170000000000001,Move-Forward
86,1.117,1.11,1.12,5.0,3.9810000000000003,5.0,2.835,2.806,2.5989999999999998,2.613,1.774,1.2670000000000001,1.012,1.001,1.014,1.036,1.238,1.271,0.609,0.599,0.61,5.0,1.031,1.035,Move-Forward
87,1.1340000000000001,1.127,1.14,5.0,3.989,5.0,2.825,2.799,2.5860000000000003,2.61,1.561,1.248,0.993,0.983,0.993,1.014,1.228,1.248,0.615,0.606,0.616,0.7340000000000001,1.052,1.053,Move-Forward
88,1.1520000000000001,1.145,2.144,5.0,3.9960000000000004,5.0,2.822,2.792,2.573,2.597,1.7409999999999999,4.9239999999999995,0.976,0.966,0.975,1.0,0.6759999999999999,1.237,0.622,0.612,0.623,0.7509999999999999,1.071,1.071,Move-Forward
89,1.169,1.162,1.178,4.662,4.003,5.0,5.0,2.785,2.5610000000000004,2.0869999999999997,1.724,1.0959999999999999,0.9590000000000001,0.948,0.96,0.98,1.208,0.648,0.628,0.619,0.629,5.0,1.089,1.088,Move-Forward
90,1.186,1.179,2.324,4.663,4.01,5.0,5.0,2.778,2.548,2.07,1.706,0.968,0.9420000000000001,0.9309999999999999,0.943,0.9690000000000001,1.199,0.835,0.635,0.625,0.636,5.0,1.1059999999999999,1.1059999999999999,Move-Forward
91,1.203,1.196,2.335,4.669,4.0169999999999995,5.0,5.0,2.7710000000000004,2.536,2.052,1.693,0.948,0.925,0.914,0.927,0.945,1.19,0.665,0.6409999999999999,0.632,0.642,0.8029999999999999,1.124,1.123,Move-Forward
92,1.219,1.212,1.235,4.667,4.024,5.0,5.0,2.764,2.524,2.037,1.6780000000000002,0.932,0.909,0.898,0.91,0.929,1.182,0.6679999999999999,0.648,0.638,0.648,5.0,1.141,1.137,Sharp-Right-Turn
93,1.236,1.229,1.242,4.664,4.034,5.0,2.783,2.7569999999999997,2.511,1.672,1.662,0.915,0.892,0.8809999999999999,0.894,0.912,0.94,0.674,0.655,0.645,0.6559999999999999,5.0,1.158,1.155,Sharp-Right-Turn
94,1.213,1.246,1.271,4.666,4.075,5.0,2.7760000000000002,2.75,2.499,1.65,1.6440000000000001,0.898,0.875,0.8640000000000001,0.8740000000000001,0.893,1.165,0.828,0.6609999999999999,0.652,0.662,5.0,1.176,1.172,Sharp-Right-Turn
95,1.227,1.263,1.275,4.668,4.098,5.0,2.7689999999999997,2.7430000000000003,2.487,1.6340000000000001,1.6269999999999998,0.8809999999999999,0.858,0.847,0.857,0.8759999999999999,0.9059999999999999,0.823,0.6709999999999999,0.6579999999999999,0.669,0.8290000000000001,1.197,1.193,Sharp-Right-Turn
96,1.2830000000000001,1.276,1.286,4.67,4.086,5.0,2.7689999999999997,2.739,2.475,1.618,1.6119999999999999,0.8640000000000001,0.841,0.83,0.84,0.8590000000000001,0.8859999999999999,0.82,0.6679999999999999,0.66,0.675,0.81,1.217,1.2109999999999999,Sharp-Right-Turn
97,1.26,1.295,2.208,4.675,4.093,5.0,5.0,2.733,2.464,1.601,1.601,0.852,0.826,0.815,0.8240000000000001,0.846,0.87,0.6920000000000001,0.672,0.662,0.677,0.8220000000000001,1.2329999999999999,1.226,Sharp-Right-Turn
98,1.26,1.3090000000000002,2.391,4.678999999999999,4.092,5.0,5.0,2.727,2.454,1.588,1.589,0.836,0.812,0.8009999999999999,0.81,0.8320000000000001,0.86,0.698,0.674,0.667,0.6859999999999999,5.0,1.251,1.2409999999999999,Sharp-Right-Turn
99,1.264,1.314,1.3230000000000002,4.681,4.104,5.0,5.0,2.725,2.45,1.584,1.581,0.825,0.804,0.792,0.8009999999999999,0.898,0.846,0.7020000000000001,0.6779999999999999,0.67,0.691,5.0,5.0,1.249,Sharp-Right-Turn
