,Class Name,Left-Weight,Left-Distance,Right-Weight,Right-Distance
153,B,2,2,1,4
154,R,2,2,1,5
155,L,2,2,2,1
156,B,2,2,2,2
157,R,2,2,2,3
158,R,2,2,2,4
159,R,2,2,2,5
160,L,2,2,3,1
161,R,2,2,3,2
162,R,2,2,3,3
163,R,2,2,3,4
164,R,2,2,3,5
165,B,2,2,4,1
166,R,2,2,4,2
167,R,2,2,4,3
168,R,2,2,4,4
169,R,2,2,4,5
170,R,2,2,5,1
171,R,2,2,5,2
172,R,2,2,5,3
173,R,2,2,5,4
174,R,2,2,5,5
175,L,2,3,1,1
176,L,2,3,1,2
177,L,2,3,1,3
178,L,2,3,1,4
179,L,2,3,1,5
180,L,2,3,2,1
181,L,2,3,2,2
182,B,2,3,2,3
183,R,2,3,2,4
184,R,2,3,2,5
185,L,2,3,3,1
186,B,2,3,3,2
187,R,2,3,3,3
188,R,2,3,3,4
189,R,2,3,3,5
190,L,2,3,4,1
191,R,2,3,4,2
192,R,2,3,4,3
193,R,2,3,4,4
194,R,2,3,4,5
195,L,2,3,5,1
196,R,2,3,5,2
197,R,2,3,5,3
198,R,2,3,5,4
199,R,2,3,5,5
200,L,2,4,1,1
201,L,2,4,1,2
202,L,2,4,1,3
203,L,2,4,1,4
204,L,2,4,1,5
205,L,2,4,2,1
206,L,2,4,2,2
207,L,2,4,2,3
208,B,2,4,2,4
209,R,2,4,2,5
210,L,2,4,3,1
211,L,2,4,3,2
212,R,2,4,3,3
213,R,2,4,3,4
214,R,2,4,3,5
215,L,2,4,4,1
216,B,2,4,4,2
217,R,2,4,4,3
218,R,2,4,4,4
219,R,2,4,4,5
220,L,2,4,5,1
221,R,2,4,5,2
222,R,2,4,5,3
223,R,2,4,5,4
224,R,2,4,5,5
225,L,2,5,1,1
226,L,2,5,1,2
227,L,2,5,1,3
228,L,2,5,1,4
229,L,2,5,1,5
230,L,2,5,2,1
231,L,2,5,2,2
232,L,2,5,2,3
233,L,2,5,2,4
234,B,2,5,2,5
235,L,2,5,3,1
236,L,2,5,3,2
237,L,2,5,3,3
238,R,2,5,3,4
239,R,2,5,3,5
240,L,2,5,4,1
241,L,2,5,4,2
242,R,2,5,4,3
243,R,2,5,4,4
244,R,2,5,4,5
245,L,2,5,5,1
246,B,2,5,5,2
247,R,2,5,5,3
248,R,2,5,5,4
249,R,2,5,5,5
250,L,3,1,1,1
251,L,3,1,1,2
252,B,3,1,1,3
253,R,3,1,1,4
254,R,3,1,1,5
255,L,3,1,2,1
256,R,3,1,2,2
257,R,3,1,2,3
258,R,3,1,2,4
259,R,3,1,2,5
260,B,3,1,3,1
261,R,3,1,3,2
262,R,3,1,3,3
263,R,3,1,3,4
264,R,3,1,3,5
265,R,3,1,4,1
266,R,3,1,4,2
267,R,3,1,4,3
268,R,3,1,4,4
269,R,3,1,4,5
270,R,3,1,5,1
271,R,3,1,5,2
272,R,3,1,5,3
273,R,3,1,5,4
274,R,3,1,5,5
275,L,3,2,1,1
276,L,3,2,1,2
277,L,3,2,1,3
278,L,3,2,1,4
279,L,3,2,1,5
280,L,3,2,2,1
281,L,3,2,2,2
282,B,3,2,2,3
283,R,3,2,2,4
284,R,3,2,2,5
285,L,3,2,3,1
286,B,3,2,3,2
287,R,3,2,3,3
288,R,3,2,3,4
289,R,3,2,3,5
290,L,3,2,4,1
291,R,3,2,4,2
292,R,3,2,4,3
293,R,3,2,4,4
294,R,3,2,4,5
295,L,3,2,5,1
296,R,3,2,5,2
297,R,3,2,5,3
298,R,3,2,5,4
299,R,3,2,5,5
300,L,3,3,1,1
301,L,3,3,1,2
302,L,3,3,1,3
303,L,3,3,1,4
304,L,3,3,1,5
305,L,3,3,2,1
306,L,3,3,2,2
307,L,3,3,2,3
308,L,3,3,2,4
309,R,3,3,2,5
310,L,3,3,3,1
311,L,3,3,3,2
312,B,3,3,3,3
313,R,3,3,3,4
314,R,3,3,3,5
315,L,3,3,4,1
316,L,3,3,4,2
317,R,3,3,4,3
318,R,3,3,4,4
319,R,3,3,4,5
320,L,3,3,5,1
321,R,3,3,5,2
322,R,3,3,5,3
323,R,3,3,5,4
324,R,3,3,5,5
325,L,3,4,1,1
326,L,3,4,1,2
327,L,3,4,1,3
328,L,3,4,1,4
329,L,3,4,1,5
330,L,3,4,2,1
331,L,3,4,2,2
332,L,3,4,2,3
333,L,3,4,2,4
334,L,3,4,2,5
335,L,3,4,3,1
336,L,3,4,3,2
337,L,3,4,3,3
338,B,3,4,3,4
339,R,3,4,3,5
340,L,3,4,4,1
341,L,3,4,4,2
342,B,3,4,4,3
343,R,3,4,4,4
344,R,3,4,4,5
345,L,3,4,5,1
346,L,3,4,5,2
347,R,3,4,5,3
348,R,3,4,5,4
349,R,3,4,5,5
350,L,3,5,1,1
351,L,3,5,1,2
352,L,3,5,1,3
353,L,3,5,1,4
354,L,3,5,1,5
355,L,3,5,2,1
356,L,3,5,2,2
357,L,3,5,2,3
358,L,3,5,2,4
359,L,3,5,2,5
360,L,3,5,3,1
361,L,3,5,3,2
362,L,3,5,3,3
363,L,3,5,3,4
364,B,3,5,3,5
365,L,3,5,4,1
366,L,3,5,4,2
367,L,3,5,4,3
368,R,3,5,4,4
369,R,3,5,4,5
370,L,3,5,5,1
371,L,3,5,5,2
372,B,3,5,5,3
373,R,3,5,5,4
374,R,3,5,5,5
375,L,4,1,1,1
376,L,4,1,1,2
377,L,4,1,1,3
378,B,4,1,1,4
379,R,4,1,1,5
380,L,4,1,2,1
381,B,4,1,2,2
382,R,4,1,2,3
383,R,4,1,2,4
384,R,4,1,2,5
385,L,4,1,3,1
386,R,4,1,3,2
387,R,4,1,3,3
388,R,4,1,3,4
389,R,4,1,3,5
390,B,4,1,4,1
391,R,4,1,4,2
392,R,4,1,4,3
393,R,4,1,4,4
394,R,4,1,4,5
395,R,4,1,5,1
396,R,4,1,5,2
397,R,4,1,5,3
398,R,4,1,5,4
399,R,4,1,5,5
400,L,4,2,1,1
401,L,4,2,1,2
402,L,4,2,1,3
403,L,4,2,1,4
404,L,4,2,1,5
405,L,4,2,2,1
406,L,4,2,2,2
407,L,4,2,2,3
408,B,4,2,2,4
409,R,4,2,2,5
410,L,4,2,3,1
411,L,4,2,3,2
412,R,4,2,3,3
413,R,4,2,3,4
414,R,4,2,3,5
415,L,4,2,4,1
416,B,4,2,4,2
417,R,4,2,4,3
418,R,4,2,4,4
419,R,4,2,4,5
420,L,4,2,5,1
421,R,4,2,5,2
422,R,4,2,5,3
423,R,4,2,5,4
424,R,4,2,5,5
425,L,4,3,1,1
426,L,4,3,1,2
427,L,4,3,1,3
428,L,4,3,1,4
429,L,4,3,1,5
430,L,4,3,2,1
431,L,4,3,2,2
432,L,4,3,2,3
433,L,4,3,2,4
434,L,4,3,2,5
435,L,4,3,3,1
436,L,4,3,3,2
437,L,4,3,3,3
438,B,4,3,3,4
439,R,4,3,3,5
440,L,4,3,4,1
441,L,4,3,4,2
442,B,4,3,4,3
443,R,4,3,4,4
444,R,4,3,4,5
445,L,4,3,5,1
446,L,4,3,5,2
447,R,4,3,5,3
448,R,4,3,5,4
449,R,4,3,5,5
450,L,4,4,1,1
451,L,4,4,1,2
452,L,4,4,1,3
453,L,4,4,1,4
454,L,4,4,1,5
455,L,4,4,2,1
456,L,4,4,2,2
457,L,4,4,2,3
458,L,4,4,2,4
459,L,4,4,2,5
460,L,4,4,3,1
461,L,4,4,3,2
462,L,4,4,3,3
463,L,4,4,3,4
464,L,4,4,3,5
465,L,4,4,4,1
466,L,4,4,4,2
467,L,4,4,4,3
468,B,4,4,4,4
469,R,4,4,4,5
470,L,4,4,5,1
471,L,4,4,5,2
472,L,4,4,5,3
473,R,4,4,5,4
474,R,4,4,5,5
475,L,4,5,1,1
476,L,4,5,1,2
477,L,4,5,1,3
478,L,4,5,1,4
479,L,4,5,1,5
480,L,4,5,2,1
481,L,4,5,2,2
482,L,4,5,2,3
483,L,4,5,2,4
484,L,4,5,2,5
485,L,4,5,3,1
486,L,4,5,3,2
487,L,4,5,3,3
488,L,4,5,3,4
489,L,4,5,3,5
490,L,4,5,4,1
491,L,4,5,4,2
492,L,4,5,4,3
493,L,4,5,4,4
494,B,4,5,4,5
495,L,4,5,5,1
496,L,4,5,5,2
497,L,4,5,5,3
498,B,4,5,5,4
499,R,4,5,5,5
500,L,5,1,1,1
501,L,5,1,1,2
502,L,5,1,1,3
503,L,5,1,1,4
504,B,5,1,1,5
505,L,5,1,2,1
506,L,5,1,2,2
507,R,5,1,2,3
508,R,5,1,2,4
509,R,5,1,2,5
510,L,5,1,3,1
511,R,5,1,3,2
512,R,5,1,3,3
513,R,5,1,3,4
514,R,5,1,3,5
515,L,5,1,4,1
516,R,5,1,4,2
517,R,5,1,4,3
518,R,5,1,4,4
519,R,5,1,4,5
520,B,5,1,5,1
521,R,5,1,5,2
522,R,5,1,5,3
523,R,5,1,5,4
524,R,5,1,5,5
525,L,5,2,1,1
526,L,5,2,1,2
527,L,5,2,1,3
528,L,5,2,1,4
529,L,5,2,1,5
530,L,5,2,2,1
531,L,5,2,2,2
532,L,5,2,2,3
533,L,5,2,2,4
534,B,5,2,2,5
535,L,5,2,3,1
536,L,5,2,3,2
537,L,5,2,3,3
538,R,5,2,3,4
539,R,5,2,3,5
540,L,5,2,4,1
541,L,5,2,4,2
542,R,5,2,4,3
543,R,5,2,4,4
544,R,5,2,4,5
545,L,5,2,5,1
546,B,5,2,5,2
547,R,5,2,5,3
548,R,5,2,5,4
549,R,5,2,5,5
550,L,5,3,1,1
551,L,5,3,1,2
552,L,5,3,1,3
553,L,5,3,1,4
554,L,5,3,1,5
555,L,5,3,2,1
556,L,5,3,2,2
557,L,5,3,2,3
558,L,5,3,2,4
559,L,5,3,2,5
560,L,5,3,3,1
561,L,5,3,3,2
562,L,5,3,3,3
563,L,5,3,3,4
564,B,5,3,3,5
565,L,5,3,4,1
566,L,5,3,4,2
567,L,5,3,4,3
568,R,5,3,4,4
569,R,5,3,4,5
570,L,5,3,5,1
571,L,5,3,5,2
572,B,5,3,5,3
573,R,5,3,5,4
574,R,5,3,5,5
575,L,5,4,1,1
576,L,5,4,1,2
577,L,5,4,1,3
578,L,5,4,1,4
579,L,5,4,1,5
580,L,5,4,2,1
581,L,5,4,2,2
582,L,5,4,2,3
583,L,5,4,2,4
584,L,5,4,2,5
585,L,5,4,3,1
586,L,5,4,3,2
587,L,5,4,3,3
588,L,5,4,3,4
589,L,5,4,3,5
590,L,5,4,4,1
591,L,5,4,4,2
592,L,5,4,4,3
593,L,5,4,4,4
594,B,5,4,4,5
595,L,5,4,5,1
596,L,5,4,5,2
597,L,5,4,5,3
598,B,5,4,5,4
599,R,5,4,5,5
600,L,5,5,1,1
601,L,5,5,1,2
602,L,5,5,1,3
603,L,5,5,1,4
604,L,5,5,1,5
605,L,5,5,2,1
606,L,5,5,2,2
607,L,5,5,2,3
608,L,5,5,2,4
609,L,5,5,2,5
610,L,5,5,3,1
611,L,5,5,3,2
612,L,5,5,3,3
613,L,5,5,3,4
614,L,5,5,3,5
615,L,5,5,4,1
616,L,5,5,4,2
617,L,5,5,4,3
618,L,5,5,4,4
619,L,5,5,4,5
620,L,5,5,5,1
621,L,5,5,5,2
622,L,5,5,5,3
623,L,5,5,5,4
624,B,5,5,5,5
