,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,CLASS
84,2,10,2,11,2,5,3,6,2,4,0
85,2,12,4,6,3,9,4,1,4,12,1
86,1,8,1,10,2,13,3,5,1,4,0
87,2,7,1,4,2,13,3,2,4,12,0
88,2,7,4,12,4,1,4,13,3,11,0
89,1,9,3,3,4,4,1,10,2,1,0
90,2,1,3,12,3,8,1,2,3,1,1
91,1,9,3,10,1,8,4,4,1,5,0
92,2,1,2,8,2,6,3,1,3,4,1
93,4,11,3,12,3,4,4,12,4,7,1
94,3,2,4,12,3,8,2,7,3,11,0
95,3,12,2,12,2,8,3,11,1,6,1
96,3,7,1,8,1,7,4,12,2,8,2
97,1,9,4,6,4,9,2,9,1,1,3
98,3,10,1,7,4,7,4,6,1,11,1
99,2,10,1,4,3,12,4,9,2,9,1
100,2,11,2,3,3,1,2,9,3,2,0
101,1,13,1,3,1,12,4,11,2,12,1
102,2,7,1,6,3,6,4,13,4,9,1
103,2,1,3,2,2,10,4,1,4,12,1
104,2,2,2,8,4,9,3,12,4,5,0
105,4,9,2,11,4,7,3,12,1,4,0
106,1,6,3,9,2,8,2,2,4,9,1
107,1,7,4,4,4,12,3,7,2,2,1
108,4,10,2,1,4,11,3,11,2,11,3
109,3,12,1,1,3,13,4,11,2,7,0
110,4,5,3,11,2,7,4,8,3,8,1
111,3,4,2,11,4,8,1,12,4,6,0
112,4,1,3,10,3,3,3,13,3,11,0
113,2,2,3,4,4,13,1,5,2,13,1
114,1,2,2,9,1,12,3,10,1,11,0
115,1,3,2,1,3,13,3,4,1,9,0
116,3,6,2,13,4,13,3,10,2,12,1
117,3,9,4,12,4,10,1,3,1,6,0
118,4,7,3,2,4,5,3,9,2,5,1
119,4,2,2,7,3,13,2,12,1,7,1
120,2,3,1,5,3,7,4,1,3,8,0
121,2,9,1,4,2,5,2,10,4,1,0
122,3,1,4,10,2,10,1,5,2,11,1
123,2,13,4,6,1,11,3,3,4,7,0
124,4,11,3,13,1,1,1,13,2,2,1
125,2,12,2,4,3,2,2,7,4,12,1
126,1,2,4,2,4,10,2,11,3,1,1
127,1,4,1,3,1,12,4,8,4,13,0
128,4,11,4,12,3,4,1,9,2,13,0
129,2,10,3,9,4,13,1,12,2,7,0
130,4,11,4,8,3,2,4,10,3,3,0
131,2,10,4,3,4,11,1,4,2,7,0
132,3,10,1,9,4,3,2,4,1,4,1
133,3,12,3,10,4,6,2,6,2,13,1
134,1,11,3,5,2,13,4,12,2,2,0
135,3,6,4,2,3,10,2,7,1,8,0
136,4,12,3,1,2,13,2,6,2,1,1
137,3,12,4,2,4,3,3,13,2,8,0
138,4,12,2,9,2,5,2,12,3,10,1
139,2,5,2,2,2,8,4,6,1,9,0
140,3,2,4,7,4,4,4,5,1,3,0
141,4,1,4,7,3,6,2,3,4,10,0
142,3,10,1,7,4,7,2,6,2,4,1
143,1,11,3,3,4,12,1,4,1,6,0
144,1,2,3,4,1,12,2,8,3,1,0
145,4,5,4,7,3,1,3,9,2,3,0
146,2,13,4,5,2,11,3,9,4,10,0
147,3,7,2,3,3,12,2,10,2,2,0
148,1,13,1,8,4,6,1,11,2,7,0
149,4,12,2,2,4,11,4,3,3,1,0
150,1,13,2,5,4,12,2,12,4,1,1
151,3,7,1,9,2,2,4,6,4,1,0
152,4,8,4,10,4,5,1,11,1,9,0
153,1,8,4,7,4,13,2,6,3,6,1
154,4,5,2,4,3,9,1,10,2,13,0
155,4,3,2,2,4,10,1,4,4,11,0
156,3,8,1,8,2,5,3,3,3,1,1
157,3,7,2,5,1,11,3,4,3,5,1
158,2,4,1,4,1,7,4,8,1,5,1
159,2,10,3,10,2,13,2,6,1,6,2
160,4,9,3,11,3,8,1,4,3,13,0
161,4,7,2,12,3,3,1,8,1,7,1
162,1,5,1,1,3,3,2,12,3,11,0
163,1,4,1,6,4,13,2,13,4,3,1
164,4,3,2,13,2,4,3,7,1,2,0
165,2,7,4,10,1,10,1,2,4,5,1
166,2,9,2,4,1,10,3,7,2,7,1
167,3,3,3,8,4,8,1,1,1,11,1
168,4,7,4,11,3,5,3,12,1,3,0
169,1,1,4,8,2,4,3,10,4,5,0
170,2,12,4,2,1,5,3,10,1,10,1
171,4,2,4,8,4,7,1,3,4,6,0
172,2,4,1,8,1,12,1,9,4,10,0
173,2,3,1,6,2,12,3,6,4,5,1
174,3,1,3,9,4,13,1,5,3,7,0
175,2,6,4,4,1,13,4,6,4,5,1
176,4,3,4,10,2,8,1,7,3,10,1
177,3,10,2,9,1,1,2,11,2,8,0
178,4,6,3,3,3,7,2,4,2,2,0
179,2,1,2,7,1,12,4,8,1,5,0
180,4,5,1,11,3,10,1,1,3,1,1
181,4,1,4,11,3,10,2,9,3,2,0
182,3,11,2,7,2,12,2,5,1,7,1
183,3,1,4,6,4,13,4,11,4,12,0
184,1,1,2,3,3,2,4,10,1,9,0
185,1,13,3,1,2,10,2,6,1,12,0
186,2,10,3,1,3,9,2,9,3,5,1
187,2,13,1,1,2,12,1,7,2,7,1
188,3,5,1,8,4,11,4,6,2,3,0
189,3,10,2,3,2,1,4,7,4,10,1
190,4,11,2,13,2,8,2,1,4,12,0
191,2,5,1,2,3,4,4,8,3,9,0
192,1,12,3,3,2,2,2,4,2,8,0
193,4,6,2,10,2,12,3,5,1,11,0
194,3,1,2,11,4,11,1,13,2,2,1
195,2,4,2,7,4,4,2,6,2,8,1
196,1,3,4,3,4,4,3,1,4,13,1
197,3,3,1,1,4,3,2,13,4,8,1
198,4,7,1,3,4,4,4,1,3,11,0
199,4,2,2,3,3,8,4,7,2,13,0
200,4,5,2,5,2,1,4,8,1,13,1
201,4,9,3,13,4,10,2,2,1,7,0
202,2,12,2,9,4,1,4,2,1,11,0
203,1,10,3,9,3,10,1,8,4,13,1
204,4,2,4,4,1,5,4,10,3,3,0
205,1,3,4,10,4,8,4,4,4,13,0
206,3,12,2,2,4,11,3,8,2,1,0
207,1,6,2,1,1,8,3,9,1,5,0
208,2,1,2,9,3,9,3,13,2,8,1
209,4,10,1,11,3,12,4,5,3,6,0
210,3,10,1,12,1,7,3,13,2,12,1
211,3,10,2,7,4,2,3,12,2,2,1
212,2,7,4,9,1,5,3,9,3,6,1
213,2,4,2,2,2,5,4,1,4,4,1
214,3,1,2,3,4,12,3,13,3,8,0
215,1,12,2,8,2,2,1,1,3,8,1
216,2,12,4,5,3,10,2,13,4,8,0
217,1,1,1,13,4,11,3,13,4,4,1
218,4,2,1,13,2,6,2,7,2,11,0
219,3,8,1,3,4,10,3,12,2,1,0
220,3,2,3,11,1,12,1,13,3,9,0
221,3,13,1,2,3,2,1,9,3,11,1
222,1,12,2,10,1,4,1,3,1,6,0
223,2,11,2,6,4,8,4,7,2,12,0
224,3,6,2,11,3,2,3,10,1,11,1
225,1,8,2,9,2,10,4,13,3,1,0
226,4,8,2,11,2,12,3,3,4,11,1
227,3,13,1,3,2,7,1,8,4,8,1
228,1,11,1,1,3,10,4,9,3,6,0
229,2,13,2,11,2,6,4,9,3,4,0
230,1,11,1,8,3,3,2,7,1,12,0
231,1,7,3,1,1,5,1,1,2,3,1
232,3,12,2,7,4,4,1,2,2,10,0
233,4,10,1,4,4,2,2,11,1,1,0
234,1,4,1,12,1,2,4,9,2,12,1
235,4,10,3,9,3,12,2,2,1,11,0
236,4,11,1,1,2,1,1,3,3,5,1
237,3,7,4,3,4,8,3,10,4,2,0
238,3,1,3,10,1,4,2,10,2,3,1
239,3,13,2,4,2,9,2,3,3,3,1
240,3,11,2,10,3,12,1,3,1,10,1
241,1,2,4,12,3,6,2,5,4,4,0
242,4,2,3,4,4,9,2,1,2,6,0
243,2,7,2,3,3,13,1,5,4,5,1
244,2,9,4,8,2,8,2,3,2,7,1
245,4,6,4,12,1,2,1,8,2,7,0
246,3,8,1,13,1,7,4,7,3,13,2
247,3,9,1,13,4,8,4,9,1,6,1
248,1,11,1,10,4,10,3,13,1,13,2
249,1,11,1,10,3,3,4,6,3,4,0
250,3,9,3,1,1,10,4,5,3,4,0
251,4,12,3,1,2,1,1,11,4,11,2
252,4,2,1,8,2,6,2,10,3,8,1
253,4,7,3,7,4,9,4,3,4,10,1
254,1,12,4,4,2,9,3,6,3,1,0
255,3,7,2,7,3,4,3,6,1,3,1
256,4,6,2,9,4,7,1,8,3,8,1
257,4,12,1,3,3,3,4,7,3,10,1
258,1,11,2,6,2,3,4,12,4,11,1
259,3,8,3,6,2,11,3,5,2,4,0
260,3,4,2,11,1,9,2,1,3,8,0
261,2,5,1,4,4,2,4,10,1,6,0
262,4,3,3,5,2,12,1,2,4,4,0
263,3,6,2,13,3,9,1,13,1,10,1
264,2,11,3,6,4,7,3,2,3,11,1
265,1,1,2,5,3,10,1,4,1,6,0
266,3,10,1,8,1,6,4,1,2,2,0
267,1,6,1,4,1,1,4,11,2,13,0
268,2,9,2,4,1,13,1,3,3,2,0
269,3,1,2,9,2,8,2,6,1,1,1
270,4,6,1,9,3,8,4,1,4,11,0
271,3,7,1,4,2,2,3,2,2,12,1
272,2,7,2,13,3,10,1,9,1,10,1
273,4,9,2,2,1,11,2,12,3,11,1
274,2,3,3,4,2,8,4,4,3,12,1
275,2,8,1,6,2,6,2,7,3,13,1
276,1,1,1,12,4,3,4,6,3,1,1
277,2,12,4,11,2,3,3,1,3,13,0
278,4,10,1,5,3,7,4,9,1,9,1
279,4,9,2,13,1,3,2,6,3,5,0
280,1,5,4,3,4,12,3,5,2,13,1
281,4,9,1,12,4,1,1,4,3,1,1
282,1,8,2,8,1,7,1,12,2,4,1
283,4,5,3,2,2,7,1,9,4,12,0
284,1,8,2,2,2,3,4,2,2,7,1
285,1,3,2,13,3,4,4,5,1,5,1
286,4,4,2,3,3,12,1,10,3,10,1
287,4,4,2,8,4,12,1,4,3,2,1
288,3,13,2,2,4,13,4,6,3,2,2
289,4,10,4,3,4,6,4,1,2,13,0
290,3,10,3,7,1,8,3,5,2,11,0
291,4,8,3,5,4,6,4,2,4,7,0
292,4,12,4,7,2,4,3,13,3,11,0
293,1,9,4,8,1,3,3,13,1,12,0
294,4,6,1,7,4,9,2,10,4,11,0
295,2,7,1,4,1,12,1,13,4,4,1
296,4,10,2,9,2,4,4,13,3,9,1
297,2,10,4,1,1,2,4,12,4,4,0
298,1,2,2,10,4,1,2,2,4,5,1
299,2,8,4,11,2,5,4,5,4,2,1
300,1,13,3,12,2,12,1,9,4,12,3
301,1,6,4,5,3,8,2,13,4,2,0
302,3,2,3,11,1,1,4,7,4,2,1
303,2,7,1,1,2,6,3,10,4,8,0
304,3,7,4,2,4,8,1,13,1,1,0
305,4,7,2,13,4,2,3,12,4,5,0
306,3,4,1,13,3,8,3,5,1,3,0
307,2,12,4,4,4,6,1,12,1,9,1
308,4,1,1,13,1,7,3,13,3,11,1
309,1,10,2,10,4,2,2,6,4,4,1
310,4,12,2,4,1,11,4,13,4,6,0
311,1,11,3,9,2,3,4,6,4,1,0
312,1,5,1,7,4,7,1,13,3,11,1
313,3,10,1,2,4,12,4,6,3,5,0
314,3,2,1,4,3,12,1,10,3,8,0
315,2,3,1,13,1,4,2,13,4,8,1
316,1,1,1,13,4,1,2,6,4,10,1
317,1,6,1,13,3,11,3,6,1,2,1
318,3,8,1,12,2,9,1,2,2,5,0
319,1,11,1,13,4,9,1,7,3,13,1
320,1,6,4,2,4,9,1,7,2,5,0
321,1,1,4,10,4,6,2,3,3,4,0
322,4,7,4,12,2,3,4,5,2,6,0
323,1,6,3,1,1,11,1,2,4,5,0
324,4,3,2,12,4,12,1,13,3,10,1
325,4,10,2,4,2,5,1,3,4,13,0
326,2,7,1,3,1,1,1,7,2,3,2
327,3,12,3,2,1,5,2,1,1,8,0
328,1,8,1,12,2,10,1,2,3,7,0
329,4,12,2,11,4,11,1,9,3,11,3
330,1,4,2,6,1,13,4,10,1,7,0
331,1,7,2,13,2,12,1,1,2,9,0
332,1,3,3,5,1,1,2,4,3,8,0
333,4,1,2,5,4,12,2,6,3,9,0
334,1,5,4,9,3,3,4,7,3,8,0
335,3,9,1,12,3,7,4,12,2,9,2
336,4,2,3,4,1,1,3,10,4,8,0
337,3,7,3,12,1,12,4,3,4,4,1
338,2,3,4,7,1,7,1,13,3,7,3
339,1,3,2,13,2,5,3,10,3,7,0
340,4,4,4,9,1,7,1,9,4,5,1
341,4,9,4,7,1,9,3,7,4,5,2
342,1,4,1,7,3,7,1,3,1,13,1
343,4,9,4,4,3,7,3,8,1,6,0
344,1,11,2,9,4,10,4,5,1,9,1
345,2,11,1,2,1,3,3,11,4,4,1
346,2,12,1,2,4,12,4,8,2,11,1
347,1,2,4,6,4,13,1,13,2,13,3
348,2,1,3,6,2,2,4,4,3,1,1
349,4,4,4,6,3,12,1,8,1,3,0
350,1,9,2,13,4,5,1,11,2,9,1
351,1,5,1,11,3,6,2,8,1,7,0
352,4,5,3,4,4,7,2,2,4,9,0
353,3,7,2,9,4,4,4,11,1,13,0
354,3,4,1,10,3,6,3,9,2,3,0
355,2,13,4,8,4,13,4,6,3,2,1
356,4,10,3,12,3,7,1,12,2,5,1
357,2,13,4,12,4,13,1,7,4,8,1
358,1,3,2,6,1,6,2,13,3,11,1
359,1,7,4,1,4,11,3,3,4,12,0
360,1,5,2,1,3,5,3,2,1,6,1
361,3,13,1,13,2,1,3,8,1,4,1
362,1,4,2,9,2,5,3,5,4,7,1
363,2,7,4,7,1,4,3,11,3,9,1
364,1,2,3,9,4,2,4,9,1,8,2
365,3,9,3,2,4,6,3,10,3,7,0
366,4,3,1,4,3,8,4,7,3,9,0
367,2,9,2,5,3,4,2,10,2,7,0
368,1,12,4,12,4,8,4,11,2,12,3
369,2,1,4,6,1,4,1,9,1,1,1
370,2,10,4,6,4,11,4,5,2,12,0
371,1,8,1,11,4,2,4,7,3,1,0
372,4,5,2,11,2,2,4,9,3,7,0
373,2,12,1,7,2,9,4,8,3,7,1
374,2,9,2,2,3,7,4,13,3,11,0
375,3,6,3,8,2,12,4,8,3,11,1
376,2,9,4,8,4,2,4,9,4,11,1
377,3,4,2,10,3,3,4,13,4,4,1
378,4,5,4,2,2,10,4,11,2,11,1
379,2,7,3,3,4,3,4,10,3,12,1
380,2,4,2,7,1,7,3,4,2,5,2
381,4,7,3,2,2,3,4,13,4,2,1
382,3,4,3,13,2,8,3,9,1,9,1
383,4,8,1,9,3,8,1,8,4,3,3
384,4,3,2,1,2,10,1,2,4,4,0
385,3,7,1,4,3,3,2,8,1,1,0
386,4,7,1,13,2,3,1,9,4,1,0
387,4,9,2,7,3,13,2,1,3,12,0
388,4,4,3,7,4,1,4,3,2,9,0
389,3,8,4,2,2,13,3,13,4,11,1
390,2,12,3,11,2,9,4,8,2,7,0
391,1,11,1,7,4,9,1,5,3,10,0
392,4,1,3,9,3,2,2,11,2,9,1
393,2,4,3,12,2,1,2,7,1,7,1
394,3,3,1,13,2,9,2,8,3,8,1
395,4,1,2,6,3,8,3,2,1,6,1
396,4,5,1,8,2,12,1,12,1,13,1
397,4,11,2,2,4,10,3,12,1,7,0
398,4,4,1,7,3,13,3,12,2,2,0
399,3,8,2,12,4,11,4,1,3,9,0
400,2,7,4,12,4,2,3,13,1,5,0
401,2,5,3,5,3,2,2,13,4,4,1
402,1,11,3,12,3,10,4,9,2,13,4
403,2,13,1,3,1,7,2,9,3,7,1
404,1,1,3,2,4,6,2,11,4,12,0
405,3,5,1,12,3,3,1,7,1,9,0
406,4,9,2,4,1,3,3,7,1,12,0
407,4,11,1,12,3,7,2,4,2,1,0
408,4,2,3,11,2,4,4,13,2,13,1
409,4,1,2,1,4,3,2,4,2,8,1
410,4,4,1,5,2,3,1,11,4,13,0
411,2,5,3,5,4,12,2,2,3,12,2
412,1,8,4,10,2,11,3,4,3,3,0
413,4,6,4,3,1,5,1,11,2,8,0
414,4,6,1,11,3,5,2,5,1,10,1
415,2,2,3,5,1,6,3,10,3,3,0
416,4,10,2,1,2,11,1,2,4,13,0
417,1,11,2,10,3,9,2,2,1,6,0
418,1,10,2,3,2,4,1,8,4,11,0
419,4,11,3,4,4,2,2,4,1,6,1
420,2,9,3,4,2,11,4,4,4,9,2
421,1,4,4,9,3,2,1,12,2,6,0
422,4,9,2,8,2,6,3,6,4,11,1
423,3,12,3,1,2,11,3,2,2,5,0
424,2,1,3,5,2,7,1,4,2,10,0
425,3,7,2,2,1,7,2,7,1,2,6
426,2,5,3,8,2,4,1,5,3,11,1
427,3,8,1,11,3,12,2,5,2,9,0
428,3,12,3,9,3,2,1,3,3,6,0
429,3,9,3,13,1,5,2,8,4,8,1
430,1,1,3,11,2,4,2,8,1,8,1
431,3,3,2,5,1,2,3,6,4,10,0
432,3,9,3,1,1,8,4,9,2,10,1
433,4,1,2,5,2,12,3,2,2,10,0
434,1,7,1,11,2,13,2,3,2,5,0
435,2,10,1,11,1,7,1,2,3,11,1
436,1,4,1,11,4,6,4,10,3,10,1
437,4,8,2,13,4,4,4,12,1,1,0
438,2,2,2,6,4,1,3,9,4,8,0
439,4,5,2,1,2,3,3,6,1,10,0
440,2,7,4,8,3,11,4,5,4,7,1
441,1,11,2,3,3,7,1,12,1,4,0
442,4,7,4,1,1,5,1,2,2,3,0
443,3,5,1,13,4,11,2,2,3,11,1
444,1,10,1,4,1,3,3,3,3,1,1
445,1,13,2,12,4,13,2,4,2,2,1
446,4,3,4,6,4,5,1,3,2,3,3
447,4,12,2,6,2,10,4,3,4,2,0
448,1,10,1,1,1,3,2,2,1,2,1
449,4,13,4,6,1,13,2,2,3,13,3
450,1,6,3,6,4,12,3,8,4,8,2
451,4,1,1,10,2,9,3,2,3,7,0
452,1,11,2,3,3,9,3,10,3,5,0
453,2,6,4,8,4,5,2,7,4,3,0
454,2,13,2,8,1,13,4,3,1,3,2
455,3,9,2,10,3,3,2,8,4,1,0
456,3,9,4,11,2,5,3,5,1,13,1
457,1,2,1,7,3,2,4,1,4,5,1
458,3,2,3,4,2,12,3,12,1,6,1
459,1,1,3,11,3,6,2,2,2,7,0
460,2,8,1,10,2,2,4,9,1,5,0
461,3,13,2,2,1,11,4,12,1,5,0
462,1,3,1,1,4,6,3,2,1,12,0
463,2,12,1,5,2,13,1,11,2,9,0
464,3,4,2,10,3,13,2,6,4,7,0
465,4,7,2,9,2,7,4,6,1,4,1
466,4,13,1,7,4,11,1,11,2,4,1
467,1,2,4,6,3,4,4,8,4,1,0
468,2,2,4,9,1,6,1,8,3,13,0
469,4,11,3,3,3,6,2,11,1,6,2
470,4,13,1,9,3,7,3,11,1,7,1
471,2,1,4,12,1,4,1,7,3,3,0
472,2,3,2,6,2,9,2,7,3,9,1
473,2,11,1,4,3,7,2,1,2,9,0
474,3,13,4,8,1,2,1,11,2,4,0
475,2,9,4,5,1,3,1,11,1,6,0
476,3,1,1,1,3,6,4,1,2,7,3
477,2,9,3,3,1,4,3,1,2,8,0
478,4,12,1,12,3,12,2,13,3,4,3
479,4,10,4,12,2,9,2,4,3,8,0
480,3,3,3,13,3,2,3,11,4,12,0
481,1,3,3,3,1,13,1,6,1,4,1
482,3,6,3,5,1,13,1,6,2,10,1
483,1,13,4,6,4,2,3,2,2,2,3
484,1,11,4,11,1,5,3,1,2,9,1
485,4,13,2,12,2,9,3,6,3,3,0
486,1,5,2,5,3,2,3,1,4,3,1
487,1,4,4,4,2,12,1,3,1,10,1
488,1,5,3,9,1,6,3,3,4,7,0
489,2,2,1,8,4,6,3,4,2,12,0
490,3,1,1,5,4,5,3,9,4,4,1
491,2,13,1,9,3,8,4,1,1,1,1
492,1,9,1,8,3,10,4,10,2,10,3
493,1,2,3,10,2,11,2,6,2,8,0
494,2,6,4,11,4,6,4,5,3,10,1
495,4,10,2,13,2,2,3,10,4,13,2
496,3,6,2,12,3,3,2,3,1,9,1
497,2,10,4,5,2,13,2,2,3,13,1
498,4,7,3,3,2,5,2,8,3,10,0
499,4,10,1,9,1,4,2,4,1,2,1
500,2,9,3,7,1,13,2,13,1,2,1
501,1,10,2,6,2,12,2,5,4,3,0
502,2,3,1,11,3,4,2,2,3,8,0
503,2,8,1,4,4,13,1,3,4,12,0
504,3,10,4,10,1,5,3,4,4,5,2
505,2,12,4,12,4,11,1,4,3,13,1
506,2,10,3,6,4,4,4,8,4,1,0
507,4,3,3,9,2,12,3,5,2,9,1
508,3,7,2,6,3,1,1,11,3,5,0
509,3,10,2,9,2,13,2,6,1,3,0
510,3,10,3,5,3,13,2,3,2,9,0
511,1,13,2,10,2,6,3,13,4,6,2
512,1,3,3,9,3,12,3,6,2,9,1
513,4,4,2,4,1,4,3,1,1,1,6
514,4,8,4,10,3,5,2,12,1,5,1
515,4,6,2,3,4,13,2,10,2,7,0
516,4,12,1,10,1,13,1,4,2,6,0
517,2,6,3,11,2,7,4,4,1,2,0
518,2,6,2,12,3,4,3,13,2,11,0
519,1,11,1,9,4,11,2,13,3,10,1
520,3,10,2,12,2,10,3,2,3,4,1
521,3,5,1,7,1,9,4,12,4,4,0
522,4,10,3,1,4,2,4,7,2,8,0
523,2,7,4,11,4,12,2,12,2,11,2
524,4,5,2,3,3,4,4,10,2,12,0
525,2,3,4,8,1,6,4,12,3,13,0
526,1,11,1,7,4,10,4,12,2,1,0
527,3,4,4,4,4,10,4,13,2,2,1
528,2,2,2,1,4,12,4,13,3,13,1
529,3,3,2,7,3,5,3,6,2,8,0
530,1,8,3,9,2,6,4,11,2,9,1
531,2,13,2,8,1,8,4,10,4,1,1
532,4,3,3,3,3,8,1,5,2,13,1
533,4,12,1,1,1,3,3,11,3,13,0
534,2,3,3,6,2,13,4,3,2,5,1
535,3,4,4,7,2,12,2,7,4,10,1
536,3,12,2,7,4,6,3,11,1,9,0
537,3,7,1,7,3,5,2,4,2,13,1
538,2,2,2,3,3,8,3,7,2,4,0
539,2,6,1,10,2,10,2,4,3,3,1
540,3,7,1,6,4,13,3,2,2,8,0
541,2,1,3,12,3,8,1,8,4,10,1
542,1,5,4,4,2,11,1,1,3,2,0
543,1,7,1,13,4,8,2,3,4,1,0
544,3,13,4,7,2,10,2,6,3,2,0
545,1,7,4,11,4,10,2,2,3,3,0
546,2,13,2,3,4,13,1,3,2,1,2
547,4,3,2,4,4,13,2,11,2,2,0
548,3,7,4,11,2,5,4,4,2,3,0
549,4,4,4,7,4,12,2,9,1,10,0
550,3,12,3,11,4,4,2,3,3,13,0
551,2,12,3,3,1,7,3,6,4,12,1
552,3,8,1,8,3,6,2,6,1,13,2
553,3,1,3,5,1,7,1,8,3,10,0
554,4,1,2,1,2,7,3,6,2,8,1
555,3,7,2,10,3,10,2,8,1,3,1
556,4,1,4,10,3,3,2,5,1,7,0
557,1,9,1,12,3,5,4,1,3,6,0
558,3,4,3,13,3,8,2,3,3,3,1
559,1,12,4,5,2,3,3,13,3,2,0
560,1,10,2,7,3,4,4,9,3,1,0
561,4,4,3,7,1,7,2,12,4,11,1
562,2,9,3,13,1,10,2,7,1,13,1
563,3,11,4,5,2,1,3,9,2,10,0
564,2,2,2,11,2,13,3,11,1,10,1
565,3,4,1,3,1,11,2,3,1,8,1
566,4,2,1,4,2,9,3,5,3,4,1
567,2,1,1,9,2,10,4,6,2,6,1
568,3,6,2,6,4,10,1,7,3,13,1
569,3,12,2,8,4,11,3,6,4,3,0
570,4,4,2,8,2,2,2,10,1,9,0
571,2,9,3,13,4,6,2,13,1,8,1
572,1,7,3,11,1,1,1,4,2,3,0
573,2,1,2,7,1,2,3,2,1,8,1
574,1,3,2,12,3,1,1,2,4,4,0
575,4,12,2,12,1,4,1,3,2,11,1
576,3,11,2,8,1,2,3,1,4,11,1
577,2,1,4,7,3,9,1,11,2,13,0
578,1,7,3,9,4,10,2,13,1,4,0
579,4,7,3,10,3,11,1,11,3,3,1
