,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
41,x,x,x,o,b,o,b,x,o,positive
42,x,x,x,o,b,o,b,o,x,positive
43,x,x,x,o,b,o,b,b,b,positive
44,x,x,x,o,b,b,x,o,o,positive
45,x,x,x,o,b,b,o,x,o,positive
46,x,x,x,o,b,b,o,o,x,positive
47,x,x,x,o,b,b,o,b,b,positive
48,x,x,x,o,b,b,b,o,b,positive
49,x,x,x,o,b,b,b,b,o,positive
50,x,x,x,b,x,o,o,o,b,positive
51,x,x,x,b,x,o,o,b,o,positive
52,x,x,x,b,x,o,b,o,o,positive
53,x,x,x,b,o,x,o,o,b,positive
54,x,x,x,b,o,x,o,b,o,positive
55,x,x,x,b,o,x,b,o,o,positive
56,x,x,x,b,o,o,x,o,b,positive
57,x,x,x,b,o,o,x,b,o,positive
58,x,x,x,b,o,o,o,x,b,positive
59,x,x,x,b,o,o,o,b,x,positive
60,x,x,x,b,o,o,b,x,o,positive
61,x,x,x,b,o,o,b,o,x,positive
62,x,x,x,b,o,o,b,b,b,positive
63,x,x,x,b,o,b,x,o,o,positive
64,x,x,x,b,o,b,o,x,o,positive
65,x,x,x,b,o,b,o,o,x,positive
66,x,x,x,b,o,b,o,b,b,positive
67,x,x,x,b,o,b,b,o,b,positive
68,x,x,x,b,o,b,b,b,o,positive
69,x,x,x,b,b,o,x,o,o,positive
70,x,x,x,b,b,o,o,x,o,positive
71,x,x,x,b,b,o,o,o,x,positive
72,x,x,x,b,b,o,o,b,b,positive
73,x,x,x,b,b,o,b,o,b,positive
74,x,x,x,b,b,o,b,b,o,positive
75,x,x,x,b,b,b,o,o,b,positive
76,x,x,x,b,b,b,o,b,o,positive
77,x,x,x,b,b,b,b,o,o,positive
78,x,x,o,x,x,o,o,o,x,positive
79,x,x,o,x,o,x,x,o,o,positive
80,x,x,o,x,o,o,x,o,x,positive
81,x,x,o,x,o,o,x,b,b,positive
82,x,x,o,x,o,b,x,o,b,positive
83,x,x,o,x,o,b,x,b,o,positive
84,x,x,o,x,b,o,x,o,b,positive
85,x,x,o,x,b,b,x,o,o,positive
86,x,x,o,o,x,x,o,x,o,positive
87,x,x,o,o,x,x,o,o,x,positive
88,x,x,o,o,x,o,x,o,x,positive
89,x,x,o,o,x,o,o,x,x,positive
90,x,x,o,o,x,o,b,x,b,positive
91,x,x,o,o,x,o,b,b,x,positive
92,x,x,o,o,x,b,o,x,b,positive
93,x,x,o,o,x,b,o,b,x,positive
94,x,x,o,o,x,b,b,x,o,positive
95,x,x,o,o,x,b,b,o,x,positive
96,x,x,o,b,x,o,o,x,b,positive
97,x,x,o,b,x,o,o,b,x,positive
98,x,x,o,b,x,o,b,o,x,positive
99,x,x,o,b,x,b,o,x,o,positive
100,x,x,o,b,x,b,o,o,x,positive
101,x,x,b,x,o,o,x,o,b,positive
102,x,x,b,x,o,o,x,b,o,positive
103,x,x,b,x,o,b,x,o,o,positive
104,x,x,b,x,b,o,x,o,o,positive
105,x,x,b,o,x,o,o,x,b,positive
106,x,x,b,o,x,o,o,b,x,positive
107,x,x,b,o,x,o,b,x,o,positive
108,x,x,b,o,x,o,b,o,x,positive
109,x,x,b,o,x,b,o,x,o,positive
110,x,x,b,o,x,b,o,o,x,positive
111,x,x,b,b,x,o,o,x,o,positive
112,x,x,b,b,x,o,o,o,x,positive
113,x,o,x,x,x,o,x,o,o,positive
114,x,o,x,x,x,o,o,o,x,positive
115,x,o,x,x,o,o,x,x,o,positive
116,x,o,x,x,o,o,x,b,b,positive
117,x,o,x,x,o,b,x,b,o,positive
118,x,o,x,x,b,o,x,o,b,positive
119,x,o,x,x,b,o,x,b,o,positive
120,x,o,x,x,b,b,x,o,o,positive
121,x,o,x,o,x,x,x,o,o,positive
122,x,o,x,o,x,x,o,o,x,positive
123,x,o,x,o,x,o,x,x,o,positive
124,x,o,x,o,x,o,x,o,x,positive
125,x,o,x,o,x,o,x,b,b,positive
126,x,o,x,o,x,o,o,x,x,positive
127,x,o,x,o,x,o,b,b,x,positive
128,x,o,x,o,x,b,x,o,b,positive
129,x,o,x,o,x,b,x,b,o,positive
130,x,o,x,o,x,b,o,b,x,positive
131,x,o,x,o,x,b,b,o,x,positive
132,x,o,x,o,o,x,o,x,x,positive
133,x,o,x,o,o,x,b,b,x,positive
134,x,o,x,o,b,x,o,b,x,positive
135,x,o,x,o,b,x,b,o,x,positive
136,x,o,x,b,x,o,x,o,b,positive
137,x,o,x,b,x,o,x,b,o,positive
138,x,o,x,b,x,o,o,b,x,positive
139,x,o,x,b,x,o,b,o,x,positive
140,x,o,x,b,x,b,x,o,o,positive
141,x,o,x,b,x,b,o,o,x,positive
142,x,o,x,b,o,x,o,b,x,positive
143,x,o,x,b,b,x,o,o,x,positive
144,x,o,o,x,x,x,x,o,o,positive
145,x,o,o,x,x,x,o,x,o,positive
146,x,o,o,x,x,x,o,o,x,positive
147,x,o,o,x,x,x,o,b,b,positive
148,x,o,o,x,x,x,b,o,b,positive
149,x,o,o,x,x,x,b,b,o,positive
150,x,o,o,x,x,o,x,o,x,positive
151,x,o,o,x,x,o,x,b,b,positive
152,x,o,o,x,x,o,o,x,x,positive
153,x,o,o,x,x,o,b,b,x,positive
154,x,o,o,x,x,b,x,o,b,positive
155,x,o,o,x,x,b,x,b,o,positive
156,x,o,o,x,x,b,o,b,x,positive
157,x,o,o,x,x,b,b,o,x,positive
158,x,o,o,x,o,x,x,x,o,positive
159,x,o,o,x,o,x,x,b,b,positive
160,x,o,o,x,o,o,x,x,x,positive
161,x,o,o,x,o,b,x,x,b,positive
162,x,o,o,x,o,b,x,b,x,positive
163,x,o,o,x,b,x,x,o,b,positive
164,x,o,o,x,b,x,x,b,o,positive
165,x,o,o,x,b,o,x,x,b,positive
166,x,o,o,x,b,o,x,b,x,positive
167,x,o,o,x,b,b,x,x,o,positive
168,x,o,o,x,b,b,x,o,x,positive
169,x,o,o,x,b,b,x,b,b,positive
170,x,o,o,o,x,x,x,o,x,positive
171,x,o,o,o,x,x,o,x,x,positive
172,x,o,o,o,x,x,b,b,x,positive
173,x,o,o,o,x,o,x,x,x,positive
174,x,o,o,o,x,b,x,b,x,positive
175,x,o,o,o,x,b,b,x,x,positive
176,x,o,o,o,o,x,x,x,x,positive
177,x,o,o,o,b,b,x,x,x,positive
178,x,o,o,b,x,x,o,b,x,positive
179,x,o,o,b,x,x,b,o,x,positive
180,x,o,o,b,x,o,x,b,x,positive
181,x,o,o,b,x,o,b,x,x,positive
182,x,o,o,b,x,b,x,o,x,positive
183,x,o,o,b,x,b,o,x,x,positive
184,x,o,o,b,x,b,b,b,x,positive
185,x,o,o,b,o,b,x,x,x,positive
186,x,o,o,b,b,o,x,x,x,positive
187,x,o,b,x,x,x,o,o,b,positive
188,x,o,b,x,x,x,o,b,o,positive
189,x,o,b,x,x,x,b,o,o,positive
190,x,o,b,x,x,o,x,o,b,positive
191,x,o,b,x,x,o,x,b,o,positive
192,x,o,b,x,x,o,o,b,x,positive
193,x,o,b,x,x,o,b,o,x,positive
194,x,o,b,x,x,b,x,o,o,positive
195,x,o,b,x,x,b,o,o,x,positive
196,x,o,b,x,o,x,x,b,o,positive
197,x,o,b,x,o,o,x,x,b,positive
198,x,o,b,x,o,o,x,b,x,positive
199,x,o,b,x,o,b,x,x,o,positive
200,x,o,b,x,o,b,x,b,b,positive
201,x,o,b,x,b,x,x,o,o,positive
202,x,o,b,x,b,o,x,x,o,positive
203,x,o,b,x,b,o,x,o,x,positive
204,x,o,b,x,b,o,x,b,b,positive
205,x,o,b,x,b,b,x,o,b,positive
206,x,o,b,x,b,b,x,b,o,positive
207,x,o,b,o,x,x,o,b,x,positive
208,x,o,b,o,x,x,b,o,x,positive
209,x,o,b,o,x,o,x,b,x,positive
210,x,o,b,o,x,o,b,x,x,positive
211,x,o,b,o,x,b,x,o,x,positive
212,x,o,b,o,x,b,o,x,x,positive
213,x,o,b,o,x,b,b,b,x,positive
214,x,o,b,o,o,b,x,x,x,positive
215,x,o,b,o,b,o,x,x,x,positive
216,x,o,b,b,x,x,o,o,x,positive
217,x,o,b,b,x,o,x,o,x,positive
218,x,o,b,b,x,o,o,x,x,positive
219,x,o,b,b,x,o,b,b,x,positive
220,x,o,b,b,x,b,o,b,x,positive
221,x,o,b,b,x,b,b,o,x,positive
222,x,o,b,b,o,o,x,x,x,positive
223,x,b,x,x,o,o,x,o,b,positive
224,x,b,x,x,o,o,x,b,o,positive
225,x,b,x,x,o,b,x,o,o,positive
226,x,b,x,x,b,o,x,o,o,positive
227,x,b,x,o,x,o,x,o,b,positive
228,x,b,x,o,x,o,x,b,o,positive
229,x,b,x,o,x,o,o,b,x,positive
230,x,b,x,o,x,o,b,o,x,positive
231,x,b,x,o,x,b,x,o,o,positive
232,x,b,x,o,x,b,o,o,x,positive
233,x,b,x,o,o,x,o,b,x,positive
234,x,b,x,o,o,x,b,o,x,positive
235,x,b,x,o,b,x,o,o,x,positive
236,x,b,x,b,x,o,x,o,o,positive
237,x,b,x,b,x,o,o,o,x,positive
238,x,b,x,b,o,x,o,o,x,positive
239,x,b,o,x,x,x,o,o,b,positive
240,x,b,o,x,x,x,o,b,o,positive
241,x,b,o,x,x,x,b,o,o,positive
242,x,b,o,x,x,o,x,o,b,positive
243,x,b,o,x,x,o,o,b,x,positive
244,x,b,o,x,x,o,b,o,x,positive
245,x,b,o,x,x,b,x,o,o,positive
246,x,b,o,x,x,b,o,o,x,positive
247,x,b,o,x,o,x,x,o,b,positive
248,x,b,o,x,o,x,x,b,o,positive
249,x,b,o,x,o,o,x,x,b,positive
250,x,b,o,x,o,o,x,b,x,positive
251,x,b,o,x,o,b,x,x,o,positive
252,x,b,o,x,o,b,x,o,x,positive
253,x,b,o,x,o,b,x,b,b,positive
254,x,b,o,x,b,x,x,o,o,positive
255,x,b,o,x,b,o,x,o,x,positive
256,x,b,o,x,b,o,x,b,b,positive
257,x,b,o,x,b,b,x,o,b,positive
258,x,b,o,x,b,b,x,b,o,positive
259,x,b,o,o,x,x,o,b,x,positive
260,x,b,o,o,x,x,b,o,x,positive
261,x,b,o,o,x,o,x,b,x,positive
262,x,b,o,o,x,o,b,x,x,positive
263,x,b,o,o,x,b,x,o,x,positive
264,x,b,o,o,x,b,o,x,x,positive
265,x,b,o,o,x,b,b,b,x,positive
266,x,b,o,o,o,b,x,x,x,positive
267,x,b,o,o,b,o,x,x,x,positive
268,x,b,o,b,x,x,o,o,x,positive
269,x,b,o,b,x,o,x,o,x,positive
270,x,b,o,b,x,o,o,x,x,positive
271,x,b,o,b,x,o,b,b,x,positive
272,x,b,o,b,x,b,o,b,x,positive
273,x,b,o,b,x,b,b,o,x,positive
274,x,b,o,b,o,o,x,x,x,positive
275,x,b,b,x,x,o,x,o,o,positive
276,x,b,b,x,x,o,o,o,x,positive
277,x,b,b,x,o,x,x,o,o,positive
278,x,b,b,x,o,o,x,x,o,positive
279,x,b,b,x,o,o,x,o,x,positive
280,x,b,b,x,o,o,x,b,b,positive
281,x,b,b,x,o,b,x,o,b,positive
282,x,b,b,x,o,b,x,b,o,positive
283,x,b,b,x,b,o,x,o,b,positive
284,x,b,b,x,b,o,x,b,o,positive
285,x,b,b,x,b,b,x,o,o,positive
286,x,b,b,o,x,x,o,o,x,positive
287,x,b,b,o,x,o,x,o,x,positive
288,x,b,b,o,x,o,o,x,x,positive
289,x,b,b,o,x,o,b,b,x,positive
290,x,b,b,o,x,b,o,b,x,positive
291,x,b,b,o,x,b,b,o,x,positive
292,x,b,b,b,x,o,o,b,x,positive
293,x,b,b,b,x,o,b,o,x,positive
294,x,b,b,b,x,b,o,o,x,positive
295,o,x,x,x,x,o,x,o,o,positive
296,o,x,x,x,x,o,o,x,o,positive
297,o,x,x,x,o,x,o,o,x,positive
298,o,x,x,o,x,x,x,o,o,positive
299,o,x,x,o,x,o,x,x,o,positive
300,o,x,x,o,x,o,x,o,x,positive
301,o,x,x,o,x,o,x,b,b,positive
302,o,x,x,o,x,o,b,x,b,positive
303,o,x,x,o,x,b,x,o,b,positive
304,o,x,x,o,x,b,x,b,o,positive
305,o,x,x,o,x,b,b,x,o,positive
306,o,x,x,o,o,x,x,o,x,positive
307,o,x,x,o,o,x,b,b,x,positive
308,o,x,x,o,b,x,b,o,x,positive
309,o,x,x,b,x,o,x,o,b,positive
310,o,x,x,b,x,o,x,b,o,positive
311,o,x,x,b,x,o,o,x,b,positive
312,o,x,x,b,x,o,b,x,o,positive
313,o,x,x,b,x,b,x,o,o,positive
314,o,x,x,b,x,b,o,x,o,positive
315,o,x,x,b,o,x,o,b,x,positive
316,o,x,x,b,o,x,b,o,x,positive
317,o,x,x,b,b,x,o,o,x,positive
318,o,x,o,x,x,x,x,o,o,positive
319,o,x,o,x,x,x,o,x,o,positive
320,o,x,o,x,x,x,o,o,x,positive
321,o,x,o,x,x,x,o,b,b,positive
322,o,x,o,x,x,x,b,o,b,positive
323,o,x,o,x,x,x,b,b,o,positive
324,o,x,o,x,x,o,o,x,x,positive
325,o,x,o,x,x,o,b,x,b,positive
326,o,x,o,x,x,b,o,x,b,positive
327,o,x,o,x,x,b,b,x,o,positive
328,o,x,o,x,o,o,x,x,x,positive
329,o,x,o,o,x,x,x,x,o,positive
330,o,x,o,o,x,x,b,x,b,positive
331,o,x,o,o,x,o,x,x,x,positive
332,o,x,o,o,x,b,x,x,b,positive
333,o,x,o,o,x,b,b,x,x,positive
334,o,x,o,o,o,x,x,x,x,positive
335,o,x,o,o,b,b,x,x,x,positive
336,o,x,o,b,x,x,o,x,b,positive
337,o,x,o,b,x,x,b,x,o,positive
338,o,x,o,b,x,o,x,x,b,positive
339,o,x,o,b,x,o,b,x,x,positive
340,o,x,o,b,x,b,x,x,o,positive
341,o,x,o,b,x,b,o,x,x,positive
342,o,x,o,b,x,b,b,x,b,positive
343,o,x,o,b,o,b,x,x,x,positive
344,o,x,o,b,b,o,x,x,x,positive
345,o,x,b,x,x,x,o,o,b,positive
346,o,x,b,x,x,x,o,b,o,positive
347,o,x,b,x,x,x,b,o,o,positive
348,o,x,b,x,x,o,o,x,b,positive
349,o,x,b,x,x,o,b,x,o,positive
350,o,x,b,x,x,b,o,x,o,positive
351,o,x,b,o,x,x,b,x,o,positive
352,o,x,b,o,x,o,x,x,b,positive
353,o,x,b,o,x,o,b,x,x,positive
354,o,x,b,o,x,b,x,x,o,positive
355,o,x,b,o,x,b,b,x,b,positive
356,o,x,b,o,o,b,x,x,x,positive
357,o,x,b,o,b,o,x,x,x,positive
358,o,x,b,b,x,x,o,x,o,positive
359,o,x,b,b,x,o,x,x,o,positive
360,o,x,b,b,x,o,o,x,x,positive
361,o,x,b,b,x,o,b,x,b,positive
362,o,x,b,b,x,b,o,x,b,positive
363,o,x,b,b,x,b,b,x,o,positive
364,o,x,b,b,o,o,x,x,x,positive
365,o,o,x,x,x,x,x,o,o,positive
366,o,o,x,x,x,x,o,x,o,positive
367,o,o,x,x,x,x,o,o,x,positive
368,o,o,x,x,x,x,o,b,b,positive
369,o,o,x,x,x,x,b,o,b,positive
370,o,o,x,x,x,x,b,b,o,positive
371,o,o,x,x,x,o,x,x,o,positive
372,o,o,x,x,x,o,x,o,x,positive
373,o,o,x,x,x,o,x,b,b,positive
374,o,o,x,x,x,b,x,o,b,positive
375,o,o,x,x,x,b,x,b,o,positive
376,o,o,x,x,o,x,o,x,x,positive
377,o,o,x,x,o,x,b,b,x,positive
378,o,o,x,x,o,o,x,x,x,positive
379,o,o,x,x,b,x,o,b,x,positive
380,o,o,x,x,b,x,b,o,x,positive
381,o,o,x,o,x,x,x,x,o,positive
382,o,o,x,o,x,x,x,o,x,positive
383,o,o,x,o,x,x,x,b,b,positive
384,o,o,x,o,x,x,b,b,x,positive
385,o,o,x,o,x,o,x,x,x,positive
386,o,o,x,o,x,b,x,x,b,positive
387,o,o,x,o,x,b,x,b,x,positive
388,o,o,x,o,o,x,x,x,x,positive
389,o,o,x,o,b,x,x,b,x,positive
390,o,o,x,o,b,x,b,x,x,positive
391,o,o,x,o,b,b,x,x,x,positive
392,o,o,x,b,x,x,x,o,b,positive
393,o,o,x,b,x,x,x,b,o,positive
394,o,o,x,b,x,x,o,b,x,positive
395,o,o,x,b,x,x,b,o,x,positive
396,o,o,x,b,x,o,x,x,b,positive
397,o,o,x,b,x,o,x,b,x,positive
398,o,o,x,b,x,b,x,x,o,positive
399,o,o,x,b,x,b,x,o,x,positive
400,o,o,x,b,x,b,x,b,b,positive
401,o,o,x,b,o,x,x,b,x,positive
402,o,o,x,b,o,x,b,x,x,positive
403,o,o,x,b,o,b,x,x,x,positive
404,o,o,x,b,b,x,x,o,x,positive
405,o,o,x,b,b,x,o,x,x,positive
406,o,o,x,b,b,x,b,b,x,positive
407,o,o,x,b,b,o,x,x,x,positive
408,o,o,b,x,x,x,x,o,b,positive
409,o,o,b,x,x,x,x,b,o,positive
410,o,o,b,x,x,x,o,x,b,positive
411,o,o,b,x,x,x,o,b,x,positive
412,o,o,b,x,x,x,b,x,o,positive
413,o,o,b,x,x,x,b,o,x,positive
414,o,o,b,x,x,x,b,b,b,positive
415,o,o,b,x,o,b,x,x,x,positive
416,o,o,b,x,b,o,x,x,x,positive
417,o,o,b,o,x,b,x,x,x,positive
418,o,o,b,o,b,x,x,x,x,positive
419,o,o,b,b,x,o,x,x,x,positive
420,o,o,b,b,o,x,x,x,x,positive
421,o,o,b,b,b,b,x,x,x,positive
422,o,b,x,x,x,x,o,o,b,positive
423,o,b,x,x,x,x,o,b,o,positive
424,o,b,x,x,x,x,b,o,o,positive
425,o,b,x,x,x,o,x,o,b,positive
426,o,b,x,x,x,o,x,b,o,positive
427,o,b,x,x,x,b,x,o,o,positive
428,o,b,x,x,o,x,o,b,x,positive
429,o,b,x,x,o,x,b,o,x,positive
430,o,b,x,x,b,x,o,o,x,positive
431,o,b,x,o,x,x,x,o,b,positive
432,o,b,x,o,x,x,x,b,o,positive
433,o,b,x,o,x,x,b,o,x,positive
434,o,b,x,o,x,o,x,x,b,positive
435,o,b,x,o,x,o,x,b,x,positive
436,o,b,x,o,x,b,x,x,o,positive
437,o,b,x,o,x,b,x,o,x,positive
438,o,b,x,o,x,b,x,b,b,positive
439,o,b,x,o,o,x,x,b,x,positive
440,o,b,x,o,o,x,b,x,x,positive
441,o,b,x,o,o,b,x,x,x,positive
442,o,b,x,o,b,x,x,o,x,positive
443,o,b,x,o,b,x,b,b,x,positive
444,o,b,x,o,b,o,x,x,x,positive
445,o,b,x,b,x,x,x,o,o,positive
446,o,b,x,b,x,x,o,o,x,positive
447,o,b,x,b,x,o,x,x,o,positive
448,o,b,x,b,x,o,x,o,x,positive
449,o,b,x,b,x,o,x,b,b,positive
450,o,b,x,b,x,b,x,o,b,positive
451,o,b,x,b,x,b,x,b,o,positive
452,o,b,x,b,o,x,x,o,x,positive
453,o,b,x,b,o,x,o,x,x,positive
454,o,b,x,b,o,x,b,b,x,positive
455,o,b,x,b,o,o,x,x,x,positive
456,o,b,x,b,b,x,o,b,x,positive
457,o,b,x,b,b,x,b,o,x,positive
458,o,b,o,x,x,x,x,o,b,positive
459,o,b,o,x,x,x,x,b,o,positive
460,o,b,o,x,x,x,o,x,b,positive
461,o,b,o,x,x,x,o,b,x,positive
462,o,b,o,x,x,x,b,x,o,positive
463,o,b,o,x,x,x,b,o,x,positive
464,o,b,o,x,x,x,b,b,b,positive
465,o,b,o,x,o,b,x,x,x,positive
466,o,b,o,x,b,o,x,x,x,positive
467,o,b,o,o,x,b,x,x,x,positive
468,o,b,o,o,b,x,x,x,x,positive
469,o,b,o,b,x,o,x,x,x,positive
470,o,b,o,b,o,x,x,x,x,positive
471,o,b,o,b,b,b,x,x,x,positive
472,o,b,b,x,x,x,x,o,o,positive
473,o,b,b,x,x,x,o,x,o,positive
474,o,b,b,x,x,x,o,o,x,positive
475,o,b,b,x,x,x,o,b,b,positive
476,o,b,b,x,x,x,b,o,b,positive
477,o,b,b,x,x,x,b,b,o,positive
478,o,b,b,x,o,o,x,x,x,positive
479,o,b,b,o,x,o,x,x,x,positive
480,o,b,b,o,o,x,x,x,x,positive
481,o,b,b,o,b,b,x,x,x,positive
482,o,b,b,b,o,b,x,x,x,positive
483,o,b,b,b,b,o,x,x,x,positive
484,b,x,x,o,x,o,x,o,b,positive
485,b,x,x,o,x,o,x,b,o,positive
486,b,x,x,o,x,o,o,x,b,positive
487,b,x,x,o,x,o,b,x,o,positive
488,b,x,x,o,x,b,x,o,o,positive
489,b,x,x,o,x,b,o,x,o,positive
490,b,x,x,o,o,x,o,b,x,positive
491,b,x,x,o,o,x,b,o,x,positive
492,b,x,x,o,b,x,o,o,x,positive
493,b,x,x,b,x,o,x,o,o,positive
494,b,x,x,b,x,o,o,x,o,positive
495,b,x,x,b,o,x,o,o,x,positive
496,b,x,o,x,x,x,o,o,b,positive
497,b,x,o,x,x,x,o,b,o,positive
498,b,x,o,x,x,x,b,o,o,positive
499,b,x,o,x,x,o,o,x,b,positive
500,b,x,o,x,x,b,o,x,o,positive
501,b,x,o,o,x,x,o,x,b,positive
502,b,x,o,o,x,x,b,x,o,positive
503,b,x,o,o,x,o,x,x,b,positive
504,b,x,o,o,x,o,b,x,x,positive
505,b,x,o,o,x,b,x,x,o,positive
506,b,x,o,o,x,b,o,x,x,positive
507,b,x,o,o,x,b,b,x,b,positive
508,b,x,o,o,o,b,x,x,x,positive
509,b,x,o,o,b,o,x,x,x,positive
510,b,x,o,b,x,x,o,x,o,positive
511,b,x,o,b,x,o,o,x,x,positive
512,b,x,o,b,x,o,b,x,b,positive
513,b,x,o,b,x,b,o,x,b,positive
514,b,x,o,b,x,b,b,x,o,positive
515,b,x,o,b,o,o,x,x,x,positive
516,b,x,b,x,x,o,o,x,o,positive
517,b,x,b,o,x,x,o,x,o,positive
518,b,x,b,o,x,o,x,x,o,positive
519,b,x,b,o,x,o,o,x,x,positive
520,b,x,b,o,x,o,b,x,b,positive
521,b,x,b,o,x,b,o,x,b,positive
522,b,x,b,o,x,b,b,x,o,positive
523,b,x,b,b,x,o,o,x,b,positive
524,b,x,b,b,x,o,b,x,o,positive
525,b,x,b,b,x,b,o,x,o,positive
526,b,o,x,x,x,x,o,o,b,positive
527,b,o,x,x,x,x,o,b,o,positive
528,b,o,x,x,x,x,b,o,o,positive
529,b,o,x,x,x,o,x,o,b,positive
530,b,o,x,x,x,o,x,b,o,positive
531,b,o,x,x,x,b,x,o,o,positive
532,b,o,x,x,o,x,o,b,x,positive
533,b,o,x,x,b,x,o,o,x,positive
534,b,o,x,o,x,x,x,o,b,positive
535,b,o,x,o,x,x,x,b,o,positive
536,b,o,x,o,x,x,o,b,x,positive
537,b,o,x,o,x,x,b,o,x,positive
538,b,o,x,o,x,o,x,x,b,positive
539,b,o,x,o,x,o,x,b,x,positive
540,b,o,x,o,x,b,x,x,o,positive
541,b,o,x,o,x,b,x,o,x,positive
542,b,o,x,o,x,b,x,b,b,positive
543,b,o,x,o,o,x,x,b,x,positive
544,b,o,x,o,o,x,b,x,x,positive
545,b,o,x,o,o,b,x,x,x,positive
546,b,o,x,o,b,x,x,o,x,positive
547,b,o,x,o,b,x,o,x,x,positive
548,b,o,x,o,b,x,b,b,x,positive
549,b,o,x,o,b,o,x,x,x,positive
550,b,o,x,b,x,x,x,o,o,positive
551,b,o,x,b,x,x,o,o,x,positive
552,b,o,x,b,x,o,x,x,o,positive
553,b,o,x,b,x,o,x,o,x,positive
554,b,o,x,b,x,o,x,b,b,positive
555,b,o,x,b,x,b,x,o,b,positive
556,b,o,x,b,x,b,x,b,o,positive
557,b,o,x,b,o,x,o,x,x,positive
558,b,o,x,b,o,x,b,b,x,positive
559,b,o,x,b,o,o,x,x,x,positive
560,b,o,x,b,b,x,o,b,x,positive
561,b,o,x,b,b,x,b,o,x,positive
562,b,o,o,x,x,x,x,o,b,positive
563,b,o,o,x,x,x,x,b,o,positive
564,b,o,o,x,x,x,o,x,b,positive
565,b,o,o,x,x,x,o,b,x,positive
566,b,o,o,x,x,x,b,x,o,positive
567,b,o,o,x,x,x,b,o,x,positive
568,b,o,o,x,x,x,b,b,b,positive
569,b,o,o,x,o,b,x,x,x,positive
570,b,o,o,x,b,o,x,x,x,positive
571,b,o,o,o,x,b,x,x,x,positive
572,b,o,o,o,b,x,x,x,x,positive
573,b,o,o,b,x,o,x,x,x,positive
574,b,o,o,b,o,x,x,x,x,positive
575,b,o,o,b,b,b,x,x,x,positive
576,b,o,b,x,x,x,x,o,o,positive
577,b,o,b,x,x,x,o,x,o,positive
578,b,o,b,x,x,x,o,o,x,positive
579,b,o,b,x,x,x,o,b,b,positive
580,b,o,b,x,x,x,b,o,b,positive
581,b,o,b,x,x,x,b,b,o,positive
582,b,o,b,x,o,o,x,x,x,positive
583,b,o,b,o,x,o,x,x,x,positive
584,b,o,b,o,o,x,x,x,x,positive
585,b,o,b,o,b,b,x,x,x,positive
586,b,o,b,b,o,b,x,x,x,positive
587,b,o,b,b,b,o,x,x,x,positive
588,b,b,x,x,x,o,x,o,o,positive
589,b,b,x,x,o,x,o,o,x,positive
590,b,b,x,o,x,x,x,o,o,positive
591,b,b,x,o,x,x,o,o,x,positive
592,b,b,x,o,x,o,x,x,o,positive
593,b,b,x,o,x,o,x,o,x,positive
594,b,b,x,o,x,o,x,b,b,positive
595,b,b,x,o,x,b,x,o,b,positive
596,b,b,x,o,x,b,x,b,o,positive
597,b,b,x,o,o,x,x,o,x,positive
598,b,b,x,o,o,x,o,x,x,positive
599,b,b,x,o,o,x,b,b,x,positive
600,b,b,x,o,b,x,o,b,x,positive
601,b,b,x,o,b,x,b,o,x,positive
