,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
12,3,605,84.8,3.89,78.1,6240,4.85,83, v2,0.758,1.79,0.03,6.5, v3,5.1,0.313, v2,802,1.8,0.485,35,43619,59721, v3, v3,7.35,1.75, v1,22,64937,2954,2.5,0.74,31.4, v3,57.8,28210,58674,0.87,1.83,0.14, v3, v2,43.8,434,4.9,3.3, v2,67,38,3,7.05,0.34,3.71,4.9,0.88, v2, v1,32.2,84,5145, v2,56.9,236, v1,35234,5620,63.4,68415,28272,853,38867,0.29,64408,3496,0.63,0.71, v1,4.6, v2,0.056,0.819,8.33,599, v1,67,43201,6052, v1,20506, v1,74,8777,6.15,40, v2,439,65.9,0.288,744, v1,72240,7010, v3,0.65,0.406,0.59,90,49.8,795,287,33,535,4.9,20, v1,0.48,5749,780,0.32,5.6, v2,61.4,698,588, class1
13,3.2,589,70.4,3.13,77.2,6733,9.04,84.8, v1,0.87,0.6,0.82,6, v2,4.4,0.576, v1,523,1.1,0.492,34,43911,17828, v3, v1,7.18,1.86, v2,34,83842,3573,2.5,0.43,76.6, v1,63.5,87230,56122,1.79,2.07,0.15, v1, v3,34.2,450,1.9,0.14, v1,78,15,2.4,5.41,0.05,5.65,6.8,0.71, v4, v1,33.7,85,5177, v2,77.5,277, v3,32787,4562,61.7,59249,24354,704,36097,0.22,40393,3659,0.66,0.37, v3,2.6, v2,0.045,0.875,1.04,484, v2,61,54434,5049, v2,55271, v1,48,8814,6.86,28, v1,463,74.9,0.253,748, v1,78058,6422, v3,0.72,0.348,0.55,66,59,255,271,48,535,4.6,83, v3,0.79,5769,878,0.58,3.6, v1,63.9,433,703, class1
14,2.7,608,90.8,3.46,78.2,5423,3.79,83, v2,0.799,1.48,0.42,7.2, v1,7.7,0.518, v1,540,4.2,0.745,17,53742,27802, v2, v3,5.02,2.3, v1,39,69037,3483,4.2,0.37,76.7, v3,65.1,48194,66355,1.24,2.21,0.2, v2, v1,32.9,447,2.8,5.44, v2,57,49,2.2,7.71,0.3,3.56,8.5,0.62, v1, v2,37.7,76,5358, v1,82.4,258, v3,35985,5505,62.8,57270,35515,878,39726,0.35,42012,4049,0.55,0.46, v2,1.7, v2,0.158,0.936,5.67,538, v2,50,34518,5299, v1,74895, v1,50,8824,8.11,32, v1,654,67.8,0.235,744, v3,54804,5488, v4,0.89,0.405,0.48,44,87.7,216,274,65,512,4.86,90, v2,0.61,5020,849,0.93,2.8, v1,62,673,590, class1
15,3.2,590,69.6,3.06,78.2,6773,1.17,87, v1,0.738,1.27,0.04,4.9, v2,8.2,0.545, v3,446,2.1,0.753,31,72720,58191, v1, v1,6.41,1.56, v3,35,82677,3354,4.5,0.45,76.7, v2,62.9,37345,57914,2.47,1.29,0.15, v3, v2,74.3,443,3.3,2.81, v1,72,53,2.8,8.3,0.25,4.96,4.8,0.77, v4, v2,35.9,39,5360, v1,83.8,234, v3,36160,3756,63.8,56931,31309,841,36325,0.23,77866,2810,0.45,0.25, v1,6.1, v4,0.273,0.842,6.78,541, v1,67,27101,6135, v2,72696, v3,56,8718,7.49,59, v2,528,60.3,0.206,534, v2,70182,5955, v1,0.89,0.264,0.3,43,85.2,472,289,61,503,4.45,67, v2,0.5,5754,878,0.74,2.4, v2,50.7,375,592, class4
16,5.3,587,92,3.01,78,8380,8.2,94.6, v1,0.808,1.25,0.09,5.8, v1,8.1,0.559, v1,470,0.9,0.197,35,58514,55646, v1, v1,5.3,1.88, v3,41,64166,3227,4.8,0.74,90.6, v2,58,68421,55216,1.88,1.52,0.29, v3, v4,32.7,441,3,3.61, v1,53,50,3.1,5.92,0.18,4.26,8.9,0.4, v2, v2,25.2,78,5108, v2,64.8,226, v1,48389,5548,51.6,58801,31890,868,24378,0.08,51111,4896,0.45,0.19, v2,4.5, v4,0.103,0.899,6.11,603, v3,66,52244,7236, v3,18604, v2,60,8854,6.64,28, v2,642,75.3,0.327,743, v2,75010,7214, v1,0.64,0.307,0.48,79,40.8,693,287,31,532,4.91,69, v3,0.81,4747,827,0.61,1.5, v2,63.4,220,590, class3
17,3,555,71.6,4.36,79.2,8699,3.62,92.4, v1,0.788,1.28,0.02,5.7, v3,6.5,0.618, v1,741,2.8,0.496,29,59667,57534, v3, v3,6.51,4.43, v1,23,80134,3000,4.1,0.48,89.8, v2,68.9,83691,42967,2.68,1.07,0.39, v2, v2,38,452,4.7,5.52, v2,65,23,2.1,5.79,0.35,5.15,8.9,0.41, v4, v3,24.4,75,5299, v1,17.9,331, v3,36377,3124,54.9,59040,34927,899,24991,0.32,41404,6226,0.78,0.35, v1,2.5, v2,0.048,0.201,6.7,588, v3,30,31868,8617, v3,20061, v1,54,9018,4.11,74, v2,433,74.8,0.231,745, v2,54833,6162, v4,0.59,0.294,0.44,51,39,294,275,23,538,4.9,70, v3,0.83,4676,763,0.6,3.5, v2,32.2,495,590, class1
18,3.6,555,70.1,4.14,78.7,5882,8.34,83.9, v2,0.773,1.39,0.83,4.4, v2,4,0.435, v3,171,1.6,0.199,45,77704,55820, v1, v3,6.44,5.72, v2,34,63629,3640,3.1,0.41,40.2, v3,62.7,71636,42478,2.55,1.52,0.64, v1, v3,31.5,452,4,6.55, v1,60,23,3.2,8.42,0.35,4.39,4.7,0.39, v2, v2,38.2,41,5251, v2,52.6,351, v1,37104,4760,61.2,57077,35801,903,25319,0.07,40319,3913,0.81,0.3, v3,5.5, v3,0.331,0.211,1.96,475, v3,37,28675,9193, v3,21262, v2,59,8862,2.22,34, v2,356,58.5,0.305,747, v2,64653,7896, v1,0.65,0.295,0.52,50,58.3,796,278,48,536,4.95,27, v3,0.76,5713,813,0.3,2, v1,45.6,494,592, class3
19,2.9,559,76.7,3.2,79,7005,8.59,90.9, v2,0.744,0.87,0.61,4.5, v3,7.6,0.663, v3,739,3.1,0.282,62,28711,43865, v2, v3,5.04,4.17, v1,23,66168,2920,5.4,0.56,37.4, v2,59.6,44217,58297,1.46,1.25,0.38, v1, v3,55.4,433,2.9,6.98, v1,51,50,5,6.27,0.35,3.56,9.5,0.24, v2, v2,37.9,57,5334, v2,81.6,344, v1,33726,3063,52.3,58558,32152,789,36003,0.23,55413,5806,0.78,0.27, v1,4.5, v2,0.052,0.824,6.13,560, v3,66,39155,7959, v3,19658, v1,54,8818,2.81,32, v1,655,59.9,0.243,746, v2,77926,5575, v4,0.91,0.301,0.39,43,37.2,224,303,26,536,4.88,57, v3,0.8,4674,609,0.56,4.8, v2,46.4,659,869, class1
20,4.6,558,70.6,3.91,78.6,5610,4.11,83.4, v2,0.787,1.3,0.74,4.9, v3,8.1,0.693, v1,307,3.2,0.24,36,49903,56079, v3, v2,6.47,1.12, v1,24,68816,3775,3.2,0.75,76.8, v3,64.4,86288,57072,0.99,1.88,0.73, v1, v2,49.1,447,2.6,5.96, v1,60,49,2.6,8.11,0.3,5.4,4.7,0.63, v3, v1,34.8,62,4940, v1,81.9,332, v1,40539,3330,64,58098,33671,919,28345,0.26,77242,4266,0.53,0.33, v2,3.2, v2,0.054,0.201,5.77,469, v2,52,29199,7780, v3,65128, v1,69,8794,1.65,51, v1,438,71.4,0.234,742, v1,59332,5878, v3,0.64,0.368,0.32,90,35.7,804,272,33,538,4.86,47, v3,0.81,5680,811,0.48,2.8, v1,71.3,660,602, class4
21,4.1,594,76.3,3.02,79.3,7110,8.92,83, v1,0.776,1.29,0.05,4.8, v3,7.7,0.644, v3,465,1.7,0.471,53,51364,45158, v1, v1,5.76,0.81, v1,40,85068,3361,5.9,0.49,91.5, v3,57.8,63152,55429,2.05,1.45,0.52, v2, v1,35.1,433,4.4,5.49, v1,62,16,7.1,6,0.35,6.06,7.5,0.79, v3, v1,36.8,82,4698, v1,62.5,361, v1,39686,3851,63.7,59008,33502,887,26232,0.2,41910,2736,0.71,0.44, v3,1.8, v1,0.084,0.31,1.16,490, v3,24,41354,6589, v2,39528, v1,56,8731,5.37,38, v2,652,59.3,0.199,707, v1,61241,6803, v2,0.85,0.309,0.5,43,82,943,274,38,537,4.56,92, v3,0.6,8053,899,0.31,3.3, v2,27.7,692,891, class1
22,2.6,596,80,4.04,78.4,5811,6.39,86.7, v1,0.745,1.56,0.05,6.9, v1,4.3,0.533, v2,141,2.9,0.322,58,47002,37810, v1, v2,6.43,5.34, v3,37,79916,2283,3,0.51,87.3, v3,58.8,42154,41337,2.14,2.42,0.71, v2, v3,36.7,422,1.8,5.61, v1,90,18,4.4,8.18,0.33,3.56,5.4,0.63, v4, v2,34.7,68,4705, v2,83.6,344, v2,30995,3519,63.4,57999,30704,809,39384,0.01,57860,4313,0.71,0.59, v1,4.4, v4,0.028,0.514,8.89,493, v3,12,31977,6253, v2,19028, v1,58,9023,7.76,60, v2,385,58,0.228,532, v1,74363,6667, v2,0.57,0.307,0.6,88,35.5,811,286,26,523,4.41,24, v1,0.56,8044,737,0.91,4.8, v2,33.3,636,840, class4
23,2.8,603,69.6,4.13,77.2,5585,9.02,93.1, v2,0.754,1.14,0.32,7.4, v2,7.7,0.502, v3,675,4.1,0.394,24,75688,11869, v2, v3,6.58,5.21, v3,33,73679,3098,4.9,0.43,93.8, v3,62.1,82822,63925,1.46,1.61,0.38, v3, v1,34.8,392,2.1,5.6, v2,90,54,3,8.54,0.18,4.47,5.6,0.77, v2, v2,32.2,85,5144, v1,81.9,331, v2,44008,5554,61.2,57104,35422,868,37645,0.23,53047,3867,0.5,0.2, v3,5.2, v1,0.048,0.925,6.17,595, v2,25,41297,5057, v1,65912, v3,64,8785,2.14,34, v1,619,69.8,0.236,633, v2,72351,6592, v3,0.56,0.402,0.37,43,78.1,932,330,30,511,4.71,88, v2,0.68,5468,614,0.61,2.3, v1,28.7,500,619, class4
24,6.6,574,69.7,4.1,76.5,6578,7.75,86.9, v1,0.857,1.17,0.14,5.9, v2,8.2,0.647, v2,599,0.6,0.763,38,33690,56070, v2, v2,6.48,5.43, v1,45,63599,3563,3.9,0.43,92.6, v3,58.7,53793,65380,1.28,1.82,0.39, v2, v2,66.7,451,4,5.35, v2,70,23,1.8,4.73,0.29,3.55,7.4,0.49, v2, v2,38.6,83,5318, v2,20.3,235, v2,39587,5472,50.7,57726,29492,861,37942,0.2,53038,5701,0.83,0.87, v3,4.3, v3,0.328,0.209,8.11,492, v3,66,47404,5973, v2,68860, v3,63,8786,5.9,36, v1,425,61.8,0.198,498, v1,63205,7704, v1,0.88,0.385,0.31,73,86,511,273,28,513,4.6,63, v2,0.76,4652,854,0.9,0.9, v2,45.8,623,732, class4
25,2.8,606,70.5,3.04,77.1,6624,9.03,85.4, v2,0.776,1.63,0.58,5.3, v3,6.1,0.4, v1,802,3.1,0.329,33,58375,20187, v1, v2,6.51,5.44, v3,29,63396,2175,3,0.45,76.8, v2,57.8,24463,55439,1.53,2.43,0.45, v1, v3,40.7,443,2.9,7.32, v2,75,28,1.8,6.72,0.05,3.55,8.5,0.65, v2, v1,34.8,74,5092, v2,52.8,343, v3,36001,5589,56.1,66677,30549,729,28378,0.04,42202,3931,0.57,0.39, v3,5.4, v2,0.094,0.288,2.01,478, v1,26,50716,7802, v3,62183, v2,53,9030,7.99,28, v2,650,68.6,0.214,493, v1,67175,5310, v3,0.5,0.321,0.36,44,64.2,771,282,39,508,4.62,41, v1,0.57,4665,610,0.93,3.9, v1,61,705,684, class1
26,5.9,541,90.8,3.24,79.4,6764,1.48,94.7, v2,0.789,1.26,0.42,6.9, v2,5.5,0.514, v2,550,3.9,0.322,74,51150,57139, v3, v3,6.57,6.39, v1,30,74673,2626,3.1,0.89,54.9, v2,61.9,70812,57113,2.78,2.49,0.48, v1, v1,52.8,435,2.8,7.6, v2,53,40,3.2,6.29,0.35,3.96,6.4,0.74, v2, v1,38.6,87,4884, v1,81.6,246, v3,42931,4566,62.8,57764,31101,726,27882,0.07,49958,6152,0.46,0.73, v3,2.1, v1,0.041,0.855,7.93,605, v1,26,31621,5318, v1,69320, v2,48,8889,5.61,51, v1,438,65.9,0.326,611, v1,71784,6535, v2,0.89,0.411,0.32,84,69.4,269,339,65,530,4.62,33, v3,0.74,6549,795,0.37,5.4, v1,28.7,665,599, class4
27,3,557,76.7,4.14,79.4,7686,1.4,86.9, v1,0.74,1.24,0.03,4.4, v1,8.2,0.474, v3,802,3.1,0.333,21,74394,20623, v3, v1,4.71,2.13, v1,25,80181,3026,4.6,0.5,89.1, v2,57.7,52835,39656,1.9,1.24,0.51, v1, v4,42.7,438,4.5,5.56, v1,53,21,1.6,6.16,0.18,5.8,4.7,0.75, v2, v2,37.1,76,5266, v1,39.1,338, v2,38886,5549,62.7,58174,30672,729,35006,0.18,68632,3575,0.72,0.5, v1,1.2, v1,0.055,0.835,8.02,538, v2,66,31168,8253, v1,20158, v1,68,9026,5.4,33, v1,652,65.7,0.233,745, v2,54796,5826, v3,0.57,0.285,0.35,55,80,227,272,25,508,4.89,42, v2,0.73,6812,615,0.28,5.6, v2,27.6,639,804, class3
28,3.2,598,70.5,4.04,78.5,6631,8.7,92.1, v2,0.806,1.5,0.04,4.7, v1,4.7,0.521, v2,282,3,0.312,59,82786,56017, v1, v3,6.35,9.09, v1,29,70278,3252,3.5,0.93,49, v2,63.2,48075,66299,2.79,1.75,0.69, v3, v4,32.2,455,3,6.42, v2,64,21,2.2,4.63,0.33,4.36,8.6,0.67, v2, v1,30.8,86,5150, v2,83.3,332, v3,35534,4541,61.4,64965,30289,733,38832,0.22,75449,3918,0.48,0.61, v3,4, v3,0.15,0.867,2.01,595, v3,56,36575,8413, v2,65408, v3,65,8685,5.67,35, v2,629,66,0.234,745, v2,54847,6387, v4,0.88,0.307,0.53,44,42.9,450,274,29,527,4.56,55, v2,0.71,5736,614,0.92,4, v2,44.1,623,591, class4
29,5.2,565,89.3,2.78,78.1,6046,7.88,94, v2,0.754,1.18,0.04,4.9, v1,5.3,0.349, v3,804,1.9,0.475,45,80844,50850, v3, v2,6.54,5.3, v1,47,79487,3633,3,0.51,31.3, v3,65.6,24985,57560,0.82,1.76,0.16, v2, v1,35,450,4,5.66, v1,60,52,2.2,5.37,0.34,6.01,5.5,0.62, v2, v1,34.6,86,5033, v1,52.8,344, v3,40369,3089,62.9,57405,33921,747,30430,0.38,41739,3832,0.47,0.37, v3,5.6, v2,0.277,0.282,3.45,556, v3,42,54111,5194, v1,64893, v1,50,8829,3.22,26, v1,609,61.4,0.233,474, v1,54835,8273, v3,0.69,0.406,0.6,43,33.1,818,275,32,505,4.88,86, v2,0.63,5751,609,0.31,4.3, v1,44.8,692,763, class1
30,3.2,607,77.2,4.16,77.1,6618,1.61,93.6, v1,0.753,1.3,0.4,5.1, v2,4.8,0.656, v3,526,1.4,0.491,65,71772,37739, v3, v3,6.05,0.59, v1,25,66398,3691,5.4,0.93,77.8, v1,59.4,68658,56451,1.66,1.37,0.64, v1, v3,33.9,443,3,0.84, v1,87,54,3,4.72,0.11,5,9.4,0.61, v4, v1,26.6,80,5220, v1,82.4,330, v2,41298,5455,51.6,52131,29917,783,37519,0.12,40232,6233,0.71,0.7, v3,5.1, v4,0.054,0.892,5.69,505, v2,66,31437,7909, v2,63490, v1,68,8963,4.24,68, v1,370,69.6,0.209,635, v3,68222,7180, v1,0.91,0.407,0.54,74,49.5,577,321,23,534,4.86,61, v3,0.79,4663,904,0.61,5.5, v1,26.8,654,674, class4
31,2.9,590,74.7,3.55,78.1,7183,5.69,84, v1,0.783,1.14,0.58,7.3, v1,4.8,0.663, v3,743,2.1,0.325,81,48127,11406, v2, v2,6.48,0.75, v2,40,76052,2531,3.1,0.41,93.1, v1,71.6,36361,65708,1.5,2.34,0.5, v1, v4,34.8,434,2.8,5.42, v2,56,53,4.9,6.5,0.23,5.54,6.8,0.84, v3, v2,36.1,58,5080, v2,28.3,249, v2,37407,5321,65.6,58737,26876,917,26402,0.29,66100,5716,0.65,0.74, v3,4, v1,0.059,0.614,6.11,573, v1,15,42468,8786, v3,19910, v2,76,8973,3.36,41, v1,355,73.7,0.221,496, v3,59074,6599, v1,0.49,0.308,0.44,47,63.7,796,271,62,534,4.56,32, v1,0.76,4730,901,0.85,2.4, v2,29.5,542,750, class1
32,5.2,602,89.5,3.02,77.4,6851,1.32,86, v1,0.784,1.38,0.43,6.1, v2,4.6,0.672, v1,765,3.8,0.5,28,72421,37840, v3, v2,4.36,4.9, v1,20,69121,3789,5.3,0.41,46.1, v1,63.1,63332,55459,2.7,1.71,0.7, v3, v1,66.9,434,4.8,3.43, v1,58,53,7.1,8.44,0.07,6.01,8.9,0.83, v2, v4,38.5,83,5046, v1,31.9,342, v3,35866,3964,62.2,57250,33998,898,38398,0.34,42633,3971,0.48,0.3, v2,5.5, v1,0.292,0.334,7.48,561, v1,56,37817,7908, v1,50066, v2,60,8837,7.63,28, v2,393,60.4,0.301,745, v1,75048,6752, v2,0.55,0.363,0.38,43,38.5,386,342,23,512,4.53,93, v1,0.73,4675,907,0.35,1.9, v1,55.7,641,705, class4
