,parents,has_nurs,form,children,housing,finance,social,health,target
112,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,priority
113,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
114,usual,proper,complete,3,convenient,convenient,problematic,recommended,priority
115,usual,proper,complete,3,convenient,convenient,problematic,priority,priority
116,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
117,usual,proper,complete,3,convenient,inconv,nonprob,recommended,priority
118,usual,proper,complete,3,convenient,inconv,nonprob,priority,priority
119,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
120,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,priority
121,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
122,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
123,usual,proper,complete,3,convenient,inconv,problematic,recommended,priority
124,usual,proper,complete,3,convenient,inconv,problematic,priority,priority
125,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
126,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,priority
127,usual,proper,complete,3,less_conv,convenient,nonprob,priority,priority
128,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,not_recom
129,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
130,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,priority
131,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
132,usual,proper,complete,3,less_conv,convenient,problematic,recommended,priority
133,usual,proper,complete,3,less_conv,convenient,problematic,priority,priority
134,usual,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recom
135,usual,proper,complete,3,less_conv,inconv,nonprob,recommended,priority
136,usual,proper,complete,3,less_conv,inconv,nonprob,priority,priority
137,usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
138,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,priority
139,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,priority
140,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
141,usual,proper,complete,3,less_conv,inconv,problematic,recommended,priority
142,usual,proper,complete,3,less_conv,inconv,problematic,priority,priority
143,usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recom
144,usual,proper,complete,3,critical,convenient,nonprob,recommended,priority
145,usual,proper,complete,3,critical,convenient,nonprob,priority,priority
146,usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
147,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,priority
148,usual,proper,complete,3,critical,convenient,slightly_prob,priority,priority
149,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
150,usual,proper,complete,3,critical,convenient,problematic,recommended,priority
151,usual,proper,complete,3,critical,convenient,problematic,priority,priority
152,usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recom
153,usual,proper,complete,3,critical,inconv,nonprob,recommended,priority
154,usual,proper,complete,3,critical,inconv,nonprob,priority,priority
155,usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recom
156,usual,proper,complete,3,critical,inconv,slightly_prob,recommended,priority
157,usual,proper,complete,3,critical,inconv,slightly_prob,priority,priority
158,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
159,usual,proper,complete,3,critical,inconv,problematic,recommended,priority
160,usual,proper,complete,3,critical,inconv,problematic,priority,priority
161,usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
162,usual,proper,complete,more,convenient,convenient,nonprob,recommended,very_recom
163,usual,proper,complete,more,convenient,convenient,nonprob,priority,priority
164,usual,proper,complete,more,convenient,convenient,nonprob,not_recom,not_recom
165,usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,very_recom
166,usual,proper,complete,more,convenient,convenient,slightly_prob,priority,priority
167,usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recom
168,usual,proper,complete,more,convenient,convenient,problematic,recommended,priority
169,usual,proper,complete,more,convenient,convenient,problematic,priority,priority
170,usual,proper,complete,more,convenient,convenient,problematic,not_recom,not_recom
171,usual,proper,complete,more,convenient,inconv,nonprob,recommended,priority
172,usual,proper,complete,more,convenient,inconv,nonprob,priority,priority
173,usual,proper,complete,more,convenient,inconv,nonprob,not_recom,not_recom
174,usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,priority
175,usual,proper,complete,more,convenient,inconv,slightly_prob,priority,priority
176,usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom,not_recom
177,usual,proper,complete,more,convenient,inconv,problematic,recommended,priority
178,usual,proper,complete,more,convenient,inconv,problematic,priority,priority
179,usual,proper,complete,more,convenient,inconv,problematic,not_recom,not_recom
180,usual,proper,complete,more,less_conv,convenient,nonprob,recommended,priority
181,usual,proper,complete,more,less_conv,convenient,nonprob,priority,priority
182,usual,proper,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
183,usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended,priority
184,usual,proper,complete,more,less_conv,convenient,slightly_prob,priority,priority
185,usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
186,usual,proper,complete,more,less_conv,convenient,problematic,recommended,priority
187,usual,proper,complete,more,less_conv,convenient,problematic,priority,priority
188,usual,proper,complete,more,less_conv,convenient,problematic,not_recom,not_recom
189,usual,proper,complete,more,less_conv,inconv,nonprob,recommended,priority
190,usual,proper,complete,more,less_conv,inconv,nonprob,priority,priority
191,usual,proper,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
192,usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended,priority
193,usual,proper,complete,more,less_conv,inconv,slightly_prob,priority,priority
194,usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
195,usual,proper,complete,more,less_conv,inconv,problematic,recommended,priority
196,usual,proper,complete,more,less_conv,inconv,problematic,priority,priority
197,usual,proper,complete,more,less_conv,inconv,problematic,not_recom,not_recom
198,usual,proper,complete,more,critical,convenient,nonprob,recommended,priority
199,usual,proper,complete,more,critical,convenient,nonprob,priority,priority
200,usual,proper,complete,more,critical,convenient,nonprob,not_recom,not_recom
201,usual,proper,complete,more,critical,convenient,slightly_prob,recommended,priority
202,usual,proper,complete,more,critical,convenient,slightly_prob,priority,priority
203,usual,proper,complete,more,critical,convenient,slightly_prob,not_recom,not_recom
204,usual,proper,complete,more,critical,convenient,problematic,recommended,priority
205,usual,proper,complete,more,critical,convenient,problematic,priority,priority
206,usual,proper,complete,more,critical,convenient,problematic,not_recom,not_recom
207,usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
208,usual,proper,complete,more,critical,inconv,nonprob,priority,priority
209,usual,proper,complete,more,critical,inconv,nonprob,not_recom,not_recom
210,usual,proper,complete,more,critical,inconv,slightly_prob,recommended,priority
211,usual,proper,complete,more,critical,inconv,slightly_prob,priority,priority
212,usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,not_recom
213,usual,proper,complete,more,critical,inconv,problematic,recommended,priority
214,usual,proper,complete,more,critical,inconv,problematic,priority,priority
215,usual,proper,complete,more,critical,inconv,problematic,not_recom,not_recom
216,usual,proper,completed,1,convenient,convenient,nonprob,recommended,very_recom
217,usual,proper,completed,1,convenient,convenient,nonprob,priority,priority
218,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
219,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended,very_recom
220,usual,proper,completed,1,convenient,convenient,slightly_prob,priority,priority
221,usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
222,usual,proper,completed,1,convenient,convenient,problematic,recommended,priority
223,usual,proper,completed,1,convenient,convenient,problematic,priority,priority
224,usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recom
225,usual,proper,completed,1,convenient,inconv,nonprob,recommended,very_recom
226,usual,proper,completed,1,convenient,inconv,nonprob,priority,priority
227,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
228,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended,very_recom
229,usual,proper,completed,1,convenient,inconv,slightly_prob,priority,priority
230,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
231,usual,proper,completed,1,convenient,inconv,problematic,recommended,priority
232,usual,proper,completed,1,convenient,inconv,problematic,priority,priority
233,usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recom
234,usual,proper,completed,1,less_conv,convenient,nonprob,recommended,very_recom
235,usual,proper,completed,1,less_conv,convenient,nonprob,priority,priority
236,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom,not_recom
237,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended,very_recom
238,usual,proper,completed,1,less_conv,convenient,slightly_prob,priority,priority
239,usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
240,usual,proper,completed,1,less_conv,convenient,problematic,recommended,priority
241,usual,proper,completed,1,less_conv,convenient,problematic,priority,priority
242,usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recom
243,usual,proper,completed,1,less_conv,inconv,nonprob,recommended,very_recom
244,usual,proper,completed,1,less_conv,inconv,nonprob,priority,priority
245,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recom
246,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,very_recom
247,usual,proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
248,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recom
249,usual,proper,completed,1,less_conv,inconv,problematic,recommended,priority
250,usual,proper,completed,1,less_conv,inconv,problematic,priority,priority
251,usual,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recom
252,usual,proper,completed,1,critical,convenient,nonprob,recommended,priority
253,usual,proper,completed,1,critical,convenient,nonprob,priority,priority
254,usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
255,usual,proper,completed,1,critical,convenient,slightly_prob,recommended,priority
256,usual,proper,completed,1,critical,convenient,slightly_prob,priority,priority
257,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
258,usual,proper,completed,1,critical,convenient,problematic,recommended,priority
259,usual,proper,completed,1,critical,convenient,problematic,priority,priority
260,usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recom
261,usual,proper,completed,1,critical,inconv,nonprob,recommended,priority
262,usual,proper,completed,1,critical,inconv,nonprob,priority,priority
263,usual,proper,completed,1,critical,inconv,nonprob,not_recom,not_recom
264,usual,proper,completed,1,critical,inconv,slightly_prob,recommended,priority
265,usual,proper,completed,1,critical,inconv,slightly_prob,priority,priority
266,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recom
267,usual,proper,completed,1,critical,inconv,problematic,recommended,priority
268,usual,proper,completed,1,critical,inconv,problematic,priority,priority
269,usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recom
270,usual,proper,completed,2,convenient,convenient,nonprob,recommended,very_recom
271,usual,proper,completed,2,convenient,convenient,nonprob,priority,priority
272,usual,proper,completed,2,convenient,convenient,nonprob,not_recom,not_recom
273,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended,very_recom
274,usual,proper,completed,2,convenient,convenient,slightly_prob,priority,priority
275,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom,not_recom
276,usual,proper,completed,2,convenient,convenient,problematic,recommended,priority
277,usual,proper,completed,2,convenient,convenient,problematic,priority,priority
278,usual,proper,completed,2,convenient,convenient,problematic,not_recom,not_recom
279,usual,proper,completed,2,convenient,inconv,nonprob,recommended,very_recom
280,usual,proper,completed,2,convenient,inconv,nonprob,priority,priority
281,usual,proper,completed,2,convenient,inconv,nonprob,not_recom,not_recom
282,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
283,usual,proper,completed,2,convenient,inconv,slightly_prob,priority,priority
284,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom,not_recom
285,usual,proper,completed,2,convenient,inconv,problematic,recommended,priority
286,usual,proper,completed,2,convenient,inconv,problematic,priority,priority
287,usual,proper,completed,2,convenient,inconv,problematic,not_recom,not_recom
288,usual,proper,completed,2,less_conv,convenient,nonprob,recommended,very_recom
289,usual,proper,completed,2,less_conv,convenient,nonprob,priority,priority
290,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recom
291,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended,very_recom
292,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority,priority
293,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom,not_recom
294,usual,proper,completed,2,less_conv,convenient,problematic,recommended,priority
295,usual,proper,completed,2,less_conv,convenient,problematic,priority,priority
296,usual,proper,completed,2,less_conv,convenient,problematic,not_recom,not_recom
297,usual,proper,completed,2,less_conv,inconv,nonprob,recommended,very_recom
298,usual,proper,completed,2,less_conv,inconv,nonprob,priority,priority
299,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
300,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended,very_recom
301,usual,proper,completed,2,less_conv,inconv,slightly_prob,priority,priority
302,usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recom
303,usual,proper,completed,2,less_conv,inconv,problematic,recommended,priority
304,usual,proper,completed,2,less_conv,inconv,problematic,priority,priority
305,usual,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
306,usual,proper,completed,2,critical,convenient,nonprob,recommended,priority
307,usual,proper,completed,2,critical,convenient,nonprob,priority,priority
308,usual,proper,completed,2,critical,convenient,nonprob,not_recom,not_recom
309,usual,proper,completed,2,critical,convenient,slightly_prob,recommended,priority
310,usual,proper,completed,2,critical,convenient,slightly_prob,priority,priority
311,usual,proper,completed,2,critical,convenient,slightly_prob,not_recom,not_recom
312,usual,proper,completed,2,critical,convenient,problematic,recommended,priority
313,usual,proper,completed,2,critical,convenient,problematic,priority,priority
314,usual,proper,completed,2,critical,convenient,problematic,not_recom,not_recom
315,usual,proper,completed,2,critical,inconv,nonprob,recommended,priority
316,usual,proper,completed,2,critical,inconv,nonprob,priority,priority
317,usual,proper,completed,2,critical,inconv,nonprob,not_recom,not_recom
318,usual,proper,completed,2,critical,inconv,slightly_prob,recommended,priority
319,usual,proper,completed,2,critical,inconv,slightly_prob,priority,priority
320,usual,proper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
321,usual,proper,completed,2,critical,inconv,problematic,recommended,priority
322,usual,proper,completed,2,critical,inconv,problematic,priority,priority
323,usual,proper,completed,2,critical,inconv,problematic,not_recom,not_recom
324,usual,proper,completed,3,convenient,convenient,nonprob,recommended,very_recom
325,usual,proper,completed,3,convenient,convenient,nonprob,priority,priority
326,usual,proper,completed,3,convenient,convenient,nonprob,not_recom,not_recom
327,usual,proper,completed,3,convenient,convenient,slightly_prob,recommended,very_recom
328,usual,proper,completed,3,convenient,convenient,slightly_prob,priority,priority
329,usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recom
330,usual,proper,completed,3,convenient,convenient,problematic,recommended,priority
331,usual,proper,completed,3,convenient,convenient,problematic,priority,priority
332,usual,proper,completed,3,convenient,convenient,problematic,not_recom,not_recom
333,usual,proper,completed,3,convenient,inconv,nonprob,recommended,priority
334,usual,proper,completed,3,convenient,inconv,nonprob,priority,priority
335,usual,proper,completed,3,convenient,inconv,nonprob,not_recom,not_recom
336,usual,proper,completed,3,convenient,inconv,slightly_prob,recommended,priority
337,usual,proper,completed,3,convenient,inconv,slightly_prob,priority,priority
338,usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom,not_recom
339,usual,proper,completed,3,convenient,inconv,problematic,recommended,priority
340,usual,proper,completed,3,convenient,inconv,problematic,priority,priority
341,usual,proper,completed,3,convenient,inconv,problematic,not_recom,not_recom
342,usual,proper,completed,3,less_conv,convenient,nonprob,recommended,priority
343,usual,proper,completed,3,less_conv,convenient,nonprob,priority,priority
344,usual,proper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
345,usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended,priority
346,usual,proper,completed,3,less_conv,convenient,slightly_prob,priority,priority
347,usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom,not_recom
348,usual,proper,completed,3,less_conv,convenient,problematic,recommended,priority
349,usual,proper,completed,3,less_conv,convenient,problematic,priority,priority
350,usual,proper,completed,3,less_conv,convenient,problematic,not_recom,not_recom
351,usual,proper,completed,3,less_conv,inconv,nonprob,recommended,priority
352,usual,proper,completed,3,less_conv,inconv,nonprob,priority,priority
353,usual,proper,completed,3,less_conv,inconv,nonprob,not_recom,not_recom
354,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended,priority
355,usual,proper,completed,3,less_conv,inconv,slightly_prob,priority,priority
356,usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
357,usual,proper,completed,3,less_conv,inconv,problematic,recommended,priority
358,usual,proper,completed,3,less_conv,inconv,problematic,priority,priority
359,usual,proper,completed,3,less_conv,inconv,problematic,not_recom,not_recom
360,usual,proper,completed,3,critical,convenient,nonprob,recommended,priority
361,usual,proper,completed,3,critical,convenient,nonprob,priority,priority
362,usual,proper,completed,3,critical,convenient,nonprob,not_recom,not_recom
363,usual,proper,completed,3,critical,convenient,slightly_prob,recommended,priority
364,usual,proper,completed,3,critical,convenient,slightly_prob,priority,priority
365,usual,proper,completed,3,critical,convenient,slightly_prob,not_recom,not_recom
366,usual,proper,completed,3,critical,convenient,problematic,recommended,priority
367,usual,proper,completed,3,critical,convenient,problematic,priority,priority
368,usual,proper,completed,3,critical,convenient,problematic,not_recom,not_recom
369,usual,proper,completed,3,critical,inconv,nonprob,recommended,priority
370,usual,proper,completed,3,critical,inconv,nonprob,priority,priority
371,usual,proper,completed,3,critical,inconv,nonprob,not_recom,not_recom
372,usual,proper,completed,3,critical,inconv,slightly_prob,recommended,priority
373,usual,proper,completed,3,critical,inconv,slightly_prob,priority,priority
374,usual,proper,completed,3,critical,inconv,slightly_prob,not_recom,not_recom
375,usual,proper,completed,3,critical,inconv,problematic,recommended,priority
376,usual,proper,completed,3,critical,inconv,problematic,priority,priority
377,usual,proper,completed,3,critical,inconv,problematic,not_recom,not_recom
378,usual,proper,completed,more,convenient,convenient,nonprob,recommended,very_recom
379,usual,proper,completed,more,convenient,convenient,nonprob,priority,priority
380,usual,proper,completed,more,convenient,convenient,nonprob,not_recom,not_recom
381,usual,proper,completed,more,convenient,convenient,slightly_prob,recommended,very_recom
382,usual,proper,completed,more,convenient,convenient,slightly_prob,priority,priority
383,usual,proper,completed,more,convenient,convenient,slightly_prob,not_recom,not_recom
384,usual,proper,completed,more,convenient,convenient,problematic,recommended,priority
385,usual,proper,completed,more,convenient,convenient,problematic,priority,priority
386,usual,proper,completed,more,convenient,convenient,problematic,not_recom,not_recom
387,usual,proper,completed,more,convenient,inconv,nonprob,recommended,priority
388,usual,proper,completed,more,convenient,inconv,nonprob,priority,priority
389,usual,proper,completed,more,convenient,inconv,nonprob,not_recom,not_recom
390,usual,proper,completed,more,convenient,inconv,slightly_prob,recommended,priority
391,usual,proper,completed,more,convenient,inconv,slightly_prob,priority,priority
392,usual,proper,completed,more,convenient,inconv,slightly_prob,not_recom,not_recom
393,usual,proper,completed,more,convenient,inconv,problematic,recommended,priority
394,usual,proper,completed,more,convenient,inconv,problematic,priority,priority
395,usual,proper,completed,more,convenient,inconv,problematic,not_recom,not_recom
396,usual,proper,completed,more,less_conv,convenient,nonprob,recommended,priority
397,usual,proper,completed,more,less_conv,convenient,nonprob,priority,priority
398,usual,proper,completed,more,less_conv,convenient,nonprob,not_recom,not_recom
399,usual,proper,completed,more,less_conv,convenient,slightly_prob,recommended,priority
400,usual,proper,completed,more,less_conv,convenient,slightly_prob,priority,priority
401,usual,proper,completed,more,less_conv,convenient,slightly_prob,not_recom,not_recom
402,usual,proper,completed,more,less_conv,convenient,problematic,recommended,priority
403,usual,proper,completed,more,less_conv,convenient,problematic,priority,priority
404,usual,proper,completed,more,less_conv,convenient,problematic,not_recom,not_recom
405,usual,proper,completed,more,less_conv,inconv,nonprob,recommended,priority
406,usual,proper,completed,more,less_conv,inconv,nonprob,priority,priority
