,Choral ID,Event number,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Bass,Meter,Chord label
78,000106b_,79, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO,F,1, D_m7
79,000106b_,80, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,G,3, G_M
80,000106b_,81,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4, C_M
81,000106b_,82,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
82,000106b_,83, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
83,000106b_,84, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
84,000106b_,85, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2, BbM
85,000106b_,86,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C,3, A_m
86,000106b_,87,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,C,2, A_m
87,000106b_,88, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,D,4, C_M7
88,000106b_,89,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,2, C_M7
89,000106b_,90,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
90,000106b_,91,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
91,000106b_,92,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,5, C_M4
92,000106b_,93,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,2, C_M4
93,000106b_,94,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,1, C_M4
94,000106b_,95,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,3, C_M7
95,000106b_,96,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,2, C_M7
96,000106b_,97,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1, C_M7
97,000106b_,98,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
98,000106b_,99,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,5, C_M
99,000106b_,100,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2, C_M
100,000106b_,101,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,1, C_M
101,000106b_,102,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,3, C_M
102,000106b_,103,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,1, C_M
103,000106b_,104,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2, C_M
104,000106b_,105,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,1, C_M
105,000106b_,106,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
106,000106b_,107,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,5, C_M4
107,000106b_,108,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO,C,1, C_M4
108,000106b_,109,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M4
109,000106b_,110,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,C,1, C_M4
110,000106b_,111,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3, C_M
111,000106b_,112,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
112,000106b_,113,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5, F_M
113,000106b_,114,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,G,2, F_M
114,000106b_,115,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3, F_M
115,000106b_,116,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
116,000106b_,117,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4, C_M
117,000106b_,118,YES, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO,D,2, C_M
118,000106b_,119,YES, NO,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,D,1, C_M
119,000106b_,120,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,3, C_M7
120,000106b_,121,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M7
121,000106b_,122,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1, C_M7
122,000106b_,123,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5, F_M
123,000106b_,124,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,G,2, F_M
124,000106b_,125,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3, F_M
125,000106b_,126,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
126,000106b_,127,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4, C_M
127,000106b_,128,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M
128,000106b_,129,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO,Bb,3, F_M
129,000106b_,130,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2, F_M
130,000106b_,131, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,C,5, G_m
131,000106b_,132, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,C,2, G_m
132,000106b_,133, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1, G_m
133,000106b_,134, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,3, D_m
134,000106b_,135,YES, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO,C,2, D_m
135,000106b_,136, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,4, G_m
136,000106b_,137, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2, G_m
137,000106b_,138,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3, C_M
138,000106b_,139,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M
139,000106b_,140,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,1, C_M
140,000106b_,141,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5, F_M
141,000106b_,142, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,4, D_m
142,000106b_,143, NO, NO,YES, NO, NO,YES, NO,YES, NO,YES, NO, NO,D,1, D_m
143,000106b_,144, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, D_m
144,000106b_,145, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,F,1, D_m
145,000106b_,146,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,3, A_m
146,000106b_,147,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,A,2, A_m
147,000106b_,148,YES, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
148,000106b_,149, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,2, BbM
149,000106b_,150,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,F,3, F_M
150,000106b_,151,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
151,000106b_,152, NO, NO, NO, NO, NO,YES, NO,YES, NO,YES,YES, NO,G,4, C_M7
152,000106b_,153, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,2, C_M7
153,000106b_,154,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO,A,3, F_M
154,000106b_,155, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2, F_M
155,000106b_,156, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,5, G_M7
156,000106b_,157, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2, G_M7
157,000106b_,158,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3, C_M
158,000106b_,159,YES, NO, NO, NO,YES,YES, NO,YES, NO, NO, NO, NO,C,1, C_M
159,000106b_,160,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M
160,000106b_,161,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,1, C_M
161,000106b_,162,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
162,000206b_,1, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
163,000206b_,2, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5, G_m
164,000206b_,3,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,A,3, F#d
165,000206b_,4, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,4, G_m
166,000206b_,5, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO,A,3, G_m
167,000206b_,6, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,2, G_m
168,000206b_,7, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,5, D_M
169,000206b_,8,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,2, D_M
170,000206b_,9, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3, G_m
171,000206b_,10, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,4, D_M
172,000206b_,11,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,C,3, AbM
173,000206b_,12, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C#,5, C#d7
174,000206b_,13, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
175,000206b_,14,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,2, D_M
176,000206b_,15, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,4, C#d7
177,000206b_,16,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,3, D_M7
178,000206b_,17, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5, G_m
179,000206b_,18, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
180,000206b_,19, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,1, D_M
181,000206b_,20,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,2, D_M
182,000206b_,21, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,4, G_m
183,000206b_,22, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
184,000206b_,23, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5, G_m
185,000206b_,24,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,A,3, F#d
186,000206b_,25, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,4, G_m
187,000206b_,26, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO,A,3, G_m
188,000206b_,27, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,2, G_m
189,000206b_,28, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,5, D_M
190,000206b_,29,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,2, D_M
191,000206b_,30, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3, G_m
192,000206b_,31, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,4, D_M
193,000206b_,32,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,C,3, AbM
194,000206b_,33, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C#,5, C#d7
195,000206b_,34, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
196,000206b_,35,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,2, D_M
197,000206b_,36, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,4, C#d7
198,000206b_,37,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,3, D_M7
199,000206b_,38, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5, G_m
200,000206b_,39, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
201,000206b_,40, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,1, D_M
202,000206b_,41,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,2, D_M
203,000206b_,42, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,4, G_m
204,000206b_,43, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3, G_m
205,000206b_,44, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C#,5, A_M
206,000206b_,45, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,3, D_m
207,000206b_,46, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,4, A_M
208,000206b_,47, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,G,2, A_M
209,000206b_,48, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, D_m
210,000206b_,49, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO,E,2, D_m
211,000206b_,50, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,5, D_m
212,000206b_,51,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,C,2, D_m
213,000206b_,52, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,3, G_m
214,000206b_,53, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,4, A_M
215,000206b_,54, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,3, D_m
216,000206b_,55,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2, D_m
217,000206b_,56, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,Eb,5, EbM
218,000206b_,57,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO,Eb,2, EbM
219,000206b_,58, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,3, BbM
220,000206b_,59, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,2, BbM
221,000206b_,60,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
222,000206b_,61,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO,Eb,2, F_M7
223,000206b_,62, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO,YES, NO,D,3, D_M7
224,000206b_,63,YES, NO,YES, NO, NO, NO,YES, NO, NO, NO,YES, NO,C,2, D_M7
225,000206b_,64, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,5, G_m
226,000206b_,65,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,C,2, C_m
227,000206b_,66, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3, D_M
228,000206b_,67, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,4, G_m
229,000206b_,68, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3, G_m
230,000206b_,69, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,5, D_M
231,000206b_,70, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3, G_m
232,000206b_,71, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,F,2, G_m
233,000206b_,72,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,Eb,4, C_m
234,000206b_,73,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO, NO, NO,D,2, C_m
235,000206b_,74,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,3, G_M7
236,000206b_,75, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2, G_M7
237,000206b_,76,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO, NO,C,5, C_m
238,000206b_,77, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3, G_m
239,000206b_,78, NO,YES, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO,A,4, A_M
240,000206b_,79, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2, D_m
241,000206b_,80, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,3, A_M4
242,000206b_,81, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,2, A_M
243,000206b_,82, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,5, D_M
244,000306b_,1, NO,YES, NO, NO, NO, NO, NO, NO, NO,YES, NO, NO,A,3, A_M
245,000306b_,2, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES,A,2, A_M
246,000306b_,3, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,5, A_M
247,000306b_,4, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO,YES,B,2, A_M
248,000306b_,5, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C#,3, A_M
249,000306b_,6, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,4, D_M
250,000306b_,7, NO, NO,YES, NO,YES, NO, NO, NO,YES,YES, NO, NO,E,2, D_M
251,000306b_,8, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,3, F#m
252,000306b_,9, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO, NO,E,2, F#m
253,000306b_,10, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES,D#,5, B_M
254,000306b_,11, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES,D#,2, B_M
255,000306b_,12, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO, NO,E,3, E_M
256,000306b_,13, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO, NO,E,2, E_M
