age,job,marital,education,default,balance,housing-loan,personal-loan,current-campaign,previous-campaign,subscribed
36,management,single,tertiary,no,442,yes,yes,3,0,no
45,unemployed,divorced,primary,yes,-249,yes,yes,1,0,no
55,entrepreneur,married,secondary,no,8104,no,no,2,0,no
39,technician,married,secondary,no,501,no,no,1,0,no
35,technician,divorced,secondary,no,308,no,no,2,0,no
55,admin.,married,secondary,no,602,no,no,3,2,yes
55,technician,married,secondary,no,273,yes,no,3,3,no
27,self-employed,single,secondary,no,50,no,no,1,0,no
34,technician,married,secondary,no,1641,yes,no,1,0,no
34,blue-collar,married,tertiary,no,20,no,no,1,0,no
25,admin.,single,secondary,no,4590,yes,no,2,0,no
41,admin.,single,secondary,no,-256,no,yes,3,0,no
43,services,married,secondary,no,978,yes,yes,2,0,no
28,management,single,tertiary,no,80,no,no,2,2,yes
31,admin.,single,secondary,no,2104,yes,no,1,0,no
78,housemaid,married,secondary,no,499,no,no,4,0,no
45,blue-collar,divorced,secondary,no,1269,yes,no,2,0,no
48,technician,married,tertiary,no,310,no,no,1,0,no
32,blue-collar,single,secondary,no,1143,yes,yes,1,0,no
42,technician,married,secondary,no,2980,no,no,3,0,no
37,management,single,tertiary,no,37,no,no,2,0,no
40,admin.,single,secondary,no,462,yes,yes,1,4,no
32,admin.,married,secondary,no,1031,yes,no,1,0,no
42,management,married,tertiary,no,9009,no,no,2,0,no
43,admin.,married,secondary,no,-465,yes,yes,1,0,no
44,admin.,married,secondary,no,5181,yes,yes,7,0,no
37,admin.,married,secondary,no,176,yes,no,2,1,no
37,unknown,married,unknown,no,1699,no,no,1,0,no
37,admin.,married,tertiary,no,0,yes,no,2,1,no
28,technician,single,tertiary,no,172,yes,yes,2,0,no
32,services,single,secondary,no,0,no,yes,2,0,no
34,admin.,single,secondary,no,6979,yes,no,5,0,no
40,admin.,divorced,secondary,no,6,no,no,1,0,no
34,services,married,secondary,no,-62,yes,no,3,0,no
34,self-employed,married,tertiary,no,1972,yes,no,2,0,no
34,admin.,married,tertiary,no,899,yes,no,3,4,no
37,services,single,secondary,no,21,yes,no,1,2,no
36,technician,married,secondary,no,23,yes,no,2,1,no
56,retired,married,secondary,no,-1206,yes,no,2,0,yes
49,blue-collar,married,primary,no,0,yes,yes,6,0,no
33,self-employed,married,secondary,no,215,yes,no,12,0,no
30,management,single,tertiary,no,1372,no,no,2,0,no
36,services,married,secondary,no,1981,no,no,2,0,no
23,student,single,secondary,no,9216,no,no,2,0,no
57,retired,divorced,secondary,no,39,yes,no,3,0,no
27,blue-collar,single,secondary,no,5563,yes,no,2,0,no
38,services,married,secondary,no,1,no,yes,2,0,no
42,technician,married,tertiary,no,782,no,no,1,0,no
75,retired,married,secondary,no,3771,no,no,1,2,yes
34,technician,single,tertiary,no,992,yes,no,1,2,no
48,technician,married,secondary,no,1526,no,no,2,0,no
35,technician,single,tertiary,no,2658,yes,no,2,3,yes
39,management,divorced,tertiary,no,1315,yes,no,4,1,no
29,blue-collar,single,tertiary,no,455,no,no,1,0,yes
45,technician,single,tertiary,no,0,yes,no,2,0,no
42,technician,married,secondary,no,2030,yes,yes,1,0,no
29,technician,married,secondary,no,1599,yes,no,1,1,no
38,services,single,secondary,no,-196,yes,no,1,1,no
56,retired,married,secondary,no,1333,no,no,14,0,no
36,technician,single,secondary,no,9149,yes,no,3,0,no
25,blue-collar,single,secondary,no,-350,yes,no,3,0,no
38,technician,married,tertiary,no,432,yes,no,2,1,no
57,self-employed,married,secondary,no,11494,no,no,1,0,no
31,management,married,tertiary,yes,-253,no,no,4,0,no
42,management,married,tertiary,no,372,yes,no,2,0,yes
45,technician,married,secondary,no,1410,no,no,2,0,no
30,blue-collar,married,secondary,no,975,yes,no,2,2,no
49,blue-collar,married,primary,no,305,yes,yes,10,0,no
49,services,married,secondary,no,400,no,no,3,0,no
53,retired,married,tertiary,no,-22,yes,no,3,0,no
37,technician,married,secondary,no,4030,yes,no,5,0,no
49,blue-collar,married,primary,no,365,no,no,2,0,no
41,self-employed,married,primary,no,204,no,no,7,0,no
54,management,married,primary,no,1691,yes,no,1,0,no
32,services,single,secondary,no,406,yes,no,1,0,no
33,technician,married,secondary,no,-204,no,no,3,0,no
33,technician,married,secondary,no,359,yes,no,1,1,no
36,blue-collar,married,primary,no,123,yes,no,1,0,no
35,technician,married,tertiary,no,0,yes,yes,1,6,no
52,unknown,married,secondary,no,142,no,no,6,0,no
40,entrepreneur,married,tertiary,no,3571,no,no,3,0,no
44,technician,single,secondary,no,33,yes,no,3,10,no
45,blue-collar,single,secondary,no,0,yes,no,2,5,no
30,student,single,secondary,no,3096,no,no,1,0,no
48,technician,divorced,secondary,yes,20,no,no,3,0,no
33,blue-collar,married,secondary,no,3576,yes,no,1,2,no
57,technician,married,unknown,no,206,yes,no,3,0,no
57,housemaid,married,primary,no,7082,no,no,3,0,no
51,unemployed,married,tertiary,no,1634,yes,no,4,0,no
34,admin.,single,secondary,no,1,yes,no,7,0,no
50,self-employed,married,tertiary,no,4012,no,no,3,0,no
44,management,married,tertiary,no,3762,no,no,12,0,no
27,admin.,married,secondary,no,-247,yes,yes,2,0,no
50,blue-collar,married,secondary,no,606,yes,no,2,0,no
36,management,married,tertiary,no,0,yes,no,1,1,no
42,management,married,secondary,no,-189,yes,no,2,0,no
32,unemployed,single,secondary,no,0,no,no,2,0,no
42,management,married,tertiary,no,484,yes,no,2,0,no
43,technician,married,secondary,no,0,no,yes,2,5,no
31,management,married,tertiary,no,395,yes,no,3,0,no
32,management,married,tertiary,no,2349,no,no,5,0,no
55,blue-collar,divorced,primary,no,410,no,yes,2,0,no
58,retired,married,primary,no,3401,yes,no,3,2,no
46,blue-collar,married,primary,no,222,no,no,2,0,no
55,blue-collar,married,secondary,no,989,yes,yes,4,0,no
34,management,married,tertiary,no,415,no,yes,2,0,no
28,unemployed,single,secondary,no,16,no,no,4,0,no
42,technician,divorced,tertiary,no,7190,yes,no,2,0,no
29,blue-collar,single,secondary,no,482,no,yes,3,0,yes
54,housemaid,married,secondary,no,209,yes,yes,1,0,no
32,technician,single,secondary,no,0,no,no,2,0,no
39,technician,single,tertiary,no,5803,no,no,3,0,no
53,entrepreneur,married,tertiary,no,624,no,yes,4,0,no
58,technician,married,tertiary,no,883,no,no,1,2,no
40,self-employed,married,secondary,no,1516,yes,yes,1,0,no
29,student,single,secondary,no,872,yes,no,1,0,no
33,technician,married,tertiary,no,-988,yes,yes,3,0,no
38,admin.,single,secondary,no,902,yes,no,13,0,no
56,services,divorced,secondary,no,1007,no,no,6,0,no
40,services,married,secondary,no,0,yes,no,1,3,no
24,blue-collar,single,secondary,no,174,yes,yes,1,0,yes
46,management,married,secondary,no,12186,no,no,3,0,no
35,self-employed,married,secondary,no,524,yes,no,4,0,no
35,blue-collar,single,tertiary,no,0,yes,no,4,0,no
34,technician,married,secondary,no,4,yes,no,1,0,no
35,housemaid,married,tertiary,no,11219,no,no,2,1,no
38,technician,single,tertiary,no,0,no,no,2,0,no
50,blue-collar,married,primary,no,5776,no,no,3,0,no
51,blue-collar,divorced,primary,no,37,yes,no,1,0,no
59,self-employed,married,tertiary,no,593,no,no,2,0,no
32,blue-collar,married,secondary,no,1148,yes,no,1,0,no
37,blue-collar,single,secondary,no,3561,yes,no,1,0,no
42,admin.,divorced,secondary,no,63,no,no,6,0,no
40,student,married,secondary,no,260,no,no,6,0,no
28,technician,single,tertiary,no,2269,yes,no,1,0,no
47,admin.,married,secondary,no,1060,yes,no,3,0,no
27,self-employed,married,secondary,no,-220,yes,no,2,0,no
41,management,married,tertiary,no,49,yes,no,5,0,no
34,admin.,married,tertiary,no,69,no,yes,3,6,yes
50,blue-collar,married,primary,no,4108,yes,no,2,0,yes
47,blue-collar,married,secondary,no,480,yes,no,2,0,no
53,services,married,secondary,no,4994,no,no,6,0,no
53,technician,divorced,secondary,no,0,yes,yes,5,0,no
47,management,married,tertiary,no,3681,no,no,2,0,no
49,entrepreneur,divorced,unknown,yes,-701,yes,no,2,0,yes
29,management,married,tertiary,no,451,no,no,1,0,no
45,blue-collar,divorced,primary,no,-311,yes,no,1,0,yes
38,entrepreneur,married,secondary,no,593,yes,yes,24,0,yes
32,blue-collar,married,secondary,no,759,yes,no,5,0,yes
70,retired,divorced,primary,no,4531,no,no,1,0,no
65,retired,divorced,primary,no,1840,no,no,2,5,no
56,blue-collar,married,secondary,no,345,yes,no,1,0,no
35,blue-collar,married,secondary,no,1287,yes,no,2,0,no
56,management,married,unknown,no,353,no,yes,2,0,no
56,technician,married,secondary,no,205,no,yes,2,0,no
49,entrepreneur,married,secondary,no,687,yes,no,1,0,yes
38,unemployed,married,primary,no,1147,yes,yes,5,0,no
35,management,married,tertiary,no,4286,yes,no,1,0,no
38,admin.,married,tertiary,no,605,no,no,2,0,no
49,blue-collar,married,secondary,no,8545,yes,yes,7,1,no
55,management,married,unknown,no,559,no,no,2,0,no
43,blue-collar,single,primary,no,2,yes,no,3,0,no
43,management,married,tertiary,no,2,no,yes,2,0,no
25,admin.,single,tertiary,no,760,yes,no,3,2,yes
30,blue-collar,married,primary,no,1317,yes,no,2,0,no
46,blue-collar,married,secondary,no,182,no,no,1,0,no
50,admin.,married,primary,no,276,no,yes,6,0,no
35,entrepreneur,married,secondary,no,2971,no,no,4,2,yes
26,unemployed,single,secondary,no,1064,no,no,1,0,no
45,admin.,married,unknown,no,1783,no,no,11,0,no
37,blue-collar,married,secondary,no,-67,no,no,1,0,no
60,self-employed,single,tertiary,no,179,no,yes,4,0,no
38,management,married,tertiary,no,1199,no,no,1,1,yes
47,blue-collar,married,primary,no,214,yes,yes,1,0,no
33,technician,married,secondary,no,6699,no,no,1,1,no
51,unemployed,married,secondary,no,1760,no,yes,1,0,no
35,entrepreneur,single,tertiary,no,145,yes,no,2,0,yes
35,unemployed,married,secondary,no,978,no,no,3,3,yes
48,admin.,single,secondary,no,1150,yes,no,1,0,no
37,admin.,married,secondary,no,121,no,no,6,0,no
29,technician,single,tertiary,no,828,yes,no,3,3,no
34,admin.,married,secondary,no,244,yes,no,4,0,no
32,services,married,primary,no,228,yes,no,6,0,yes
30,management,single,tertiary,no,424,no,no,4,0,yes
47,management,divorced,tertiary,no,447,no,yes,1,0,no
33,blue-collar,married,primary,no,-195,no,no,1,0,no
33,management,single,tertiary,no,1410,yes,no,1,5,no
63,retired,married,primary,no,1084,no,no,1,1,no
51,self-employed,divorced,primary,no,10924,no,no,2,0,no
41,management,married,tertiary,no,832,yes,yes,1,1,no
56,retired,married,tertiary,no,478,no,no,1,0,no
60,management,single,tertiary,no,0,no,yes,1,0,no
41,self-employed,single,tertiary,no,3950,yes,no,2,0,no
37,management,single,unknown,no,504,yes,no,1,0,no
36,blue-collar,single,secondary,no,219,yes,yes,2,1,no
57,management,married,tertiary,no,1602,no,no,3,0,no
55,management,married,primary,no,2587,no,no,2,2,yes
44,admin.,married,secondary,no,0,yes,yes,1,0,no
47,self-employed,married,tertiary,no,2303,yes,no,2,1,no
31,blue-collar,married,secondary,no,1660,yes,no,1,0,no
35,management,married,tertiary,yes,32,yes,no,1,0,no
39,management,married,tertiary,no,278,no,yes,3,0,no
50,management,married,tertiary,no,4,no,no,1,2,no
29,management,married,tertiary,no,318,yes,no,2,4,no
30,services,single,secondary,no,209,yes,no,2,0,no
46,services,married,secondary,no,271,yes,no,4,0,no
27,management,single,unknown,no,3196,no,no,2,0,no
48,admin.,divorced,secondary,no,4099,no,no,2,0,yes
26,student,single,secondary,no,2572,yes,no,1,0,no
36,management,single,tertiary,no,339,no,no,6,0,no
42,blue-collar,married,primary,no,0,yes,yes,2,0,no
50,housemaid,married,primary,no,395,yes,no,2,0,no
49,blue-collar,married,secondary,no,2039,yes,no,2,0,no
45,management,married,tertiary,no,5450,no,no,2,0,no
23,student,single,secondary,no,780,no,no,1,0,no
38,technician,single,secondary,no,0,yes,no,2,0,no
32,management,single,tertiary,no,8436,yes,no,1,2,no
60,technician,single,primary,no,11262,no,no,1,0,yes
30,entrepreneur,married,secondary,no,946,yes,no,1,1,no
58,housemaid,married,tertiary,no,497,no,no,5,0,no
60,retired,married,primary,no,55,no,no,1,0,no
38,services,married,secondary,no,-140,no,no,3,0,no
51,technician,married,secondary,no,-379,yes,no,1,0,no
42,admin.,married,secondary,no,-396,yes,no,1,4,no
30,services,single,secondary,no,0,yes,no,6,9,no
40,management,married,primary,no,733,yes,no,7,0,no
37,management,married,tertiary,no,393,yes,no,3,4,yes
53,technician,divorced,primary,no,7290,yes,no,1,0,no
27,services,single,secondary,no,468,yes,no,1,0,no
39,blue-collar,married,secondary,no,0,yes,no,1,1,no
39,blue-collar,married,primary,no,3705,yes,no,1,0,no
59,retired,married,tertiary,no,9676,no,no,2,0,yes
37,services,married,secondary,no,1328,yes,no,2,4,no
41,blue-collar,married,primary,no,8,yes,no,2,0,no
45,blue-collar,married,primary,no,61,no,no,1,0,no
48,management,married,tertiary,no,6613,no,no,3,0,no
48,technician,married,secondary,no,302,yes,no,3,0,no
32,blue-collar,married,secondary,no,1005,no,no,1,0,no
35,services,married,secondary,no,109,yes,no,3,0,no
33,management,single,tertiary,no,1240,yes,no,2,1,no
28,blue-collar,single,primary,no,0,yes,yes,4,0,no
64,retired,married,unknown,no,2923,no,no,1,0,no
35,technician,married,secondary,no,0,no,no,4,0,no
33,blue-collar,married,secondary,no,43,yes,no,2,2,no
41,technician,married,secondary,no,288,yes,no,4,0,no
34,admin.,married,secondary,no,613,yes,no,1,0,no
37,technician,single,tertiary,no,6101,no,no,5,1,no
38,blue-collar,married,primary,no,168,yes,yes,3,0,no
39,blue-collar,married,primary,no,7685,yes,no,3,0,no
35,technician,divorced,tertiary,no,4515,yes,no,2,0,no
28,blue-collar,single,secondary,no,517,no,yes,1,0,yes
27,blue-collar,single,secondary,no,148,no,no,1,0,no
48,retired,married,primary,yes,-285,no,yes,1,0,no
50,blue-collar,married,secondary,no,887,no,no,1,0,no
45,self-employed,married,secondary,no,3098,yes,no,2,0,no
41,technician,married,tertiary,no,744,yes,no,1,0,no
39,technician,married,secondary,no,130,no,no,2,0,no
44,management,married,secondary,no,438,yes,no,3,1,no
54,admin.,married,secondary,no,0,no,no,1,2,yes
49,management,married,tertiary,no,322,no,no,4,0,no
34,blue-collar,single,secondary,no,186,no,no,1,0,no
75,retired,divorced,tertiary,no,3810,yes,no,1,1,yes
42,management,married,tertiary,no,0,no,no,2,0,no
53,blue-collar,married,secondary,no,4380,no,no,7,0,no
49,management,divorced,tertiary,no,755,no,no,4,0,yes
31,services,single,secondary,no,2070,no,no,2,0,no
45,blue-collar,single,primary,no,999,no,no,2,0,no
39,self-employed,married,secondary,no,167,yes,yes,1,0,no
46,technician,married,secondary,no,1322,yes,yes,1,0,no
42,admin.,divorced,secondary,no,1076,yes,no,1,0,no
37,management,married,tertiary,no,502,yes,no,1,1,no
26,technician,single,tertiary,no,1216,yes,no,2,0,no
37,management,single,tertiary,no,876,yes,no,4,2,no
36,services,single,secondary,no,342,yes,no,1,0,no
29,blue-collar,single,primary,no,950,yes,no,3,0,no
36,blue-collar,married,primary,no,973,yes,yes,1,0,no
26,technician,married,tertiary,no,3825,yes,no,1,0,no
32,blue-collar,married,secondary,no,2366,yes,no,2,0,no
40,management,married,tertiary,no,542,yes,no,1,0,no
53,management,married,primary,no,995,no,no,3,0,no
29,management,married,tertiary,no,20,yes,no,1,0,no
34,technician,single,tertiary,no,228,yes,no,4,0,no
43,blue-collar,married,secondary,no,130,no,no,1,3,no
56,management,married,tertiary,no,217,no,yes,2,0,no
55,entrepreneur,divorced,tertiary,no,0,no,no,2,0,no
31,self-employed,married,tertiary,no,259,yes,no,1,0,no
27,admin.,single,secondary,no,619,yes,no,5,4,no
36,management,married,secondary,no,644,yes,no,2,0,no
44,management,married,tertiary,no,22,yes,no,2,0,no
37,admin.,divorced,tertiary,no,4303,yes,no,1,0,no
30,admin.,single,secondary,no,239,yes,no,3,0,no
42,technician,single,secondary,no,275,no,no,8,0,no
30,management,married,tertiary,no,1221,yes,no,4,0,yes
62,retired,married,secondary,no,816,no,no,2,0,no
24,blue-collar,married,secondary,no,1222,yes,no,1,0,no
31,technician,married,secondary,no,2363,yes,no,1,0,no
66,retired,married,tertiary,no,2262,no,no,1,0,no
47,admin.,married,secondary,no,2,no,no,1,0,no
39,entrepreneur,married,tertiary,no,2,yes,no,1,0,no
35,technician,married,secondary,no,4508,yes,no,1,0,yes
35,admin.,divorced,secondary,no,-402,yes,no,1,0,no
27,technician,married,secondary,no,1577,yes,yes,2,0,no
32,blue-collar,married,secondary,no,34,yes,no,2,0,no
44,management,married,tertiary,no,795,no,no,24,0,no
42,blue-collar,married,secondary,no,117,yes,no,1,0,no
34,self-employed,single,tertiary,no,5462,no,no,1,0,yes
25,services,single,secondary,no,402,no,yes,1,0,no
40,technician,single,secondary,no,641,no,no,6,0,no
43,management,divorced,tertiary,no,36,no,no,1,2,no
55,unemployed,married,tertiary,no,383,no,no,3,0,no
50,blue-collar,married,secondary,no,283,yes,no,3,0,no
45,management,divorced,tertiary,no,0,no,no,1,0,no
35,blue-collar,divorced,secondary,no,3102,yes,no,1,0,no
32,blue-collar,married,secondary,no,889,yes,no,1,5,yes
59,housemaid,married,secondary,no,0,no,no,1,4,no
34,self-employed,married,secondary,no,-370,yes,no,1,0,no
39,management,married,tertiary,no,-606,yes,no,1,0,no
40,management,single,secondary,no,10378,yes,no,3,0,no
36,blue-collar,single,primary,no,1313,yes,no,10,0,no
40,management,married,tertiary,no,8969,yes,no,1,0,no
55,self-employed,married,secondary,no,-196,yes,no,2,0,no
38,entrepreneur,married,secondary,yes,15,yes,no,1,0,no
61,admin.,married,secondary,no,4608,no,no,1,0,yes
41,management,married,tertiary,no,666,yes,no,3,0,no
57,blue-collar,married,primary,no,452,yes,no,4,0,no
48,blue-collar,married,secondary,no,149,yes,no,1,0,no
77,retired,married,tertiary,no,7802,no,no,1,2,yes
35,services,married,secondary,no,1453,yes,no,1,0,no
54,blue-collar,married,secondary,no,1480,yes,no,1,0,no
37,management,single,unknown,no,715,yes,no,2,0,no
56,management,single,secondary,no,237,yes,no,4,0,no
40,technician,married,secondary,no,694,yes,no,4,5,no
40,management,married,tertiary,no,0,no,no,8,0,no
54,management,married,tertiary,no,55,yes,no,2,0,no
55,housemaid,married,primary,no,136,yes,no,10,0,no
55,services,divorced,secondary,yes,-404,yes,no,3,0,no
52,blue-collar,married,primary,no,779,yes,no,3,0,no
55,blue-collar,single,primary,no,1187,yes,no,2,0,no
33,management,married,tertiary,no,641,yes,no,2,0,no
52,blue-collar,married,unknown,no,826,yes,no,2,0,no
33,services,divorced,secondary,no,991,yes,no,1,0,no
53,admin.,married,secondary,no,1796,no,no,1,2,yes
46,admin.,married,secondary,no,22,no,no,6,0,yes
44,technician,single,secondary,no,244,yes,no,4,0,yes
48,management,divorced,tertiary,no,1328,yes,no,1,0,no
50,housemaid,married,secondary,no,7317,yes,no,1,1,no
34,technician,single,secondary,no,4943,yes,yes,2,0,no
38,technician,single,secondary,no,258,no,yes,2,0,no
42,management,single,tertiary,no,515,yes,no,2,0,no
32,management,single,tertiary,no,12607,no,no,5,1,no
58,admin.,married,secondary,no,2,yes,yes,9,0,no
31,management,married,tertiary,no,13,no,no,5,0,no
19,student,single,primary,no,103,no,no,2,0,yes
41,management,married,tertiary,no,3872,no,no,1,0,no
31,unemployed,married,secondary,no,296,yes,no,3,0,no
