Node Number;Thread Number;Spatial Distribution;Temporal Distribution;T/R;Processor Utilization ;Channel Waiting Time;Input Waiting Time;Network Response Time;Channel Utilization;;;;;
64;4;BR;Client-Server;0,9;0,543298;397,394623;53,208525;1230,205126;0,967266;;;;;
64;4;BR;Client-Server;1;0,491761;463,621521;43,59645;1493,745104;0,971528;;;;;
64;6;BR;Client-Server;0,1;0,9375;2,221174;505,996723;614,630123;0,209783;;;;;
64;6;BR;Client-Server;0,2;0,935522;11,598482;474,580111;705,468587;0,400017;;;;;
64;6;BR;Client-Server;0,3;0,922333;33,815647;443,284879;698,256515;0,573151;;;;;
64;6;BR;Client-Server;0,4;0,915624;87,285263;378,630739;836,310509;0,739653;;;;;
64;6;BR;Client-Server;0,5;0,870269;201,725983;274,904992;1072,239243;0,875431;;;;;
64;6;BR;Client-Server;0,6;0,796469;349,786835;177,205979;1196,322911;0,944792;;;;;
64;6;BR;Client-Server;0,7;0,703475;491,681183;117,337618;1469,079664;0,96645;;;;;
64;6;BR;Client-Server;0,8;0,622974;616,168579;85,139828;1717,654857;0,974028;;;;;
64;6;BR;Client-Server;0,9;0,554223;733,769775;64,354544;1995,584056;0,975781;;;;;
64;6;BR;Client-Server;1;0,500716;840,099243;54,225401;2231,332104;0,976563;;;;;
64;8;BR;Client-Server;0,1;0,948599;2,236039;702,994414;770,69059;0,212621;;;;;
64;8;BR;Client-Server;0,2;0,947834;11,946494;671,295779;912,798464;0,405694;;;;;
64;8;BR;Client-Server;0,3;0,937209;36,190128;632,904352;976,231023;0,583672;;;;;
64;8;BR;Client-Server;0,4;0,9347;104,912659;550,705519;1072,740772;0,753958;;;;;
64;8;BR;Client-Server;0,5;0,908685;278,916565;390,322682;1316,231632;0,898741;;;;;
64;8;BR;Client-Server;0,6;0,96125;536,66925;215,844594;1768,407896;0,817017;;;;;
64;8;BR;Client-Server;0,7;0,973316;739,287598;137,888258;1945,345426;0,714026;;;;;
64;8;BR;Client-Server;0,8;0,977292;911,85968;97,604255;2341,989053;0,631147;;;;;
64;8;BR;Client-Server;0,9;0,97836;1062,74292;80,864712;2665,358418;0,561694;;;;;
64;8;BR;Client-Server;1;0,978299;1206,503906;70,630917;2976,70983;0,507582;;;;;
64;10;BR;Client-Server;0,1;0,95829;2,279548;892,852416;1073,734018;0,21375;;;;;
64;10;BR;Client-Server;0,2;0,944783;11,98399;874,462284;1076,528275;0,404392;;;;;
64;10;BR;Client-Server;0,3;0,947848;37,191639;823,85165;1124,130178;0,588906;;;;;
64;10;BR;Client-Server;0,4;0,942199;107,564377;736,207309;1243,009661;0,761146;;;;;
64;10;BR;Client-Server;0,5;0,928141;337,949127;482,476965;1663,612858;0,915278;;;;;
64;10;BR;Client-Server;0,6;0,828573;626,390198;250,496786;2074,953492;0,967448;;;;;
64;10;BR;Client-Server;0,7;0,720587;833,389587;160,824461;2591,180139;0,975929;;;;;
64;10;BR;Client-Server;0,8;0,636664;992,94165;125,042268;2931,702541;0,978125;;;;;
64;10;BR;Client-Server;0,9;0,567883;1148,794189;102,43451;3325,676426;0,979688;;;;;
64;10;BR;Client-Server;1;0,513848;1307,005127;88,266633;3710,484756;0,979774;;;;;
64;4;PS;Client-Server;0,1;0,828573;1,934532;281,991851;0,52921;607,869882;;;;;
64;4;PS;Client-Server;0,2;0,824084;9,5502;262,127869;0,633802;902,966929;;;;;
64;4;PS;Client-Server;0,3;0,795685;26,33913;239,734762;0,718047;1042,409722;;;;;
64;4;PS;Client-Server;0,4;0,739597;56,360073;230,163026;0,778299;1219,612435;;;;;
64;4;PS;Client-Server;0,5;0,695053;126,209816;176,588953;0,822266;1202,936709;;;;;
64;4;PS;Client-Server;0,6;0,62477;203,292633;142,07526;0,846927;1688,953232;;;;;
64;4;PS;Client-Server;0,7;0,541929;287,763733;121,877978;0,84079;1904,053095;;;;;
64;4;PS;Client-Server;0,8;0,487871;351,338531;107,055717;0,857222;2191,738331;;;;;
64;4;PS;Client-Server;0,9;0,43976;420,470581;95,21403;0,86;2752,001151;;;;;
64;4;PS;Client-Server;1;0,400416;500,004944;77,396653;0,865191;2895,323131;;;;;
64;6;PS;Client-Server;0,1;0,927886;2,25691;467,220073;991,654608;0,469149;;;;;
64;6;PS;Client-Server;0,2;0,914674;11,221832;444,583904;1179,806258;0,594844;;;;;
64;6;PS;Client-Server;0,3;0,897633;34,58432;421,810454;1270,946206;0,713385;;;;;
64;6;PS;Client-Server;0,4;0,867957;83,233231;374,280065;1463,837946;0,8075;;;;;
64;6;PS;Client-Server;0,5;0,80322;190,616913;303,249182;1548,167651;0,869141;;;;;
64;6;PS;Client-Server;0,6;0,715007;335,887207;225,88267;2433,831986;0,901146;;;;;
64;6;PS;Client-Server;0,7;0,637811;448,49762;194,370202;2761,361123;0,92033;;;;;
64;6;PS;Client-Server;0,8;0,561209;594,423401;141,776326;2950,973036;0,921806;;;;;
64;6;PS;Client-Server;0,9;0,503471;688,62207;134,938714;3475,612812;0,923828;;;;;
64;6;PS;Client-Server;1;0,460363;792,786804;115,919129;3914,442104;0,933333;;;;;
64;8;PS;Client-Server;0,1;0,94723;2,302593;664,751138;1172,376429;0,407578;;;;;
64;8;PS;Client-Server;0,2;0,936275;11,752433;648,914045;1191,328365;0,558073;;;;;
64;8;PS;Client-Server;0,3;0,938896;37,560291;603,003875;1408,075927;0,701823;;;;;
64;8;PS;Client-Server;0,4;0,916288;98,944687;545,087566;1544,60147;0,82066;;;;;
64;8;PS;Client-Server;0,5;0,863297;255,613998;425,801938;2257,446611;0,901259;;;;;
64;8;PS;Client-Server;0,6;0,771295;458,623169;315,421884;2694,984699;0,938385;;;;;
64;8;PS;Client-Server;0,7;0,680886;664,535339;225,084681;3618,974981;0,952474;;;;;
64;8;PS;Client-Server;0,8;0,606569;826,57782;185,147187;3980,472255;0,95875;;;;;
64;8;PS;Client-Server;0,9;0,538424;999,04895;143,408169;4515,318353;0,956406;;;;;
64;8;PS;Client-Server;1;0,492775;1135,979736;125,056075;4284,404858;0,964583;;;;;
64;10;PS;Client-Server;0,1;0,956543;2,329191;854,506365;1317,539043;0,385946;;;;;
64;10;PS;Client-Server;0,2;0,964797;12,197474;828,237477;1602,749624;0,549549;;;;;
64;10;PS;Client-Server;0,3;0,958799;38,007793;786,852128;1632,929179;0,700755;;;;;
64;10;PS;Client-Server;0,4;0,833681;104,889626;712,104035;2470,414099;0,945997;;;;;
64;10;PS;Client-Server;0,5;0,90626;279,355682;556,958907;2488,393811;0,924262;;;;;
64;10;PS;Client-Server;0,6;0,799148;535,853882;361,84257;3466,244423;0,954688;;;;;
64;10;PS;Client-Server;0,7;0,705812;745,923279;254,808006;3810,631711;0,967908;;;;;
64;10;PS;Client-Server;0,8;0,628214;898,211548;220,939988;4583,919059;0,975486;;;;;
64;10;PS;Client-Server;0,9;0,561943;1053,160522;191,264946;4622,484513;0,978594;;;;;
64;10;PS;Client-Server;1;0,509802;1211,382568;147,265376;5919,152636;0,980382;;;;;
64;4;UN;Asynchronous;0,1;0,816425;1,899652;304,142096;138,918151;0,438524;;;;;
64;4;UN;Asynchronous;0,2;0,802371;9,239443;287,760631;221,239958;0,56026;;;;;
64;4;UN;Asynchronous;0,3;0,77942;26,343061;261,583243;343,33257;0,670156;;;;;
64;4;UN;Asynchronous;0,4;0,731806;61,675339;241,112137;365,704783;0,732153;;;;;
64;4;UN;Asynchronous;0,5;0,681066;122,838882;194,910803;564,244978;0,794358;;;;;
64;4;UN;Asynchronous;0,6;0,624804;207,630569;145,400461;746,187279;0,837708;;;;;
64;4;UN;Asynchronous;0,7;0,560888;285,684875;120,476798;834,650499;0,854826;;;;;
64;4;UN;Asynchronous;0,8;0,484743;380,017151;87,956296;1027,134803;0,837014;;;;;
64;4;UN;Asynchronous;0,9;0,448374;447,772125;77,160614;1160,935215;0,864141;;;;;
64;4;UN;Asynchronous;1;0,404992;524,617188;67,063865;1183,696475;0,858073;;;;;
64;6;UN;Asynchronous;0,1;0,849913;2,062736;498,420073;136,31725;0,392665;;;;;
64;6;UN;Asynchronous;0,2;0,874955;10,711858;471,114584;207,247489;0,570139;;;;;
64;6;UN;Asynchronous;0,3;0,850958;32,423492;452,291306;337,491171;0,663828;;;;;
64;6;UN;Asynchronous;0,4;0,791423;83,810753;393,581999;571,173224;0,843573;;;;;
64;6;UN;Asynchronous;0,5;0,786026;190,786957;311,382721;778,427756;0,863238;;;;;
64;6;UN;Asynchronous;0,6;0,710901;199,974614;365,533325;1001,625231;0,894688;;;;;
64;6;UN;Asynchronous;0,7;0,611163;503,520325;159,535965;1288,482455;0,888915;;;;;
64;6;UN;Asynchronous;0,8;0,539734;638,689331;123,091451;1391,636666;0,890695;;;;;
64;6;UN;Asynchronous;0,9;0,491085;744,496521;98,180394;1614,588983;0,905625;;;;;
64;6;UN;Asynchronous;1;0,443039;857,977722;86,052872;1778,766636;0,90599;;;;;
64;8;UN;Asynchronous;0,1;0,896803;2,195465;691,580927;150,551879;0,408776;;;;;
64;8;UN;Asynchronous;0,2;0,89971;11,211035;658,241134;298,356074;0,552934;;;;;
64;8;UN;Asynchronous;0,3;0,888416;35,185795;636,182197;417,879955;0,676302;;;;;
64;8;UN;Asynchronous;0,4;0,887363;103,991623;556,300537;662,942924;0,799896;;;;;
64;8;UN;Asynchronous;0,5;0,83289;269,960358;429,255853;928,672341;0,882118;;;;;
64;8;UN;Asynchronous;0,6;0,744839;511,700409;278,413418;1280,691436;0,914948;;;;;
64;8;UN;Asynchronous;0,7;0,663184;710,060181;192,790455;1418,79659;0,934853;;;;;
64;8;UN;Asynchronous;0,8;0,584847;884,266846;149,129576;1819,996806;0,933472;;;;;
64;8;UN;Asynchronous;0,9;0,519696;1044,152344;123,914238;2326,923643;0,933203;;;;;
64;8;UN;Asynchronous;1;0,47054;1199,370728;102,923829;2386,83458;0,936372;;;;;
64;10;UN;Asynchronous;0,1;0,914353;2,140482;872,458834;154,900342;0,402378;;;;;
64;10;UN;Asynchronous;0,2;0,910044;11,266356;852,306247;263,461036;0,54651;;;;;
64;10;UN;Asynchronous;0,3;0,915063;36,400436;814,131542;461,111618;0,678776;;;;;
64;10;UN;Asynchronous;0,4;0,805937;101,311462;742,584297;855,129063;0,905039;;;;;
64;10;UN;Asynchronous;0,5;0,8794;295,776855;544,772977;1121,475113;0,909071;;;;;
64;10;UN;Asynchronous;0,6;0,776228;548,018188;356,9093;1589,911663;0,938854;;;;;
64;10;UN;Asynchronous;0,7;0,682158;767,490173;227,405102;1754,958119;0,947917;;;;;
64;10;UN;Asynchronous;0,8;0,604104;939,929688;177,316797;2352,552511;0,950903;;;;;
64;10;UN;Asynchronous;0,9;0,539017;1105,541992;145,25426;2547,77951;0,950547;;;;;
64;10;UN;Asynchronous;1;0,489624;1251,231445;126,660093;3207,772882;0,952865;;;;;
64;4;HR;Asynchronous;0,1;0,418621;0,950721;330,567126;162,560751;0,325694;;;;;
64;4;HR;Asynchronous;0,2;0,414236;4,682868;317,843877;253,825208;0,371337;;;;;
64;4;HR;Asynchronous;0,3;0,393893;12,673223;321,257419;489,94064;0,428255;;;;;
64;4;HR;Asynchronous;0,4;0,380225;33,187843;290,625295;742,056173;0,495729;;;;;
64;4;HR;Asynchronous;0,5;0,341765;122,90625;231,736427;1040,479968;0,489323;;;;;
64;4;HR;Asynchronous;0,6;0,318841;262,651215;138,85743;1264,44738;0,560521;;;;;
64;4;HR;Asynchronous;0,7;0,268535;373,700378;96,498589;1752,237646;0,506832;;;;;
64;4;HR;Asynchronous;0,8;0,242966;439,287231;90,756925;1975,005819;0,524236;;;;;
64;4;HR;Asynchronous;0,9;0,221539;506,213196;75,023394;2368,824948;0,522734;;;;;
64;4;HR;Asynchronous;1;0,202377;602,795288;60,490983;2066,717469;0,509462;;;;;
64;6;HR;Asynchronous;0,1;0,452819;1,078156;521,344889;224,450947;0,335625;;;;;
64;6;HR;Asynchronous;0,2;0,416491;4,814028;512,702741;383,315579;0,400469;;;;;
64;6;HR;Asynchronous;0,3;0,40539;14,149101;494,651719;638,387938;0,426172;;;;;
64;6;HR;Asynchronous;0,4;0,398521;36,513699;469,551196;897,947716;0,516215;;;;;
64;6;HR;Asynchronous;0,5;0,397512;156,048096;383,694759;1466,091771;0,589583;;;;;
64;6;HR;Asynchronous;0,6;0,347587;380,817383;237,431619;1973,63609;0,584635;;;;;
64;6;HR;Asynchronous;0,7;0,324751;504,747375;191,278809;2272,76014;0,603385;;;;;
64;6;HR;Asynchronous;0,8;0,268258;660,401001;146,495822;2652,015506;0,559028;;;;;
64;6;HR;Asynchronous;0,9;0,254752;812,112305;104,067686;3195,861695;0,571719;;;;;
64;6;HR;Asynchronous;1;0,230011;915,025818;93,711371;2541,630367;0,545833;;;;;
64;8;HR;Asynchronous;0,1;0,526524;1,231869;650,631676;163,801348;0,393082;;;;;
64;8;HR;Asynchronous;0,2;0,473054;5,644928;678,861945;347,974872;0,416753;;;;;
64;8;HR;Asynchronous;0,3;0,447295;14,823047;677,316062;571,060156;0,517943;;;;;
64;8;HR;Asynchronous;0,4;0,439256;41,55265;640,455567;921,813348;0,526667;;;;;
64;8;HR;Asynchronous;0,5;0,445936;162,783722;551,62617;1409,149715;0,617231;;;;;
64;8;HR;Asynchronous;0,6;0,371522;497,685699;345,966081;2162,578816;0,578646;;;;;
64;8;HR;Asynchronous;0,7;0,332085;675,931763;284,934711;2620,790918;0,567231;;;;;
64;8;HR;Asynchronous;0,8;0,290999;863,256653;234,321275;2574,649117;0,564792;;;;;
64;8;HR;Asynchronous;0,9;0,282314;996,663574;198,169508;3392,124868;0,604687;;;;;
64;8;HR;Asynchronous;1;0,255619;1158,224731;157,509882;3030,629787;0,611024;;;;;
64;10;HR;Asynchronous;0,1;0,503035;1,196131;821,037681;158,319629;0,382066;;;;;
64;10;HR;Asynchronous;0,2;0,482426;5,792946;832,629849;314,127942;0,435399;;;;;
64;10;HR;Asynchronous;0,3;0,479445;17,800585;836,760791;509,908916;0,49987;;;;;
64;10;HR;Asynchronous;0,4;0,484361;47,390614;825,793428;785,114697;0,577292;;;;;
64;10;HR;Asynchronous;0,5;0,426271;162,10405;762,418444;1418,223088;0,557726;;;;;
64;10;HR;Asynchronous;0,6;0,406267;424,684723;537,662801;1783,194698;0,631094;;;;;
64;10;HR;Asynchronous;0,7;0,365252;615,394104;424,832467;2152,341855;0,631884;;;;;
64;10;HR;Asynchronous;0,8;0,338151;832,63324;284,647089;2949,189101;0,683056;;;;;
64;10;HR;Asynchronous;0,9;0,305455;988,797302;243,685678;3349,417336;0,640625;;;;;
64;10;HR;Asynchronous;1;0,286714;1154,155518;194,823388;3407,799491;0,636458;;;;;
64;4;BR;Asynchronous;0,1;0,590286;1,474199;313,118038;26,502746;0,137726;;;;;
64;4;BR;Asynchronous;0,2;0,570239;6,385164;301,836467;54,064068;0,252205;;;;;
64;4;BR;Asynchronous;0,3;0,54004;16,750683;297,233229;89,413975;0,347969;;;;;
64;4;BR;Asynchronous;0,4;0,530152;37,607037;286,104428;161,584607;0,439653;;;;;
64;4;BR;Asynchronous;0,5;0,517356;98,631683;234,559543;346,177863;0,522092;;;;;
64;4;BR;Asynchronous;0,6;0,464993;241,5065;138,143841;587,624428;0,555313;;;;;
64;4;BR;Asynchronous;0,7;0,412242;355,984772;81,354739;688,446953;0,570269;;;;;
64;4;BR;Asynchronous;0,8;0,365082;439,582275;54,572955;956,721115;0,57632;;;;;
64;4;BR;Asynchronous;0,9;0,330783;516,230347;41,036081;789,555446;0,5825;;;;;
64;4;BR;Asynchronous;1;0,300045;583,544617;33,03613;1230,215474;0,587587;;;;;
64;6;BR;Asynchronous;0,1;0,648118;1,745482;501,62453;21,445301;0,151797;;;;;
64;6;BR;Asynchronous;0,2;0,623425;7,612763;486,995914;63,349039;0,274809;;;;;
64;6;BR;Asynchronous;0,3;0,590987;20,255486;464,868028;125,447427;0,375703;;;;;
64;6;BR;Asynchronous;0,4;0,537327;45,311146;449,813066;307,187608;0,445208;;;;;
64;6;BR;Asynchronous;0,5;0,560995;170,806641;363,487787;572,849075;0,563368;;;;;
64;6;BR;Asynchronous;0,6;0,485852;377,750397;224,77904;832,185981;0,572552;;;;;
64;6;BR;Asynchronous;0,7;0,427971;537,255859;152,560222;861,210192;0,584792;;;;;
64;6;BR;Asynchronous;0,8;0,381173;680,231445;109,199942;1276,382477;0,591875;;;;;
64;6;BR;Asynchronous;0,9;0,346758;823,323486;64,842144;1607,041811;0,602969;;;;;
64;6;BR;Asynchronous;1;0,318419;897,971619;75,311153;1756,065814;0,611111;;;;;
64;8;BR;Asynchronous;0,1;0,706503;1,912839;706,197879;23,996447;0,164679;;;;;
64;8;BR;Asynchronous;0,2;0,652849;8,527907;665,484182;57,535982;0,287014;;;;;
64;8;BR;Asynchronous;0,3;0,604986;22,941246;643,360101;136,146416;0,385208;;;;;
64;8;BR;Asynchronous;0,4;0,578066;54,552902;625,761629;363,675685;0,47691;;;;;
64;8;BR;Asynchronous;0,5;0,567715;215,921051;511,649039;639,629146;0,566536;;;;;
64;8;BR;Asynchronous;0,6;0,501516;485,607819;347,748721;911,954125;0,585833;;;;;
64;8;BR;Asynchronous;0,7;0,446351;748,391968;217,859424;1519,366224;0,604358;;;;;
64;8;BR;Asynchronous;0,8;0,398993;945,257813;138,28172;1694,42824;0,612639;;;;;
64;8;BR;Asynchronous;0,9;0,356831;1100,739502;120,530379;2037,679313;0,612188;;;;;
64;8;BR;Asynchronous;1;0,329844;1262,165771;78,67394;1525,505283;0,622222;;;;;
64;10;BR;Asynchronous;0,1;0,727582;1,930754;873,604169;28,755788;0,170156;;;;;
64;10;BR;Asynchronous;0,2;0,6822;8,784504;844,140732;58,842202;0,299306;;;;;
64;10;BR;Asynchronous;0,3;0,625697;23,825163;816,210705;134,41607;0,39862;;;;;
64;10;BR;Asynchronous;0,4;0,61155;59,21846;779,310592;405,903473;0,502083;;;;;
64;10;BR;Asynchronous;0,5;0,574306;173,637634;689,117984;943,784262;0,571736;;;;;
64;10;BR;Asynchronous;0,6;0,51484;523,096191;455,44;1459,009166;0,595417;;;;;
64;10;BR;Asynchronous;0,7;0,452304;786,126831;305,172719;1425,640396;0,606241;;;;;
64;10;BR;Asynchronous;0,8;0,410658;996,017639;184,80678;2160,995515;0,621597;;;;;
64;10;BR;Asynchronous;0,9;0,372704;1144,733521;178,556087;1831,873466;0,629453;;;;;
64;10;BR;Asynchronous;1;0,346742;1297,879517;123,035292;2296,19935;0,647483;;;;;
64;4;PS;Asynchronous;0,1;0,787703;1,803502;297,272181;145,151796;0,444939;;;;;
64;4;PS;Asynchronous;0,2;0,77177;8,760285;279,965347;206,818555;0,542031;;;;;
64;4;PS;Asynchronous;0,3;0,75457;24,96559;260,250104;324,83453;0,667812;;;;;
64;4;PS;Asynchronous;0,4;0,720497;54,264687;231,015389;384,912161;0,732431;;;;;
64;4;PS;Asynchronous;0,5;0,673265;98,535614;200,816199;538,891334;0,803776;;;;;
64;4;PS;Asynchronous;0,6;0,600602;164,131485;175,197572;677,867406;0,827969;;;;;
64;4;PS;Asynchronous;0,7;0,521786;258,612244;134,413359;834,448158;0,824323;;;;;
64;4;PS;Asynchronous;0,8;0,476747;320,643372;111,161267;972,773241;0,854861;;;;;
