,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
104,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,6"
105,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,3"
106,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,9"
107,26,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,"21,5"
108,27,0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,"22,1"
109,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,"3,4"
110,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
111,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,5"
112,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,"6,4"
113,5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,"8,2"
114,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9
115,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,1"
116,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"10,3"
117,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"10,9"
118,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,3"
119,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,9"
120,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,3"
121,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
122,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"9,7"
123,15,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"10,3"
124,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"10,9"
125,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,9"
126,18,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"9,4"
127,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"11,3"
128,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13
129,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,6"
130,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"17,4"
131,23,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"17,8"
132,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"18,1"
133,25,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"17,7"
134,26,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"17,4"
135,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,1"
