,location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
20,R02,10-18-2016 11:14:41,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,R02,10-18-2016 11:14:39,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
22,S01,10-18-2016 11:14:37,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
23,S01,10-18-2016 11:14:35,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
24,S01,10-18-2016 11:14:33,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
25,S01,10-18-2016 11:14:31,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
26,S01,10-18-2016 11:14:29,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
27,S01,10-18-2016 11:14:27,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
28,S01,10-18-2016 11:14:25,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
29,S01,10-18-2016 11:14:23,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
30,S01,10-18-2016 11:14:21,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
31,S01,10-18-2016 11:14:19,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
32,S02,10-18-2016 11:14:17,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
33,S02,10-18-2016 11:14:15,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
34,S02,10-18-2016 11:14:13,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
35,S02,10-18-2016 11:14:11,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
36,S02,10-18-2016 11:14:09,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
37,S02,10-18-2016 11:14:07,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
38,S02,10-18-2016 11:14:05,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
39,T01,10-18-2016 11:14:03,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
40,T01,10-18-2016 11:14:01,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
41,U02,10-18-2016 11:13:59,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
42,U01,10-18-2016 11:13:57,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
43,U01,10-18-2016 11:13:55,-200,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
44,U01,10-18-2016 11:13:53,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
45,U01,10-18-2016 11:13:51,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
46,U02,10-18-2016 11:13:49,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
47,J03,10-18-2016 11:06:27,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
48,J03,10-18-2016 11:06:25,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
49,J03,10-18-2016 11:06:23,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
50,J03,10-18-2016 11:06:21,-200,-63,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
51,J03,10-18-2016 11:06:19,-200,-63,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
52,K03,10-18-2016 11:06:17,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
53,K03,10-18-2016 11:06:15,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
54,K03,10-18-2016 11:06:13,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
55,K03,10-18-2016 11:06:11,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
56,K03,10-18-2016 11:06:09,-200,-72,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
57,K03,10-18-2016 11:06:07,-200,-200,-82,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
58,K03,10-18-2016 11:06:05,-200,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
59,K03,10-18-2016 11:06:03,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
60,L03,10-18-2016 11:06:01,-200,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
61,L03,10-18-2016 11:05:59,-200,-76,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
62,L03,10-18-2016 11:05:57,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
63,L03,10-18-2016 11:05:55,-200,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
64,L03,10-18-2016 11:05:53,-200,-75,-75,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
65,L03,10-18-2016 11:05:51,-200,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
66,M03,10-18-2016 11:05:49,-200,-200,-65,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
67,M03,10-18-2016 11:05:47,-200,-200,-66,-200,-80,-75,-200,-200,-200,-200,-200,-200,-200
68,M03,10-18-2016 11:05:45,-200,-200,-64,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200
69,M03,10-18-2016 11:05:43,-200,-200,-64,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200
70,M03,10-18-2016 11:05:41,-200,-200,-70,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
71,M03,10-18-2016 11:05:39,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
72,N03,10-18-2016 11:05:37,-200,-200,-70,-200,-81,-77,-200,-200,-200,-200,-200,-200,-200
73,N03,10-18-2016 11:05:35,-200,-200,-72,-200,-82,-75,-200,-200,-200,-200,-200,-200,-200
74,N03,10-18-2016 11:05:33,-200,-200,-75,-82,-200,-74,-200,-200,-200,-200,-200,-200,-200
75,N03,10-18-2016 11:05:31,-200,-200,-69,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
76,N03,10-18-2016 11:05:29,-200,-200,-71,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
77,N03,10-18-2016 11:05:27,-200,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
78,O03,10-18-2016 11:05:25,-200,-200,-76,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200
79,O03,10-18-2016 11:05:23,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
80,O03,10-18-2016 11:05:21,-200,-200,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
81,P03,10-18-2016 11:05:19,-200,-200,-82,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
82,P03,10-18-2016 11:05:17,-200,-200,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
83,P03,10-18-2016 11:05:15,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
84,P03,10-18-2016 11:05:13,-200,-200,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
85,P03,10-18-2016 11:05:11,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
86,P03,10-18-2016 11:05:09,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
87,Q03,10-18-2016 11:05:07,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
88,Q03,10-18-2016 11:05:05,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
89,Q03,10-18-2016 11:05:03,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
90,Q03,10-18-2016 11:05:01,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
91,Q03,10-18-2016 11:04:59,-200,-200,-79,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
92,Q03,10-18-2016 11:04:57,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
93,Q03,10-18-2016 11:04:55,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
94,Q03,10-18-2016 11:04:53,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
95,Q03,10-18-2016 11:04:51,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
96,R03,10-18-2016 11:04:49,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
97,R03,10-18-2016 11:04:47,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
98,R03,10-18-2016 11:04:45,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
99,R03,10-18-2016 11:04:43,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
100,R03,10-18-2016 11:04:41,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
101,R03,10-18-2016 11:04:39,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
102,S03,10-18-2016 11:04:37,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
103,T03,10-18-2016 11:04:35,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
104,T03,10-18-2016 11:04:33,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
105,T03,10-18-2016 11:04:31,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
106,U03,10-18-2016 11:04:29,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
107,U03,10-18-2016 11:04:27,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
108,U03,10-18-2016 11:04:25,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
109,U03,10-18-2016 11:04:23,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
110,U03,10-18-2016 11:04:21,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
111,U03,10-18-2016 11:04:19,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
112,U03,10-18-2016 11:04:17,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
113,U04,10-18-2016 11:04:15,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
114,U04,10-18-2016 11:04:13,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
115,U04,10-18-2016 11:04:11,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
116,T04,10-18-2016 11:04:09,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
117,T04,10-18-2016 11:04:07,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
118,T04,10-18-2016 11:04:05,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
119,T04,10-18-2016 11:04:03,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
120,T04,10-18-2016 11:04:01,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
121,T04,10-18-2016 11:03:59,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
122,S04,10-18-2016 11:03:57,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200
123,S04,10-18-2016 11:03:55,-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
124,S04,10-18-2016 11:03:53,-200,-200,-81,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200
125,S04,10-18-2016 11:03:51,-200,-200,-80,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200
126,S04,10-18-2016 11:03:49,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200
127,S04,10-18-2016 11:03:47,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200
128,R04,10-18-2016 11:03:45,-200,-200,-81,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
129,R04,10-18-2016 11:03:43,-200,-200,-80,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
130,R04,10-18-2016 11:03:41,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
131,R04,10-18-2016 11:03:39,-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
132,R04,10-18-2016 11:03:37,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
133,Q04,10-18-2016 11:03:34,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
134,Q04,10-18-2016 11:03:32,-200,-200,-75,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
135,Q04,10-18-2016 11:03:30,-200,-200,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
136,Q04,10-18-2016 11:03:28,-200,-78,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
137,Q04,10-18-2016 11:03:26,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
138,Q04,10-18-2016 11:03:24,-200,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
139,Q04,10-18-2016 11:03:22,-200,-200,-75,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
140,Q04,10-18-2016 11:03:20,-200,-78,-73,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
141,P04,10-18-2016 11:03:18,-200,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
142,P04,10-18-2016 11:03:16,-200,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
143,P04,10-18-2016 11:03:14,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
144,P04,10-18-2016 11:03:12,-200,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
145,O04,10-18-2016 11:03:10,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
146,O04,10-18-2016 11:03:08,-200,-77,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
147,O04,10-18-2016 11:03:06,-200,-76,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
148,O04,10-18-2016 11:03:04,-200,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
149,O04,10-18-2016 11:03:02,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
150,O04,10-18-2016 11:03:00,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
151,O04,10-18-2016 11:02:58,-200,-76,-67,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
152,O04,10-18-2016 11:02:56,-200,-80,-62,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
153,O04,10-18-2016 11:02:54,-200,-76,-63,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
154,O04,10-18-2016 11:02:52,-200,-72,-57,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
155,O04,10-18-2016 11:02:50,-200,-76,-64,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
156,O04,10-18-2016 11:02:48,-200,-76,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
157,N04,10-18-2016 11:02:46,-200,-80,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
158,N04,10-18-2016 11:02:44,-200,-80,-61,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
159,N04,10-18-2016 11:02:42,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
160,N04,10-18-2016 11:02:40,-200,-75,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
161,N04,10-18-2016 11:02:38,-200,-74,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
162,M04,10-18-2016 11:02:36,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
163,M04,10-18-2016 11:02:34,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
164,M04,10-18-2016 11:02:32,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
165,M04,10-18-2016 11:02:30,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
166,M04,10-18-2016 11:02:28,-200,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
167,M04,10-18-2016 11:02:26,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
168,M04,10-18-2016 11:02:24,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
169,M04,10-18-2016 11:02:22,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
170,M04,10-18-2016 11:02:20,-200,-71,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
171,L04,10-18-2016 11:02:18,-200,-71,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
172,L04,10-18-2016 11:02:16,-200,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
173,L04,10-18-2016 11:02:14,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
174,L04,10-18-2016 11:02:12,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
175,L04,10-18-2016 11:02:10,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
176,L04,10-18-2016 11:02:08,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
177,L04,10-18-2016 11:02:06,-200,-69,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
178,L04,10-18-2016 11:02:04,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
179,K04,10-18-2016 11:02:02,-200,-66,-82,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
180,K04,10-18-2016 11:02:00,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
181,K04,10-18-2016 11:01:58,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
182,K04,10-18-2016 11:01:56,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
183,K04,10-18-2016 11:01:54,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
184,K04,10-18-2016 11:01:52,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
185,K04,10-18-2016 11:01:50,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
186,K04,10-18-2016 11:01:48,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
187,K04,10-18-2016 11:01:46,-200,-67,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
188,K04,10-18-2016 11:01:44,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
189,K04,10-18-2016 11:01:42,-200,-65,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
190,K04,10-18-2016 11:01:40,-200,-65,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
191,J04,10-18-2016 11:01:38,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
192,J04,10-18-2016 11:01:36,-200,-69,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
193,J04,10-18-2016 11:01:34,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
194,J04,10-18-2016 11:01:32,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
195,J04,10-18-2016 11:01:30,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
196,J04,10-18-2016 11:01:28,-200,-75,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
197,J04,10-18-2016 11:01:26,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
198,J04,10-18-2016 11:01:24,-200,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
199,I04,10-18-2016 11:01:22,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
200,I04,10-18-2016 11:01:20,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
201,I04,10-18-2016 11:01:18,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
202,I04,10-18-2016 11:01:16,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
203,I04,10-18-2016 11:01:14,-75,-198,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
204,I05,10-18-2016 11:01:12,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
205,I05,10-18-2016 11:01:10,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
206,I05,10-18-2016 11:01:08,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
207,I05,10-18-2016 11:01:06,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
208,I05,10-18-2016 11:01:04,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
209,I05,10-18-2016 11:01:02,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
210,J05,10-18-2016 11:01:00,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
211,J05,10-18-2016 11:00:58,-200,-64,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
212,J05,10-18-2016 11:00:56,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
213,J05,10-18-2016 11:00:54,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
214,J05,10-18-2016 11:00:52,-200,-66,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
215,J05,10-18-2016 11:00:50,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
216,K05,10-18-2016 11:00:48,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
217,K05,10-18-2016 11:00:46,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
218,K05,10-18-2016 11:00:44,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
219,K05,10-18-2016 11:00:42,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
220,K05,10-18-2016 11:00:40,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
221,K05,10-18-2016 11:00:38,-200,-77,-200,-78,-200,-76,-200,-200,-200,-200,-200,-200,-200
222,K05,10-18-2016 11:00:36,-200,-80,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
223,L05,10-18-2016 11:00:34,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
224,L05,10-18-2016 11:00:32,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
225,L05,10-18-2016 11:00:30,-200,-76,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
226,L05,10-18-2016 11:00:28,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
227,L05,10-18-2016 11:00:26,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
228,M05,10-18-2016 11:00:24,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
229,M05,10-18-2016 11:00:22,-200,-80,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
230,M05,10-18-2016 11:00:20,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
231,M05,10-18-2016 11:00:18,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
232,M05,10-18-2016 11:00:16,-200,-200,-200,-77,-200,-77,-200,-200,-200,-200,-200,-200,-200
233,N05,10-18-2016 11:00:14,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
234,N05,10-18-2016 11:00:12,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
235,N05,10-18-2016 11:00:10,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
236,N05,10-18-2016 11:00:08,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200
237,N05,10-18-2016 11:00:06,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
238,N05,10-18-2016 11:00:04,-200,-200,-200,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200
239,O05,10-18-2016 11:00:02,-200,-200,-200,-80,-200,-76,-200,-200,-200,-200,-200,-200,-200
240,O05,10-18-2016 11:00:00,-200,-200,-200,-79,-200,-77,-200,-200,-200,-200,-200,-200,-200
241,O05,10-18-2016 10:59:58,-200,-200,-200,-73,-200,-80,-200,-200,-200,-200,-200,-200,-200
242,O05,10-18-2016 10:59:56,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
