,SystemCodeNumber,Capacity,Occupancy,LastUpdated
67,BHMBCCMKT01,577,181,2016-10-07 14:30:32
68,BHMBCCMKT01,577,172,2016-10-07 15:04:30
69,BHMBCCMKT01,577,159,2016-10-07 15:30:32
70,BHMBCCMKT01,577,158,2016-10-07 15:57:31
71,BHMBCCMKT01,577,132,2016-10-07 16:30:29
72,BHMBCCMKT01,577,58,2016-10-08 07:57:38
73,BHMBCCMKT01,577,61,2016-10-08 08:30:37
74,BHMBCCMKT01,577,75,2016-10-08 08:57:34
75,BHMBCCMKT01,577,104,2016-10-08 09:30:37
76,BHMBCCMKT01,577,158,2016-10-08 10:04:34
77,BHMBCCMKT01,577,191,2016-10-08 10:30:34
78,BHMBCCMKT01,577,223,2016-10-08 10:57:34
79,BHMBCCMKT01,577,254,2016-10-08 11:30:38
80,BHMBCCMKT01,577,306,2016-10-08 12:04:34
81,BHMBCCMKT01,577,320,2016-10-08 12:30:36
82,BHMBCCMKT01,577,348,2016-10-08 13:04:39
83,BHMBCCMKT01,577,357,2016-10-08 13:30:36
84,BHMBCCMKT01,577,395,2016-10-08 14:03:38
85,BHMBCCMKT01,577,400,2016-10-08 14:30:35
86,BHMBCCMKT01,577,395,2016-10-08 14:57:41
87,BHMBCCMKT01,577,406,2016-10-08 15:30:39
88,BHMBCCMKT01,577,381,2016-10-08 16:04:39
89,BHMBCCMKT01,577,365,2016-10-08 16:30:42
90,BHMBCCMKT01,577,42,2016-10-09 08:04:40
91,BHMBCCMKT01,577,42,2016-10-09 08:30:45
92,BHMBCCMKT01,577,43,2016-10-09 09:04:46
93,BHMBCCMKT01,577,43,2016-10-09 09:30:45
94,BHMBCCMKT01,577,50,2016-10-09 09:57:41
95,BHMBCCMKT01,577,64,2016-10-09 10:30:43
96,BHMBCCMKT01,577,100,2016-10-09 11:04:44
97,BHMBCCMKT01,577,126,2016-10-09 11:30:41
98,BHMBCCMKT01,577,148,2016-10-09 11:57:46
99,BHMBCCMKT01,577,170,2016-10-09 12:30:41
100,BHMBCCMKT01,577,189,2016-10-09 13:04:43
101,BHMBCCMKT01,577,205,2016-10-09 13:30:42
102,BHMBCCMKT01,577,208,2016-10-09 14:03:42
103,BHMBCCMKT01,577,209,2016-10-09 14:30:42
104,BHMBCCMKT01,577,191,2016-10-09 15:04:44
105,BHMBCCMKT01,577,180,2016-10-09 15:30:46
106,BHMBCCMKT01,577,155,2016-10-09 16:03:43
107,BHMBCCMKT01,577,133,2016-10-09 16:30:43
108,BHMBCCMKT01,577,54,2016-10-10 08:04:47
109,BHMBCCMKT01,577,56,2016-10-10 08:30:47
110,BHMBCCMKT01,577,65,2016-10-10 09:04:47
111,BHMBCCMKT01,577,73,2016-10-10 09:30:49
112,BHMBCCMKT01,577,92,2016-10-10 10:03:48
113,BHMBCCMKT01,577,113,2016-10-10 10:30:48
114,BHMBCCMKT01,577,144,2016-10-10 10:57:52
115,BHMBCCMKT01,577,149,2016-10-10 11:30:48
116,BHMBCCMKT01,577,159,2016-10-10 11:57:49
117,BHMBCCMKT01,577,171,2016-10-10 12:30:48
118,BHMBCCMKT01,577,176,2016-10-10 13:04:49
119,BHMBCCMKT01,577,172,2016-10-10 13:30:49
120,BHMBCCMKT01,577,161,2016-10-10 14:03:49
121,BHMBCCMKT01,577,154,2016-10-10 14:30:49
122,BHMBCCMKT01,577,137,2016-10-10 14:57:54
123,BHMBCCMKT01,577,129,2016-10-10 15:30:49
124,BHMBCCMKT01,577,130,2016-10-10 15:57:55
125,BHMBCCMKT01,577,114,2016-10-10 16:30:49
126,BHMBCCMKT01,577,56,2016-10-11 08:04:57
127,BHMBCCMKT01,577,64,2016-10-11 08:30:54
128,BHMBCCMKT01,577,74,2016-10-11 08:57:56
129,BHMBCCMKT01,577,93,2016-10-11 09:30:55
130,BHMBCCMKT01,577,129,2016-10-11 09:57:59
131,BHMBCCMKT01,577,167,2016-10-11 10:30:54
132,BHMBCCMKT01,577,200,2016-10-11 10:57:55
133,BHMBCCMKT01,577,219,2016-10-11 11:30:59
134,BHMBCCMKT01,577,225,2016-10-11 12:03:55
135,BHMBCCMKT01,577,221,2016-10-11 12:30:56
136,BHMBCCMKT01,577,217,2016-10-11 13:04:00
137,BHMBCCMKT01,577,217,2016-10-11 13:31:01
138,BHMBCCMKT01,577,208,2016-10-11 14:04:00
139,BHMBCCMKT01,577,191,2016-10-11 14:30:56
140,BHMBCCMKT01,577,167,2016-10-11 15:03:58
141,BHMBCCMKT01,577,159,2016-10-11 15:33:56
142,BHMBCCMKT01,577,150,2016-10-11 16:01:00
143,BHMBCCMKT01,577,127,2016-10-11 16:26:56
144,BHMBCCMKT01,577,51,2016-10-12 08:04:00
145,BHMBCCMKT01,577,57,2016-10-12 08:31:01
146,BHMBCCMKT01,577,64,2016-10-12 09:03:59
147,BHMBCCMKT01,577,73,2016-10-12 09:26:58
148,BHMBCCMKT01,577,99,2016-10-12 10:01:04
149,BHMBCCMKT01,577,112,2016-10-12 10:31:04
150,BHMBCCMKT01,577,127,2016-10-12 11:04:01
151,BHMBCCMKT01,577,128,2016-10-12 11:31:05
152,BHMBCCMKT01,577,143,2016-10-12 12:04:04
153,BHMBCCMKT01,577,158,2016-10-12 12:31:05
154,BHMBCCMKT01,577,157,2016-10-12 13:04:04
155,BHMBCCMKT01,577,164,2016-10-12 13:34:03
156,BHMBCCMKT01,577,167,2016-10-12 14:03:59
157,BHMBCCMKT01,577,159,2016-10-12 14:34:04
158,BHMBCCMKT01,577,140,2016-10-12 15:01:03
159,BHMBCCMKT01,577,128,2016-10-12 15:30:59
160,BHMBCCMKT01,577,121,2016-10-12 15:57:05
161,BHMBCCMKT01,577,111,2016-10-12 16:31:05
162,BHMBCCMKT01,577,58,2016-10-13 07:57:02
163,BHMBCCMKT01,577,65,2016-10-13 08:31:06
164,BHMBCCMKT01,577,76,2016-10-13 09:04:02
165,BHMBCCMKT01,577,97,2016-10-13 09:31:01
166,BHMBCCMKT01,577,127,2016-10-13 09:57:08
167,BHMBCCMKT01,577,166,2016-10-13 10:31:03
168,BHMBCCMKT01,577,200,2016-10-13 11:04:08
169,BHMBCCMKT01,577,220,2016-10-13 11:31:06
170,BHMBCCMKT01,577,230,2016-10-13 11:57:06
171,BHMBCCMKT01,577,231,2016-10-13 12:31:08
172,BHMBCCMKT01,577,214,2016-10-13 13:04:04
173,BHMBCCMKT01,577,203,2016-10-13 13:31:08
174,BHMBCCMKT01,577,205,2016-10-13 13:57:07
175,BHMBCCMKT01,577,181,2016-10-13 14:31:06
176,BHMBCCMKT01,577,162,2016-10-13 15:04:08
177,BHMBCCMKT01,577,144,2016-10-13 15:31:08
178,BHMBCCMKT01,577,132,2016-10-13 16:04:08
179,BHMBCCMKT01,577,130,2016-10-13 16:31:08
180,BHMBCCMKT01,577,53,2016-10-14 08:01:05
181,BHMBCCMKT01,577,57,2016-10-14 08:27:10
182,BHMBCCMKT01,577,67,2016-10-14 09:01:08
183,BHMBCCMKT01,577,100,2016-10-14 09:27:10
184,BHMBCCMKT01,577,134,2016-10-14 10:01:11
185,BHMBCCMKT01,577,157,2016-10-14 10:27:09
186,BHMBCCMKT01,577,205,2016-10-14 11:01:07
187,BHMBCCMKT01,577,220,2016-10-14 11:27:06
188,BHMBCCMKT01,577,224,2016-10-14 12:01:11
189,BHMBCCMKT01,577,213,2016-10-14 12:27:06
190,BHMBCCMKT01,577,205,2016-10-14 13:01:11
191,BHMBCCMKT01,577,201,2016-10-14 13:27:07
192,BHMBCCMKT01,577,182,2016-10-14 14:01:11
193,BHMBCCMKT01,577,174,2016-10-14 14:34:08
194,BHMBCCMKT01,577,171,2016-10-14 15:01:12
195,BHMBCCMKT01,577,161,2016-10-14 15:27:08
196,BHMBCCMKT01,577,138,2016-10-14 16:01:11
197,BHMBCCMKT01,577,134,2016-10-14 16:34:08
198,BHMBCCMKT01,577,53,2016-10-15 08:01:11
199,BHMBCCMKT01,577,63,2016-10-15 08:34:10
200,BHMBCCMKT01,577,77,2016-10-15 09:01:09
201,BHMBCCMKT01,577,101,2016-10-15 09:27:11
202,BHMBCCMKT01,577,154,2016-10-15 10:01:12
203,BHMBCCMKT01,577,171,2016-10-15 10:27:15
204,BHMBCCMKT01,577,211,2016-10-15 11:01:14
205,BHMBCCMKT01,577,239,2016-10-15 11:27:14
206,BHMBCCMKT01,577,276,2016-10-15 12:01:12
207,BHMBCCMKT01,577,297,2016-10-15 12:27:10
208,BHMBCCMKT01,577,332,2016-10-15 13:01:14
209,BHMBCCMKT01,577,352,2016-10-15 13:34:13
210,BHMBCCMKT01,577,391,2016-10-15 14:01:13
211,BHMBCCMKT01,577,409,2016-10-15 14:27:12
212,BHMBCCMKT01,577,442,2016-10-15 15:01:13
213,BHMBCCMKT01,577,428,2016-10-15 15:27:12
214,BHMBCCMKT01,577,412,2016-10-15 16:01:15
215,BHMBCCMKT01,577,393,2016-10-15 16:27:16
216,BHMBCCMKT01,577,48,2016-10-16 08:04:13
217,BHMBCCMKT01,577,48,2016-10-16 08:27:13
218,BHMBCCMKT01,577,55,2016-10-16 09:01:15
219,BHMBCCMKT01,577,57,2016-10-16 09:27:13
220,BHMBCCMKT01,577,57,2016-10-16 10:04:13
221,BHMBCCMKT01,577,56,2016-10-16 10:34:13
222,BHMBCCMKT01,577,56,2016-10-16 11:01:13
223,BHMBCCMKT01,577,56,2016-10-16 11:27:17
224,BHMBCCMKT01,577,65,2016-10-16 12:01:16
225,BHMBCCMKT01,577,105,2016-10-16 12:27:14
226,BHMBCCMKT01,577,131,2016-10-16 13:01:16
227,BHMBCCMKT01,577,146,2016-10-16 13:27:17
228,BHMBCCMKT01,577,170,2016-10-16 14:01:18
229,BHMBCCMKT01,577,180,2016-10-16 14:27:13
230,BHMBCCMKT01,577,192,2016-10-16 15:01:18
231,BHMBCCMKT01,577,185,2016-10-16 15:31:18
232,BHMBCCMKT01,577,173,2016-10-16 15:57:16
233,BHMBCCMKT01,577,154,2016-10-16 16:31:17
234,BHMBCCMKT01,577,50,2016-10-17 08:01:16
235,BHMBCCMKT01,577,54,2016-10-17 08:27:16
236,BHMBCCMKT01,577,66,2016-10-17 09:01:17
237,BHMBCCMKT01,577,76,2016-10-17 09:27:20
238,BHMBCCMKT01,577,112,2016-10-17 10:04:20
239,BHMBCCMKT01,577,119,2016-10-17 10:31:16
240,BHMBCCMKT01,577,144,2016-10-17 11:04:20
241,BHMBCCMKT01,577,153,2016-10-17 11:31:18
242,BHMBCCMKT01,577,159,2016-10-17 12:04:19
243,BHMBCCMKT01,577,154,2016-10-17 12:31:21
244,BHMBCCMKT01,577,154,2016-10-17 12:57:17
245,BHMBCCMKT01,577,157,2016-10-17 13:31:21
246,BHMBCCMKT01,577,161,2016-10-17 14:04:21
247,BHMBCCMKT01,577,147,2016-10-17 14:31:21
248,BHMBCCMKT01,577,133,2016-10-17 14:57:18
249,BHMBCCMKT01,577,121,2016-10-17 15:31:21
250,BHMBCCMKT01,577,115,2016-10-17 15:57:17
251,BHMBCCMKT01,577,110,2016-10-17 16:28:21
252,BHMBCCMKT01,577,57,2016-10-18 08:01:23
253,BHMBCCMKT01,577,60,2016-10-18 08:28:25
254,BHMBCCMKT01,577,72,2016-10-18 09:01:23
255,BHMBCCMKT01,577,91,2016-10-18 09:28:22
256,BHMBCCMKT01,577,145,2016-10-18 10:01:25
257,BHMBCCMKT01,577,178,2016-10-18 10:28:58
258,BHMBCCMKT01,577,220,2016-10-18 11:01:57
259,BHMBCCMKT01,577,228,2016-10-18 11:27:56
260,BHMBCCMKT01,577,231,2016-10-18 12:01:59
261,BHMBCCMKT01,577,224,2016-10-18 12:27:57
262,BHMBCCMKT01,577,237,2016-10-18 13:01:56
263,BHMBCCMKT01,577,227,2016-10-18 13:28:57
264,BHMBCCMKT01,577,226,2016-10-18 13:54:59
265,BHMBCCMKT01,577,200,2016-10-18 14:27:56
266,BHMBCCMKT01,577,165,2016-10-18 15:01:58
267,BHMBCCMKT01,577,157,2016-10-18 15:27:59
268,BHMBCCMKT01,577,149,2016-10-18 15:55:00
269,BHMBCCMKT01,577,124,2016-10-18 16:27:54
270,BHMBCCMKT01,577,49,2016-10-19 08:05:03
271,BHMBCCMKT01,577,51,2016-10-19 08:25:01
272,BHMBCCMKT01,577,59,2016-10-19 08:58:05
273,BHMBCCMKT01,577,76,2016-10-19 09:32:04
274,BHMBCCMKT01,577,105,2016-10-19 09:58:04
275,BHMBCCMKT01,577,135,2016-10-19 10:25:04
276,BHMBCCMKT01,577,156,2016-10-19 10:59:00
277,BHMBCCMKT01,577,177,2016-10-19 11:25:04
278,BHMBCCMKT01,577,181,2016-10-19 11:59:05
279,BHMBCCMKT01,577,171,2016-10-19 12:25:00
280,BHMBCCMKT01,577,165,2016-10-19 12:58:01
281,BHMBCCMKT01,577,167,2016-10-19 13:25:03
282,BHMBCCMKT01,577,161,2016-10-19 13:58:02
283,BHMBCCMKT01,577,156,2016-10-19 14:32:03
284,BHMBCCMKT01,577,144,2016-10-19 14:58:03
285,BHMBCCMKT01,577,127,2016-10-19 15:32:05
286,BHMBCCMKT01,577,117,2016-10-19 15:59:01
287,BHMBCCMKT01,577,110,2016-10-19 16:25:03
288,BHMBCCMKT01,577,57,2016-10-22 07:59:45
289,BHMBCCMKT01,577,59,2016-10-22 08:26:46
290,BHMBCCMKT01,577,72,2016-10-22 08:59:44
291,BHMBCCMKT01,577,93,2016-10-22 09:26:47
292,BHMBCCMKT01,577,130,2016-10-22 09:59:44
293,BHMBCCMKT01,577,156,2016-10-22 10:26:47
294,BHMBCCMKT01,577,198,2016-10-22 10:59:47
295,BHMBCCMKT01,577,239,2016-10-22 11:32:43
296,BHMBCCMKT01,577,261,2016-10-22 11:59:46
297,BHMBCCMKT01,577,324,2016-10-22 12:32:47
298,BHMBCCMKT01,577,359,2016-10-22 12:59:47
299,BHMBCCMKT01,577,380,2016-10-22 13:32:43
300,BHMBCCMKT01,577,408,2016-10-22 13:59:48
301,BHMBCCMKT01,577,430,2016-10-22 14:39:47
302,BHMBCCMKT01,577,424,2016-10-22 14:59:48
303,BHMBCCMKT01,577,403,2016-10-22 15:26:49
304,BHMBCCMKT01,577,384,2016-10-22 15:59:47
305,BHMBCCMKT01,577,340,2016-10-22 16:26:47
306,BHMBCCMKT01,577,47,2016-10-23 07:59:48
307,BHMBCCMKT01,577,48,2016-10-23 08:26:51
308,BHMBCCMKT01,577,51,2016-10-23 08:59:50
309,BHMBCCMKT01,577,50,2016-10-23 09:26:51
310,BHMBCCMKT01,577,54,2016-10-23 09:59:52
311,BHMBCCMKT01,577,60,2016-10-23 10:26:53
312,BHMBCCMKT01,577,80,2016-10-23 10:59:53
313,BHMBCCMKT01,577,107,2016-10-23 11:26:49
314,BHMBCCMKT01,577,125,2016-10-23 11:59:50
315,BHMBCCMKT01,577,144,2016-10-23 12:26:51
316,BHMBCCMKT01,577,175,2016-10-23 13:06:52
317,BHMBCCMKT01,577,192,2016-10-23 13:26:55
318,BHMBCCMKT01,577,215,2016-10-23 13:59:53
319,BHMBCCMKT01,577,226,2016-10-23 14:26:51
320,BHMBCCMKT01,577,219,2016-10-23 14:59:53
321,BHMBCCMKT01,577,215,2016-10-23 15:26:56
322,BHMBCCMKT01,577,179,2016-10-23 15:59:54
323,BHMBCCMKT01,577,150,2016-10-23 16:26:57
324,BHMBCCMKT01,577,47,2016-10-24 07:56:56
325,BHMBCCMKT01,577,55,2016-10-24 08:29:56
326,BHMBCCMKT01,577,62,2016-10-24 09:03:01
327,BHMBCCMKT01,577,73,2016-10-24 09:30:01
328,BHMBCCMKT01,577,87,2016-10-24 09:55:57
329,BHMBCCMKT01,577,114,2016-10-24 10:30:02
330,BHMBCCMKT01,577,137,2016-10-24 11:03:03
331,BHMBCCMKT01,577,155,2016-10-24 11:29:57
332,BHMBCCMKT01,577,173,2016-10-24 12:02:57
333,BHMBCCMKT01,577,191,2016-10-24 12:30:03
334,BHMBCCMKT01,577,198,2016-10-24 12:56:58
335,BHMBCCMKT01,577,208,2016-10-24 13:30:03
336,BHMBCCMKT01,577,219,2016-10-24 13:56:01
337,BHMBCCMKT01,577,215,2016-10-24 14:30:02
338,BHMBCCMKT01,577,209,2016-10-24 14:56:02
339,BHMBCCMKT01,577,209,2016-10-24 15:32:59
340,BHMBCCMKT01,577,192,2016-10-24 16:00:04
341,BHMBCCMKT01,577,175,2016-10-24 16:33:03
342,BHMBCCMKT01,577,54,2016-10-25 08:00:03
343,BHMBCCMKT01,577,55,2016-10-25 08:26:08
344,BHMBCCMKT01,577,82,2016-10-25 09:00:03
345,BHMBCCMKT01,577,95,2016-10-25 09:19:19
346,BHMBCCMKT01,577,129,2016-10-25 09:56:19
347,BHMBCCMKT01,577,173,2016-10-25 10:29:19
348,BHMBCCMKT01,577,202,2016-10-25 10:56:23
349,BHMBCCMKT01,577,249,2016-10-25 11:29:22
350,BHMBCCMKT01,577,290,2016-10-25 12:02:23
351,BHMBCCMKT01,577,303,2016-10-25 12:29:21
352,BHMBCCMKT01,577,331,2016-10-25 13:03:20
353,BHMBCCMKT01,577,345,2016-10-25 13:29:24
354,BHMBCCMKT01,577,363,2016-10-25 13:56:21
355,BHMBCCMKT01,577,365,2016-10-25 14:29:23
356,BHMBCCMKT01,577,340,2016-10-25 15:02:24
357,BHMBCCMKT01,577,302,2016-10-25 15:29:22
358,BHMBCCMKT01,577,273,2016-10-25 15:56:25
359,BHMBCCMKT01,577,226,2016-10-25 16:29:22
360,BHMBCCMKT01,577,56,2016-10-26 07:59:26
361,BHMBCCMKT01,577,63,2016-10-26 08:32:27
362,BHMBCCMKT01,577,70,2016-10-26 08:59:29
363,BHMBCCMKT01,577,87,2016-10-26 09:26:27
364,BHMBCCMKT01,577,108,2016-10-26 09:59:25
365,BHMBCCMKT01,577,125,2016-10-26 10:26:30
366,BHMBCCMKT01,577,159,2016-10-26 10:59:30
367,BHMBCCMKT01,577,182,2016-10-26 11:26:28
368,BHMBCCMKT01,577,198,2016-10-26 11:59:29
369,BHMBCCMKT01,577,205,2016-10-26 12:26:27
370,BHMBCCMKT01,577,231,2016-10-26 12:59:31
371,BHMBCCMKT01,577,244,2016-10-26 13:26:32
372,BHMBCCMKT01,577,260,2016-10-26 13:59:26
373,BHMBCCMKT01,577,267,2016-10-26 14:26:26
374,BHMBCCMKT01,577,252,2016-10-26 14:59:30
375,BHMBCCMKT01,577,238,2016-10-26 15:26:30
376,BHMBCCMKT01,577,212,2016-10-26 15:59:32
377,BHMBCCMKT01,577,180,2016-10-26 16:32:30
378,BHMBCCMKT01,577,54,2016-10-27 07:59:33
379,BHMBCCMKT01,577,60,2016-10-27 08:32:33
380,BHMBCCMKT01,577,69,2016-10-27 08:59:33
381,BHMBCCMKT01,577,90,2016-10-27 09:32:35
382,BHMBCCMKT01,577,102,2016-10-27 09:59:37
383,BHMBCCMKT01,577,117,2016-10-27 10:25:37
384,BHMBCCMKT01,577,160,2016-10-27 10:59:38
385,BHMBCCMKT01,577,189,2016-10-27 11:32:32
386,BHMBCCMKT01,577,207,2016-10-27 11:59:38
387,BHMBCCMKT01,577,222,2016-10-27 12:26:35
388,BHMBCCMKT01,577,247,2016-10-27 12:59:36
389,BHMBCCMKT01,577,271,2016-10-27 13:32:35
390,BHMBCCMKT01,577,279,2016-10-27 13:59:37
391,BHMBCCMKT01,577,280,2016-10-27 14:26:38
392,BHMBCCMKT01,577,266,2016-10-27 14:59:37
393,BHMBCCMKT01,577,263,2016-10-27 15:26:33
394,BHMBCCMKT01,577,241,2016-10-27 15:59:38
395,BHMBCCMKT01,577,225,2016-10-27 16:26:39
396,BHMBCCMKT01,577,57,2016-10-28 08:16:41
397,BHMBCCMKT01,577,57,2016-10-28 08:16:41
398,BHMBCCMKT01,577,69,2016-10-28 08:56:40
399,BHMBCCMKT01,577,99,2016-10-28 09:29:43
400,BHMBCCMKT01,577,135,2016-10-28 10:02:44
401,BHMBCCMKT01,577,171,2016-10-28 10:29:41
402,BHMBCCMKT01,577,196,2016-10-28 10:56:43
403,BHMBCCMKT01,577,230,2016-10-28 11:29:44
404,BHMBCCMKT01,577,262,2016-10-28 12:02:44
405,BHMBCCMKT01,577,269,2016-10-28 12:29:45
406,BHMBCCMKT01,577,266,2016-10-28 13:02:43
407,BHMBCCMKT01,577,275,2016-10-28 13:29:45
408,BHMBCCMKT01,577,296,2016-10-28 14:02:39
409,BHMBCCMKT01,577,290,2016-10-28 14:29:45
410,BHMBCCMKT01,577,282,2016-10-28 15:02:43
411,BHMBCCMKT01,577,269,2016-10-28 15:29:41
412,BHMBCCMKT01,577,256,2016-10-28 16:02:40
413,BHMBCCMKT01,577,220,2016-10-28 16:29:42
414,BHMBCCMKT01,577,51,2016-10-29 07:59:48
415,BHMBCCMKT01,577,56,2016-10-29 08:26:46
416,BHMBCCMKT01,577,66,2016-10-29 08:59:48
417,BHMBCCMKT01,577,91,2016-10-29 09:26:50
418,BHMBCCMKT01,577,124,2016-10-29 09:59:51
419,BHMBCCMKT01,577,164,2016-10-29 10:26:49
420,BHMBCCMKT01,577,213,2016-10-29 10:59:46
421,BHMBCCMKT01,577,267,2016-10-29 11:25:51
422,BHMBCCMKT01,577,314,2016-10-29 12:06:51
423,BHMBCCMKT01,577,339,2016-10-29 12:26:46
424,BHMBCCMKT01,577,338,2016-10-29 12:59:51
425,BHMBCCMKT01,577,368,2016-10-29 13:26:47
426,BHMBCCMKT01,577,366,2016-10-29 13:59:51
427,BHMBCCMKT01,577,374,2016-10-29 14:26:50
428,BHMBCCMKT01,577,414,2016-10-29 14:59:51
429,BHMBCCMKT01,577,417,2016-10-29 15:26:52
430,BHMBCCMKT01,577,417,2016-10-29 15:59:51
431,BHMBCCMKT01,577,369,2016-10-29 16:26:53
432,BHMBCCMKT01,577,43,2016-10-30 07:59:55
433,BHMBCCMKT01,577,43,2016-10-30 07:59:55
434,BHMBCCMKT01,577,43,2016-10-30 07:59:55
435,BHMBCCMKT01,577,44,2016-10-30 08:25:53
436,BHMBCCMKT01,577,45,2016-10-30 08:59:52
437,BHMBCCMKT01,577,44,2016-10-30 09:25:57
438,BHMBCCMKT01,577,47,2016-10-30 09:59:52
439,BHMBCCMKT01,577,61,2016-10-30 10:25:54
440,BHMBCCMKT01,577,84,2016-10-30 10:59:56
441,BHMBCCMKT01,577,107,2016-10-30 11:25:55
442,BHMBCCMKT01,577,122,2016-10-30 11:59:58
443,BHMBCCMKT01,577,142,2016-10-30 12:26:54
444,BHMBCCMKT01,577,169,2016-10-30 13:06:59
445,BHMBCCMKT01,577,177,2016-10-30 13:25:59
446,BHMBCCMKT01,577,182,2016-10-30 13:59:59
447,BHMBCCMKT01,577,183,2016-10-30 14:32:54
448,BHMBCCMKT01,577,157,2016-10-30 15:00:00
449,BHMBCCMKT01,577,147,2016-10-30 15:32:59
450,BHMBCCMKT01,577,49,2016-10-31 08:00:03
451,BHMBCCMKT01,577,58,2016-10-31 08:26:02
452,BHMBCCMKT01,577,67,2016-10-31 09:00:00
453,BHMBCCMKT01,577,92,2016-10-31 09:26:03
454,BHMBCCMKT01,577,111,2016-10-31 10:00:05
455,BHMBCCMKT01,577,129,2016-10-31 10:26:02
456,BHMBCCMKT01,577,166,2016-10-31 11:00:02
457,BHMBCCMKT01,577,178,2016-10-31 11:26:04
458,BHMBCCMKT01,577,198,2016-10-31 12:00:04
459,BHMBCCMKT01,577,199,2016-10-31 12:26:06
460,BHMBCCMKT01,577,198,2016-10-31 13:00:06
461,BHMBCCMKT01,577,201,2016-10-31 13:26:01
462,BHMBCCMKT01,577,189,2016-10-31 13:59:47
463,BHMBCCMKT01,577,185,2016-10-31 14:26:05
