,AT,V,AP,RH,PE
51,30.54,67.45,1014.37,32.97,431.35
52,18.3,44.06,1017.95,63.24,456.32
53,25.82,72.39,1003.4,86.33,432.98
54,31.12,69.13,1009.61,56.54,429.41
55,15.99,39.63,1006.09,89.92,464.95
56,8.42,42.28,1008.4,87.78,481.91
57,23.7,69.23,1011.73,73.18,437.15
58,15.71,40.12,1012.81,97.46,462.6
59,29.11,74.9,1003.31,74.01,432.43
60,23.73,61.02,1009.71,78.7,442.22
61,28.26,65.34,1014.56,43.4,441.03
62,15.92,41.2,1016.04,73.37,468.91
63,33.4,70.8,1009.17,57.01,432.46
64,31.92,68.3,1015.58,41.55,430.07
65,26.87,74.99,1002.48,71.91,437.78
66,5.23,40.78,1025.13,92.74,483.12
67,15.72,41.76,1023.07,66.95,462.19
68,17.74,50.88,1015.56,89.78,457.71
69,27.13,59.54,1004.33,73.27,438.32
70,25.82,66.49,1013.2,60.32,434.35
71,34.2,68.14,1002.7,56.09,427.05
72,19.13,68.61,1010.65,94.92,448.69
73,11.77,41.06,1021.45,76.63,475.88
74,10.25,41.46,1018.67,84.41,479.28
75,23.82,48.92,1010.48,44.45,446.85
76,30.1,66.25,1009.38,65.41,434.99
77,29.92,69.75,1009.12,67.15,441.5
78,29.63,66.75,1018.08,58.46,433.26
79,30.61,77.17,1009.49,73.19,430.46
80,16.18,50.88,1014.06,100.09,455.14
81,31.66,73.91,1004.49,68.13,431.26
82,29.14,61.5,1009.64,39.95,437.76
83,18.4,43.96,1012.4,77.81,464.63
84,15.86,38.62,1016.65,67.51,462.58
85,6.31,42.07,1004.61,77.74,483.27
86,23.4,72.99,1009.48,88.82,438.51
87,33.62,77.17,1009.38,63.71,431.03
88,6.89,43.65,1019.87,72.77,484.0
89,27.41,69.98,1008.51,65.49,431.64
90,26.37,54.5,1014.48,66.31,451.78
91,26.58,59.39,1014.49,65.87,439.46
92,15.25,43.02,1012.04,41.43,467.23
93,21.24,41.67,1012.6,49.27,459.81
94,24.98,58.05,1011.69,69.97,447.15
95,26.63,64.44,1012.66,61.19,442.0
96,18.87,52.08,1005.25,99.19,449.61
97,5.12,40.78,1025.45,96.88,481.28
98,31.1,71.32,1008.09,45.87,437.54
99,7.91,39.96,1023.57,88.44,475.52
100,14.97,58.2,1019.52,81.13,458.68
101,28.92,61.02,1011.19,56.13,436.76
102,22.92,61.9,1013.27,78.32,446.08
103,12.55,38.91,1012.58,75.44,474.35
104,9.38,41.44,1015.09,86.8,481.96
105,10.28,41.46,1018.44,85.23,479.66
106,30.31,77.24,1008.02,67.84,435.28
107,25.34,71.06,1007.74,92.52,434.86
108,30.47,70.02,1009.65,62.03,435.72
109,20.18,56.53,1020.3,77.1,454.14
110,21.31,46.97,1014.08,62.57,455.76
111,22.1,74.87,1009.4,85.78,442.83
112,20.09,63.94,1020.82,74.16,449.47
113,22.36,58.79,1016.69,73.6,445.76
114,9.43,37.14,1013.03,74.99,473.57
115,28.86,49.3,1003.93,52.85,435.75
116,23.25,70.32,1009.28,86.52,437.96
117,22.7,60.84,1019.15,71.48,438.59
118,21.3,59.39,1013.83,84.53,444.21
119,19.94,44.9,1008.52,74.69,459.47
120,14.97,43.67,1011.13,87.33,465.54
121,13.83,40.78,1024.85,73.08,458.85
122,23.39,71.25,1005.22,93.7,435.68
123,21.48,47.43,1006.88,63.54,449.2
124,22.63,58.41,1013.69,90.32,445.43
125,20.01,45.09,1014.21,38.19,453.96
126,20.52,43.79,1015.9,68.1,463.93
127,13.58,49.83,1008.9,86.8,465.82
128,14.38,44.84,1024.59,81.68,471.6
129,28.53,69.84,1004.46,68.03,427.72
130,13.89,35.71,1016.4,65.49,468.54
131,25.93,69.34,1008.91,79.43,434.08
132,17.84,61.27,1020.1,70.68,454.57
133,6.28,41.06,1020.96,90.91,489.79
134,8.16,39.64,1011.21,85.56,481.78
135,18.61,67.71,1004.07,84.49,443.57
136,16.23,43.72,1009.96,83.01,457.9
137,8.66,41.01,1022.51,98.55,472.16
138,19.53,66.54,1013.72,81.46,451.19
139,10.17,40.46,1018.54,68.21,470.33
140,6.48,40.27,1010.55,82.12,486.68
141,12.69,40.75,1016.05,82.92,472.68
142,23.77,61.87,1009.8,54.83,445.72
143,14.43,43.5,1021.86,83.14,466.58
144,28.25,57.19,1007.99,67.9,436.99
145,12.26,39.96,1011.79,79.06,470.87
146,14.55,42.74,1027.29,66.64,457.77
147,24.57,51.95,1005.8,70.07,448.15
148,10.25,41.26,1007.44,98.08,476.03
149,21.96,51.43,1007.28,89.96,442.87
150,9.82,39.64,1010.79,69.22,477.93
151,18.58,44.6,1016.61,48.15,459.06
152,20.57,44.9,1008.39,62.69,456.18
153,8.61,41.04,1024.81,95.6,473.62
154,9.99,43.52,1022.95,99.67,473.64
155,13.97,52.05,1012.05,85.36,463.64
156,16.76,43.67,1011.27,70.55,462.44
157,25.58,47.01,1014.5,63.53,454.39
158,17.34,46.48,1007.18,83.15,452.06
159,19.13,66.86,1012.95,71.24,453.31
160,12.75,40.64,1020.44,83.17,466.93
161,29.46,49.3,1003.88,54.1,436.37
162,15.59,52.75,1024.3,59.93,458.87
163,14.2,43.02,1012.18,57.07,470.67
164,14.05,40.35,1011.52,66.21,475.54
165,32.35,77.95,1014.76,60.88,432.72
166,21.41,56.9,1007.03,79.41,441.41
167,10.61,37.5,1008.8,100.13,472.9
168,19.13,40.79,1004.47,91.7,457.83
169,17.28,44.06,1018.15,66.93,462.05
170,24.79,50.78,1008.78,61.88,445.3
171,28.66,50.05,1006.08,47.74,435.94
172,12.91,41.16,1011.9,89.19,472.71
173,17.32,43.7,1015.13,61.66,464.5
174,18.74,59.21,1018.3,91.55,449.77
175,26.69,70.36,1006.82,68.29,435.04
176,12.28,40.55,1005.72,98.56,472.47
177,14.46,44.78,1007.64,67.03,459.31
178,30.54,70.17,999.42,64.32,434.62
179,27.58,66.48,1004.82,51.23,435.34
180,32.17,73.21,1001.43,69.86,430.64
181,26.23,59.87,1012.93,66.62,447.16
182,11.69,35.76,1019.02,55.6,471.72
183,14.73,39.82,1012.67,80.82,470.41
184,12.36,48.04,1012.8,93.59,468.37
185,9.52,40.96,1023.48,86.49,483.59
186,27.32,73.42,1012.07,86.3,432.74
187,23.81,73.17,1012.13,86.13,438.11
188,7.92,42.28,1008.55,81.68,484.75
189,23.58,58.82,1009.68,81.38,445.01
190,20.78,60.84,1018.66,80.4,445.82
191,19.68,68.28,1002.62,71.57,452.47
192,14.12,40.92,1022.46,73.28,459.76
193,22.97,62.4,1010.25,75.18,445.3
194,6.89,39.37,1020.21,74.17,486.9
195,19.98,56.53,1020.22,73.53,454.89
196,21.71,60.27,1015.74,89.76,441.19
197,23.02,59.21,1011.74,83.18,440.5
198,27.71,69.51,1009.65,58.38,435.04
199,10.46,37.5,1013.12,76.74,472.16
200,27.18,62.66,1009.89,52.83,442.16
201,25.56,50.05,1005.67,69.29,442.49
202,19.69,39.72,1001.49,60.34,456.55
203,31.37,76.86,997.34,62.94,431.03
204,14.17,41.67,1013.4,72.77,471.42
205,15.6,43.71,1024.88,80.37,463.34
206,25.3,71.58,1010.18,87.36,433.97
207,7.09,39.37,1020.07,73.26,487.0
208,6.07,41.14,1027.57,86.98,480.19
209,9.86,38.38,1018.22,85.35,479.56
210,14.73,40.35,1011.15,65.2,470.03
211,31.32,74.33,1012.92,36.48,429.57
212,6.14,38.5,1012.4,75.35,489.26
213,27.92,69.23,1013.21,44.43,435.62
214,25.63,58.86,1014.86,52.75,443.84
215,16.37,36.99,1006.37,90.11,463.76
216,28.31,65.71,1014.67,59.29,447.26
217,24.44,69.84,1005.34,80.37,430.3
218,11.33,41.5,1013.58,88.7,475.01
219,23.87,63.94,1019.02,44.28,445.11
220,21.14,48.78,1020.39,86.2,450.35
221,22.24,60.07,1015.93,62.25,446.14
222,23.07,70.47,1008.64,83.37,439.04
223,25.95,59.14,1016.42,67.03,438.46
224,16.44,43.96,1013.66,76.31,468.57
225,20.66,41.54,1014.68,79.7,461.55
226,15.01,39.52,1017.53,72.0,468.02
227,20.51,63.86,1020.65,75.36,447.18
228,24.1,52.84,1006.47,47.58,444.69
229,9.38,40.46,1019.29,75.77,474.1
230,27.49,71.94,1008.25,68.29,428.27
231,32.84,68.14,1003.59,43.88,425.18
232,20.83,44.78,1008.51,35.9,460.6
233,28.69,67.25,1017.71,44.6,436.21
234,9.35,44.03,1011.02,88.11,476.25
235,17.37,41.23,998.79,68.44,461.08
236,14.84,41.48,1017.26,63.42,460.3
237,27.88,68.94,1007.68,75.68,435.04
238,17.83,43.72,1008.64,78.72,453.86
239,7.64,42.28,1008.46,84.29,484.78
240,25.67,74.78,1010.24,68.87,440.48
241,23.1,51.3,1011.93,80.05,452.17
242,27.13,69.45,1013.9,51.16,434.47
243,26.95,70.8,1009.73,82.95,436.8
244,19.4,42.44,1013.19,58.63,459.76
245,13.5,44.92,1023.87,87.17,468.85
246,11.97,41.04,1026.42,70.75,468.81
247,18.11,58.95,1016.61,89.17,454.29
248,24.1,71.29,1007.96,67.56,442.8
249,20.29,65.27,1013.17,74.94,445.52
250,21.82,65.27,1013.86,72.81,447.43
251,29.45,75.6,1018.12,50.68,437.31
252,10.87,38.38,1020.85,69.78,477.03
253,17.36,39.53,1008.28,68.87,456.57
254,24.97,58.95,1017.19,56.24,440.03
255,13.72,45.09,1012.95,87.41,466.24
256,26.49,61.86,1012.55,74.24,440.21
257,8.25,41.26,1020.59,91.84,475.17
258,12.8,44.9,1007.58,66.6,466.95
259,17.08,40.12,1012.17,81.5,457.81
260,31.4,71.06,1008.44,74.77,433.34
261,8.26,44.71,1020.85,68.82,485.19
262,21.22,59.15,1014.68,59.71,450.96
263,26.1,62.91,1012.44,60.91,446.05
264,19.91,51.19,1008.0,90.23,449.23
265,14.56,40.69,1015.48,73.73,469.31
266,10.22,41.74,1022.65,83.58,479.01
267,29.12,67.83,1008.05,46.86,432.46
268,16.97,39.16,1005.7,69.13,458.59
269,26.19,49.3,1003.69,65.88,440.13
270,23.65,66.05,1019.6,78.21,442.9
271,29.53,70.94,1007.22,70.68,432.43
272,19.69,56.65,1020.84,72.14,455.07
273,33.71,69.98,1013.09,42.62,431.99
274,32.14,75.08,1005.35,49.92,439.22
275,29.28,77.17,1009.4,76.3,433.14
276,7.01,37.8,1021.47,62.84,483.95
277,30.47,68.24,1009.55,64.98,427.94
278,29.13,47.93,1002.5,49.1,435.61
279,11.86,39.85,1013.0,66.92,478.29
280,26.16,52.36,1013.62,58.52,453.08
281,10.56,39.13,1010.19,87.12,463.14
282,8.58,40.72,1022.04,87.55,480.96
283,14.26,40.92,1022.07,73.96,460.38
284,23.48,73.67,1007.07,88.49,437.19
285,5.54,45.87,1008.69,95.91,478.02
286,16.98,43.99,1021.65,81.17,456.07
287,30.08,67.25,1017.6,53.09,434.01
288,10.63,39.61,1020.0,72.42,476.99
289,30.36,74.87,1008.96,61.87,435.31
290,29.56,70.4,1006.49,82.95,432.85
291,19.94,56.53,1020.48,76.43,453.8
292,27.55,64.96,999.73,57.34,431.33
293,31.44,79.74,1006.95,56.99,431.69
294,25.35,74.33,1015.29,77.84,435.66
295,4.11,38.44,1015.9,81.79,488.05
296,30.59,70.04,1010.28,50.56,429.13
297,14.04,48.79,1017.62,75.25,464.09
298,15.47,44.9,1021.59,81.74,465.61
299,8.67,40.77,1011.81,89.4,479.23
300,10.53,37.5,1008.55,99.91,472.32
301,7.99,41.38,1021.95,78.77,487.57
302,22.29,45.01,1012.4,51.58,449.08
303,9.06,36.3,1015.14,58.71,477.38
304,10.05,37.14,1012.64,75.97,474.16
305,20.07,49.21,1012.34,56.8,454.25
306,30.65,71.98,1004.92,63.39,429.85
307,14.38,40.73,1017.48,90.64,462.98
308,27.76,71.97,1008.53,86.97,434.04
309,16.7,40.56,1019.04,50.9,470.84
310,5.35,35.57,1027.12,80.81,488.65
311,11.57,41.38,1021.71,61.49,473.94
312,30.57,73.03,1013.75,73.68,437.42
313,16.0,40.66,1016.12,89.23,457.12
314,15.6,41.04,1025.48,64.43,457.49
315,22.12,47.93,1005.5,84.47,443.41
316,21.33,58.46,1016.17,79.73,445.27
317,23.65,59.92,1010.19,89.53,436.74
318,6.8,39.37,1020.24,73.29,487.33
319,31.35,71.32,1005.99,62.35,434.43
320,23.99,68.12,1012.92,70.68,437.14
321,26.53,54.2,1012.9,66.73,439.96
322,31.59,62.7,1009.3,50.16,442.58
323,24.06,69.94,1005.47,60.46,436.88
324,27.28,44.89,1009.02,49.9,441.94
325,23.69,71.97,1009.62,93.03,438.62
326,11.46,39.1,1010.17,100.15,470.55
327,22.61,49.3,1003.51,83.02,441.76
328,21.84,45.09,1013.94,46.11,450.88
329,9.2,39.82,1013.19,91.25,482.89
330,17.75,49.25,1020.86,63.67,454.41
331,7.53,43.65,1018.58,64.85,479.15
332,16.76,45.09,1014.28,57.71,458.67
333,22.69,65.12,1016.35,72.02,446.91
334,11.91,44.45,1021.39,84.49,466.52
335,26.63,61.47,1008.18,69.0,444.16
336,6.72,39.85,1011.84,84.66,489.09
337,9.44,43.99,1020.31,98.06,475.01
338,18.32,45.0,1022.67,46.38,471.43
339,18.31,62.1,1020.38,79.02,455.24
340,26.57,44.57,1007.76,50.39,445.49
341,34.33,69.05,1000.89,37.9,430.56
342,14.85,40.8,1025.38,53.29,471.78
343,29.33,64.84,1010.76,53.32,443.15
344,8.77,40.46,1019.68,77.84,475.0
345,11.35,38.91,1017.93,83.45,474.22
346,21.38,44.05,1005.69,81.66,445.71
347,4.88,40.27,1012.66,74.51,491.29
348,26.66,64.27,1012.83,58.88,437.87
349,13.04,45.09,1013.0,87.68,467.44
350,29.47,71.32,1008.07,67.0,437.14
351,18.91,56.9,1006.98,84.07,448.24
352,24.86,44.05,1005.69,66.65,447.2
353,9.42,41.4,1029.6,87.43,478.12
354,12.75,42.34,1018.17,94.67,465.44
355,21.32,49.02,1008.81,85.81,445.65
356,24.26,67.69,1008.48,66.74,437.4
357,20.01,43.77,1012.13,65.53,455.66
358,21.35,59.04,1012.28,95.71,445.83
359,17.43,63.09,1019.87,92.77,449.36
360,27.86,65.18,1012.87,55.53,436.26
361,20.74,59.8,1015.46,76.39,452.99
362,27.73,67.69,1007.47,59.42,431.72
363,9.53,41.44,1018.01,80.09,481.83
364,28.5,79.74,1006.75,87.09,433.08
365,21.39,52.3,1009.2,79.77,446.87
366,14.54,46.18,1015.29,94.48,463.03
367,28.01,65.34,1014.68,46.86,440.77
368,30.51,70.94,1007.64,59.42,430.91
369,21.63,60.84,1018.16,77.53,445.93
370,26.39,71.25,999.8,89.12,430.34
371,13.84,41.26,1020.92,74.74,462.46
372,17.27,43.52,1021.37,76.73,460.08
373,21.89,58.05,1011.31,85.71,441.76
374,24.02,64.63,1020.49,55.17,449.66
375,31.92,75.33,1001.81,61.97,436.38
376,12.97,49.83,1008.69,91.49,452.07
377,15.89,43.96,1014.02,75.24,467.35
378,9.25,41.26,1020.51,91.21,473.87
379,15.99,43.5,1021.34,73.22,460.7
380,9.06,39.66,1019.64,76.98,479.53
381,14.48,44.06,1018.73,75.88,467.46
382,27.15,59.21,1013.49,51.71,440.27
383,21.68,64.15,1021.09,70.88,454.32
384,28.16,61.47,1009.19,62.53,442.48
385,34.33,74.34,1001.74,42.75,435.76
386,31.98,64.05,1010.49,58.01,439.56
387,15.21,43.56,1012.92,56.61,467.0
388,13.56,42.34,1017.95,93.83,462.6
389,10.32,42.02,998.27,99.12,472.16
390,22.46,58.49,1011.5,70.54,448.46
391,29.3,68.08,1011.23,56.23,434.11
392,22.3,44.57,1008.48,67.58,449.74
393,21.91,70.32,1009.17,90.57,439.29
394,10.95,43.8,1022.61,63.46,473.2
395,24.96,68.12,1011.27,70.22,437.62
396,5.91,39.33,1010.18,95.53,491.49
397,5.25,40.07,1019.48,67.7,495.23
398,21.47,60.93,1006.46,87.83,442.75
399,10.16,39.3,1019.71,81.21,480.74
400,17.29,44.06,1016.24,77.56,461.38
401,17.46,40.22,1006.7,91.96,461.74
402,11.56,40.43,1025.48,74.75,489.54
403,7.51,41.01,1024.61,97.41,477.61
404,17.08,38.58,1015.41,73.42,461.49
405,9.27,42.02,1004.29,95.05,474.93
406,21.3,48.92,1010.92,65.09,447.89
407,8.51,40.81,1015.54,83.16,481.02
408,12.77,41.5,1014.13,86.8,470.68
409,25.04,65.48,1017.66,57.08,440.92
410,21.83,41.1,1001.91,41.79,453.38
411,15.92,41.79,1006.24,79.42,458.68
412,29.97,69.14,1007.92,66.74,433.82
413,9.8,41.82,1032.98,67.55,473.72
414,9.01,38.56,1016.67,63.61,482.37
415,24.71,61.9,1013.78,85.82,443.39
416,20.57,63.78,1016.76,74.0,449.93
417,24.32,65.48,1017.55,59.02,443.31
418,21.41,50.32,1008.61,84.47,443.63
419,27.09,59.15,1013.02,55.18,438.9
420,23.49,47.45,1008.46,66.18,446.72
421,20.0,63.31,1017.06,63.1,449.68
422,13.4,41.58,1020.5,71.17,461.54
423,23.6,60.08,1017.51,63.02,451.97
424,21.03,70.02,1010.21,95.69,444.53
425,5.15,45.87,1008.02,98.36,479.61
426,17.16,58.86,1016.4,86.39,453.76
427,24.59,71.94,1006.89,88.52,430.28
428,23.05,65.94,1010.99,69.73,442.39
429,10.48,37.5,1009.81,95.26,474.57
430,15.72,43.02,1011.98,45.74,466.33
431,25.56,70.32,1009.07,90.63,433.72
432,13.78,41.16,1021.65,75.77,460.44
433,29.35,69.04,1008.55,61.78,445.04
434,32.09,79.74,1006.92,61.5,432.85
435,25.16,77.3,1000.73,86.4,439.37
436,14.63,40.0,1018.03,63.4,457.09
437,5.7,40.35,1012.18,91.57,488.8
438,28.15,74.9,1003.67,76.32,433.63
439,22.3,57.19,1006.4,75.28,445.1
440,27.71,72.99,1007.18,72.68,433.01
441,23.09,45.01,1012.25,43.95,453.45
442,19.66,42.18,1001.51,95.75,454.46
443,10.02,52.75,1021.93,73.68,473.09
444,23.97,68.67,1006.63,76.83,441.53
445,7.82,38.91,1015.58,90.11,479.15
446,30.21,69.4,1003.69,62.89,438.18
447,24.12,62.44,1013.83,88.02,443.3
448,21.05,63.09,1016.49,91.23,447.45
449,13.93,40.24,1017.88,88.35,469.25
450,9.68,41.06,1022.75,87.44,476.67
451,17.48,49.39,1021.51,84.53,460.01
452,28.76,66.56,1006.07,62.41,432.3
453,19.21,53.16,1013.18,81.64,454.01
454,25.63,72.99,1008.2,86.8,436.64
455,20.36,66.05,1015.86,87.19,450.23
456,15.34,40.73,1018.03,86.19,458.55
457,9.55,40.72,1023.12,68.06,481.08
458,13.45,41.16,1022.04,82.96,460.57
459,10.8,39.58,1011.99,87.54,478.24
460,28.15,72.99,1007.62,70.03,431.83
461,15.42,40.56,1021.23,59.37,469.33
462,33.6,74.33,1012.31,35.66,428.62
463,30.92,78.05,1011.0,59.62,434.12
464,25.24,57.17,1010.44,74.0,442.77
465,13.6,41.2,1015.92,85.05,467.42
466,18.68,46.0,1002.2,97.17,447.8
467,22.43,69.84,1006.94,75.54,436.19
468,23.37,70.94,1008.01,81.28,441.56
469,19.62,43.56,1012.89,37.6,463.33
470,14.35,39.39,1012.92,82.41,470.53
471,24.88,63.91,1009.41,77.75,447.28
472,20.67,63.56,1013.27,79.39,450.7
473,34.11,73.56,1006.77,45.92,432.78
474,19.15,44.89,1009.6,74.52,451.09
475,24.96,70.47,1007.73,76.48,438.23
476,18.86,42.18,1001.16,98.58,457.07
477,25.1,60.37,1005.83,72.53,438.44
478,10.15,43.41,1018.4,82.07,473.43
479,26.53,65.18,1012.77,64.37,437.39
480,26.05,46.21,1011.31,55.25,450.86
481,25.45,74.33,1015.53,80.95,435.12
482,8.14,39.96,1023.41,88.86,477.05
483,31.95,67.17,1007.11,61.58,432.6
484,30.8,73.56,1007.39,75.78,432.43
485,7.69,43.02,1014.51,85.23,486.46
486,15.3,43.67,1011.75,95.31,468.14
487,27.12,70.32,1009.94,52.67,429.08
488,25.76,74.87,1010.18,65.15,443.7
489,10.28,39.64,1010.45,74.15,477.65
490,30.91,79.74,1006.92,56.32,433.84
491,24.22,61.86,1013.39,80.11,442.65
492,5.67,45.87,1008.91,93.29,478.44
493,22.96,68.61,1011.15,76.62,447.18
494,24.54,65.46,1014.27,40.77,446.26
495,11.32,36.18,1015.03,64.68,472.67
496,15.15,53.82,1016.34,62.59,461.6
497,23.53,50.05,1005.63,78.4,443.71
498,29.08,66.54,1004.67,64.5,430.16
499,20.42,60.77,1017.65,87.07,447.85
500,26.32,69.71,1009.39,67.05,441.25
501,21.89,74.93,1016.11,77.88,448.47
502,9.68,41.48,1018.24,71.04,473.31
503,16.73,54.3,1017.96,59.44,460.54
504,7.8,39.04,1018.46,66.5,482.31
505,23.29,65.61,1014.81,70.27,447.67
506,28.93,72.99,1007.23,64.41,434.45
507,16.75,42.23,1013.81,84.98,464.87
508,21.47,58.79,1017.0,76.97,446.33
509,25.98,68.12,1011.36,66.86,439.0
510,16.34,36.99,1006.99,90.06,466.24
511,25.23,69.34,1009.51,82.87,445.92
512,12.41,41.44,1015.46,76.9,472.06
513,24.2,60.77,1016.92,71.65,439.13
514,7.51,41.66,1015.9,78.31,485.58
515,31.53,70.94,1007.11,50.04,431.84
516,17.42,44.06,1016.63,82.15,456.57
517,6.92,39.61,1018.64,82.27,483.83
518,8.34,40.72,1023.62,83.75,483.14
519,32.07,67.83,1007.91,41.61,429.31
520,27.18,64.79,1016.27,63.7,443.87
521,9.24,41.4,1030.72,87.36,476.9
522,13.48,46.18,1018.15,88.38,464.58
523,22.74,61.02,1009.56,79.41,445.56
524,28.62,68.24,1010.15,69.31,428.08
525,25.11,62.26,1011.12,78.01,434.97
526,11.47,43.67,1012.68,72.51,475.72
527,29.51,75.6,1017.92,50.61,431.18
528,15.24,39.39,1013.01,74.24,469.79
529,22.71,75.23,1010.48,76.86,444.0
530,13.98,39.18,1009.61,89.12,467.97
531,17.89,40.12,1011.99,76.52,451.79
532,12.81,44.58,1016.49,80.76,475.5
533,15.54,41.96,1011.78,97.46,467.1
534,20.21,54.9,1016.82,66.56,454.23
535,6.17,36.25,1028.68,90.59,483.77
536,26.42,59.54,1007.02,76.28,438.5
537,14.6,44.47,1028.46,69.96,465.24
538,29.53,72.39,998.47,76.05,431.69
539,12.95,43.71,1025.63,90.7,469.15
540,13.26,40.83,1007.97,90.63,472.14
541,23.48,60.23,1011.91,79.48,437.44
542,10.16,41.55,1005.69,58.04,477.27
543,29.13,66.56,1006.63,52.85,439.31
544,10.8,41.74,1020.24,78.62,479.32
545,25.21,75.6,1017.19,69.84,445.84
546,20.72,44.57,1008.96,72.57,449.76
547,26.17,59.92,1010.01,73.75,444.96
548,17.48,44.2,1018.89,61.51,457.15
549,29.67,73.67,1006.48,64.98,429.28
550,26.38,71.73,1010.04,69.45,431.66
551,12.08,41.39,1019.45,78.3,477.8
552,25.3,70.98,1007.22,95.1,440.86
553,16.55,39.64,1009.07,77.8,465.29
554,13.18,43.8,1023.18,61.21,467.0
555,21.34,51.61,1010.11,80.7,452.0
556,20.06,44.9,1008.79,70.06,448.51
557,8.26,39.42,1025.89,70.53,474.72
558,8.51,38.5,1013.33,64.28,482.39
559,8.83,36.25,1028.86,85.6,478.45
560,14.52,44.84,1023.51,88.51,466.88
561,7.87,43.02,1014.67,83.58,485.61
562,7.14,44.71,1019.98,71.9,487.71
563,7.49,36.08,1020.27,85.69,483.26
564,11.01,40.22,1011.13,83.09,476.69
565,20.74,58.2,1017.54,70.66,450.4
566,30.98,67.48,1009.96,58.92,439.39
567,26.67,70.94,1007.7,56.56,439.13
568,28.24,71.58,1010.1,67.92,434.01
569,11.98,39.35,1014.97,98.05,472.43
570,30.91,69.75,1010.23,59.36,435.7
571,23.23,63.31,1012.52,75.1,441.5
572,30.13,78.05,1010.99,61.5,434.14
573,20.79,65.59,1014.9,77.0,450.3
574,14.38,45.09,1012.95,86.1,464.27
575,10.07,40.46,1018.65,69.2,470.99
576,10.48,41.38,1021.97,65.22,481.41
577,6.86,41.17,1020.12,79.14,490.23
578,13.25,41.62,1010.8,77.81,457.64
579,26.92,51.43,1012.29,59.33,437.35
580,12.76,40.27,1006.58,49.34,474.03
581,30.2,73.67,1006.31,62.14,428.72
582,10.72,41.38,1021.6,63.77,478.29
583,17.39,46.21,1013.94,82.73,454.06
584,30.97,67.69,1005.61,50.88,425.35
585,28.16,71.94,1007.69,68.17,430.46
586,28.84,73.03,1013.99,76.05,435.75
587,24.48,64.45,1014.69,51.43,452.82
588,11.23,39.72,1018.46,60.62,475.04
589,13.52,42.07,1017.91,90.21,464.07
590,16.61,45.87,1009.34,97.93,455.86
591,20.96,61.27,1019.99,67.32,448.77
592,32.15,69.98,1013.3,55.13,429.86
593,21.24,44.57,1008.72,72.57,447.03
594,26.49,78.92,1010.82,83.42,434.91
595,24.01,65.46,1014.17,43.02,443.81
596,33.15,70.4,1003.72,53.98,430.15
597,20.13,40.33,1005.31,85.42,460.09
598,21.41,62.39,1007.84,88.83,452.8
599,31.35,70.8,1010.11,66.37,432.19
600,27.44,58.9,1003.86,66.74,442.19
601,25.21,51.43,1006.43,78.55,439.01
602,32.06,75.33,1001.96,63.15,432.92
603,25.04,51.95,1005.56,66.53,449.45
604,13.31,40.1,1014.81,82.11,468.74
605,29.68,64.33,1011.2,57.73,441.79
606,13.46,44.71,1014.51,50.0,474.6
