,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
45,46,02-01-2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9
46,47,02-01-2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8
47,48,03-01-2011,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5
48,49,03-01-2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2
49,50,03-01-2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1
50,51,03-01-2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3
51,52,03-01-2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30
52,53,03-01-2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,1,63,64
53,54,03-01-2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154
54,55,03-01-2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88
55,56,03-01-2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
56,57,03-01-2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51
57,58,03-01-2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61
58,59,03-01-2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61
59,60,03-01-2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77
60,61,03-01-2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72
61,62,03-01-2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76
62,63,03-01-2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157
63,64,03-01-2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157
64,65,03-01-2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110
65,66,03-01-2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
66,67,03-01-2011,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,3,49,52
67,68,03-01-2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
68,69,03-01-2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
69,70,04-01-2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
70,71,04-01-2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2
71,72,04-01-2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
72,73,04-01-2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
73,74,04-01-2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
74,75,04-01-2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
75,76,04-01-2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
76,77,04-01-2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
77,78,04-01-2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
78,79,04-01-2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
79,80,04-01-2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
80,81,04-01-2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
81,82,04-01-2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,18,79,97
82,83,04-01-2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
83,84,04-01-2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
84,85,04-01-2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
85,86,04-01-2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
86,87,04-01-2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,3,179,182
87,88,04-01-2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
88,89,04-01-2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
89,90,04-01-2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48
90,91,04-01-2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
91,92,04-01-2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
92,93,05-01-2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6
93,94,05-01-2011,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6,6
94,95,05-01-2011,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,2,2
95,96,05-01-2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
96,97,05-01-2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
97,98,05-01-2011,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,0,33,33
98,99,05-01-2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,1,87,88
99,100,05-01-2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
100,101,05-01-2011,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,6,109,115
101,102,05-01-2011,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,4,53,57
102,103,05-01-2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
103,104,05-01-2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
104,105,05-01-2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
105,106,05-01-2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,10,52,62
106,107,05-01-2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,7,55,62
107,108,05-01-2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
108,109,05-01-2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,4,186,190
109,110,05-01-2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
110,111,05-01-2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
111,112,05-01-2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
112,113,05-01-2011,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,43
113,114,05-01-2011,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,1,41,42
114,115,05-01-2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19
115,116,06-01-2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11
116,117,06-01-2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4
117,118,06-01-2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2
118,119,06-01-2011,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,0,1,1
119,120,06-01-2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
120,121,06-01-2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
121,122,06-01-2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95
122,123,06-01-2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219
123,124,06-01-2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122
124,125,06-01-2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45
125,126,06-01-2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
126,127,06-01-2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84
127,128,06-01-2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
128,129,06-01-2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
129,130,06-01-2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62
130,131,06-01-2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
131,132,06-01-2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
132,133,06-01-2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
133,134,06-01-2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
134,135,06-01-2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
135,136,06-01-2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
136,137,06-01-2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
137,138,06-01-2011,1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,23
138,139,07-01-2011,1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,4,13,17
139,140,07-01-2011,1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,2,5,7
140,141,07-01-2011,1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,0,1,1
141,142,07-01-2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
142,143,07-01-2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5
143,144,07-01-2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34
144,145,07-01-2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
145,146,07-01-2011,1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,20,190,210
146,147,07-01-2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
147,148,07-01-2011,1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,16,47,63
148,149,07-01-2011,1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,19,48,67
149,150,07-01-2011,1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,9,50,59
150,151,07-01-2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
151,152,07-01-2011,1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,7,43,50
152,153,07-01-2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
153,154,07-01-2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
154,155,07-01-2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187
155,156,07-01-2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
156,157,07-01-2011,1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,3,92,95
157,158,07-01-2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
158,159,07-01-2011,1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,0,39,39
159,160,07-01-2011,1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,2,34,36
160,161,07-01-2011,1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,1,14,15
161,162,08-01-2011,1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,1,24,25
162,163,08-01-2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
163,164,08-01-2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16
164,165,08-01-2011,1,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,7,7
165,166,08-01-2011,1,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,1,1
166,167,08-01-2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
167,168,08-01-2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
168,169,08-01-2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
169,170,08-01-2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
170,171,08-01-2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
171,172,08-01-2011,1,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,5,56,61
172,173,08-01-2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
173,174,08-01-2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
174,175,08-01-2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
175,176,08-01-2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
176,177,08-01-2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
177,178,08-01-2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
178,179,08-01-2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
179,180,08-01-2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
180,181,08-01-2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
181,182,08-01-2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
182,183,08-01-2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
183,184,08-01-2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
184,185,08-01-2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
185,186,09-01-2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
186,187,09-01-2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
187,188,09-01-2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
188,189,09-01-2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
189,190,09-01-2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,1
190,191,09-01-2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,1
191,192,09-01-2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
192,193,09-01-2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1,5,6
193,194,09-01-2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
194,195,09-01-2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
195,196,09-01-2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
196,197,09-01-2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
197,198,09-01-2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
198,199,09-01-2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
199,200,09-01-2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
200,201,09-01-2011,1,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,5,77,82
201,202,09-01-2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
202,203,09-01-2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
203,204,09-01-2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
204,205,09-01-2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
205,206,09-01-2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
206,207,09-01-2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
207,208,09-01-2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
208,209,09-01-2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,0,6,6
209,210,10-01-2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
210,211,10-01-2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
211,212,10-01-2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
212,213,10-01-2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
213,214,10-01-2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
214,215,10-01-2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
215,216,10-01-2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
216,217,10-01-2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
217,218,10-01-2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
218,219,10-01-2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
219,220,10-01-2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
220,221,10-01-2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
221,222,10-01-2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
222,223,10-01-2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
223,224,10-01-2011,1,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,0,47,47
224,225,10-01-2011,1,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,2,43,45
225,226,10-01-2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
226,227,10-01-2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
227,228,10-01-2011,1,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,1,154,155
228,229,10-01-2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
229,230,10-01-2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
230,231,10-01-2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,1,37,38
231,232,10-01-2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
232,233,10-01-2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
233,234,11-01-2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
234,235,11-01-2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
235,236,11-01-2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,0,3,3
236,237,11-01-2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
237,238,11-01-2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
238,239,11-01-2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99
239,240,11-01-2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
240,241,11-01-2011,1,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,3,127,130
241,242,11-01-2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
242,243,11-01-2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
243,244,11-01-2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
244,245,11-01-2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
245,246,11-01-2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
246,247,11-01-2011,1,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,2,45,47
247,248,11-01-2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
248,249,11-01-2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
249,250,11-01-2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
250,251,11-01-2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51
251,252,11-01-2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,0,32,32
252,253,11-01-2011,1,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,0,20,20
253,254,11-01-2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
254,255,11-01-2011,1,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,1,18,19
255,256,12-01-2011,1,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,0,7,7
256,257,12-01-2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
257,258,12-01-2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
258,259,12-01-2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
259,260,12-01-2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
260,261,12-01-2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
261,262,12-01-2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
262,263,12-01-2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
263,264,12-01-2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
264,265,12-01-2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
265,266,12-01-2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
266,267,12-01-2011,1,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,0,49,49
