,TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040,quantitative response
41,0.0,0.0,0,3.259,2.048,1.111,0,0,3.772
42,26.02,32.897,2,2.193,2.031,0.992,1,0,4.178999999999999
43,17.07,25.145,0,1.9469999999999998,2.005,1.276,0,0,3.0610000000000004
44,0.0,0.0,0,3.267,2.119,1.25,0,0,4.867
45,0.0,0.0,0,3.267,2.119,1.25,0,0,5.372999999999999
46,0.0,0.0,0,3.3739999999999997,2.1180000000000003,1.204,0,0,3.522
47,17.07,25.145,0,-0.317,1.155,1.74,0,0,0.55
48,29.1,43.156000000000006,1,3.076,2.438,0.773,1,1,4.7139999999999995
49,37.3,67.828,1,0.133,1.401,1.5819999999999999,0,1,3.17
50,40.46,85.367,2,0.706,1.768,1.594,0,0,1.22
51,0.0,0.0,0,2.226,1.401,0.826,0,0,3.6310000000000002
52,103.67,119.505,1,3.5460000000000003,2.847,1.2109999999999999,3,0,3.725
53,111.87,144.17700000000002,1,2.702,2.6260000000000003,1.047,2,0,6.0
54,38.33,54.156000000000006,1,2.391,2.612,1.2930000000000001,1,0,6.32
55,75.27,111.456,2,0.779,2.7089999999999996,1.0290000000000001,2,2,2.201
56,17.07,25.145,0,0.20199999999999999,1.334,1.66,0,0,2.815
57,87.66,139.995,3,1.589,3.514,1.339,2,1,3.819
58,37.3,67.828,1,0.586,1.577,1.56,0,1,3.16
59,49.17,55.448,0,4.168,3.3289999999999997,1.042,3,0,4.72
60,93.06,157.656,2,2.0140000000000002,3.767,1.189,0,0,4.333
61,0.0,0.0,0,3.138,1.5090000000000001,1.7,0,0,3.87
62,37.3,67.828,1,0.996,1.746,1.547,0,1,3.358
63,37.3,67.828,1,2.06,2.06,1.5290000000000001,0,1,3.08
64,20.23,42.683,1,2.274,2.005,1.5959999999999999,0,0,3.115
65,52.6,72.29,0,4.737,3.907,1.595,0,2,5.749
66,52.6,72.29,0,5.426,3.8930000000000002,1.402,0,2,4.55
67,54.57,41.028,0,5.207999999999999,3.6910000000000003,1.585,0,0,6.382999999999999
68,0.0,0.0,0,3.516,1.6780000000000002,1.6669999999999998,0,0,4.34
69,81.7,115.445,1,5.44,4.623,1.517,1,3,4.85
70,20.23,42.683,1,5.0889999999999995,3.049,1.247,0,0,6.064
71,20.23,42.683,1,4.833,2.9130000000000003,1.229,0,0,6.36
72,50.24,26.663,0,3.247,2.7889999999999997,1.206,1,1,6.074
73,20.23,42.683,1,1.94,1.9969999999999999,1.61,0,0,3.2260000000000004
74,122.91,210.537,3,0.868,3.59,1.462,3,1,2.6260000000000003
75,45.61,28.269000000000002,0,2.275,2.445,1.29,1,0,4.474
76,44.45,16.785999999999998,0,2.539,1.84,0.92,1,1,5.428999999999999
77,38.33,54.156000000000006,1,1.7369999999999999,2.472,0.638,1,0,6.848
78,70.14,50.908,3,0.59,1.909,0.907,2,0,3.85
79,52.6,72.29,0,3.6180000000000003,3.197,1.3559999999999999,0,2,4.878
80,52.6,72.29,0,4.091,3.568,1.15,0,2,5.19
81,9.23,11.0,0,2.274,2.15,1.754,0,0,3.7
82,46.15,54.998999999999995,0,2.11,3.866,1.521,0,0,5.291
83,54.57,41.028,0,3.742,3.136,1.7730000000000001,0,0,6.042000000000001
84,0.0,0.0,0,3.562,2.281,1.15,0,0,5.547999999999999
85,45.61,28.269000000000002,0,1.9709999999999999,2.294,1.275,1,0,4.6080000000000005
86,121.26,6.249,0,2.8689999999999998,3.095,0.862,2,0,6.188
87,94.88,149.498,0,4.207,3.0469999999999997,1.2830000000000001,3,0,6.24
88,20.23,42.683,1,0.34700000000000003,1.334,1.768,0,0,0.935
89,41.57,57.28,1,0.7340000000000001,2.548,1.8530000000000002,2,0,3.25
90,38.8,0.0,1,1.364,1.334,1.212,0,0,6.102
91,86.71,27.185,0,2.06,2.394,1.088,0,0,6.579
92,92.31,70.941,2,2.195,3.082,0.9990000000000001,3,0,7.044
93,98.61,57.46,0,2.0540000000000003,2.891,1.442,3,0,9.14
94,44.45,16.785999999999998,0,1.676,1.5090000000000001,0.779,1,1,5.308
95,56.15,36.022,2,0.59,1.879,1.001,2,0,2.838
96,56.15,36.022,2,1.945,2.461,0.805,2,0,3.3510000000000004
97,62.73,86.37799999999999,2,2.273,2.478,1.254,5,0,3.3310000000000004
98,86.52,117.43700000000001,2,2.031,2.679,1.198,6,1,6.447
99,20.23,42.683,1,-0.172,1.155,1.911,0,0,0.59
100,107.65,178.917,0,4.218999999999999,3.945,1.078,1,2,5.03
101,26.3,36.145,0,0.996,1.723,1.805,0,1,2.827
102,52.6,72.29,0,0.787,2.2230000000000003,1.8,0,2,2.8989999999999996
103,138.26,86.133,0,0.491,2.8539999999999996,1.146,0,2,8.349
104,52.6,72.29,0,2.577,2.707,1.3130000000000002,0,2,3.603
105,52.33,62.438,0,0.5670000000000001,2.239,1.5419999999999998,1,1,2.668
106,9.23,11.0,0,0.8,1.5090000000000001,2.003,0,0,1.73
107,100.39,91.775,0,2.682,2.903,1.8230000000000002,1,0,9.141
108,110.96,13.843,0,3.089,3.015,0.889,0,0,6.442
109,95.37,54.336000000000006,0,2.4330000000000003,2.915,1.3940000000000001,2,0,8.564
110,115.41,71.512,0,2.2230000000000003,2.903,1.295,1,0,8.15
111,82.48,37.55,0,3.213,2.806,1.172,1,0,8.849
112,110.96,13.843,0,1.9709999999999999,2.52,1.012,0,0,8.207
113,64.63,90.3,1,1.651,2.785,1.3459999999999999,1,2,3.072
114,21.26,29.011,1,2.826,2.7089999999999996,1.1840000000000002,1,0,5.0360000000000005
115,76.43,6.922000000000001,0,2.7230000000000003,2.553,0.835,0,0,7.483
116,38.8,0.0,1,0.845,1.155,1.177,0,0,5.562
117,45.61,28.269000000000002,0,1.579,2.397,1.162,1,0,4.437
118,110.96,13.843,0,1.321,2.4019999999999997,0.988,0,0,7.127999999999999
119,193.91,332.83,5,-0.139,4.73,1.551,1,1,3.2769999999999997
120,180.08,310.81,5,0.14300000000000002,4.805,1.597,2,1,3.795
121,182.91,301.147,4,0.036000000000000004,4.758,1.584,1,1,4.602
122,49.41,71.18,1,4.761,3.537,1.147,2,2,4.3069999999999995
123,26.02,32.897,2,2.193,2.056,0.992,1,0,6.13
124,12.89,16.785999999999998,0,1.5330000000000001,2.056,1.203,1,0,3.4810000000000003
125,77.82,99.365,4,3.048,2.813,0.7909999999999999,4,0,4.632
126,74.57,147.153,2,1.7890000000000001,3.373,1.175,3,1,3.432
127,23.55,31.394000000000002,0,0.16,1.7,2.092,2,0,1.601
128,58.56,75.965,0,1.6480000000000001,2.6889999999999996,1.675,4,0,7.037000000000001
129,38.57,6.249,0,0.59,1.7,1.19,2,0,2.2319999999999998
130,61.35,36.022,2,-0.273,1.475,0.8759999999999999,2,0,3.392
131,95.96,6.249,0,0.45399999999999996,2.072,0.8,2,0,4.8580000000000005
132,121.26,6.249,0,0.45399999999999996,2.227,0.677,2,0,6.059
133,140.02,119.209,4,-0.812,2.478,0.9259999999999999,3,0,7.377999999999999
134,36.6,20.262999999999998,0,1.354,1.89,2.073,3,0,1.43
135,181.62,324.873,7,-0.392,3.6289999999999996,0.863,2,1,3.573
136,181.62,324.873,7,-0.875,3.595,0.945,2,1,6.43
137,3.24,3.1239999999999997,0,2.193,2.048,1.2409999999999999,1,0,4.385
138,61.35,36.022,2,1.6280000000000001,2.231,0.75,2,0,3.298
139,111.56,99.4,2,0.6579999999999999,3.426,1.189,4,0,2.685
140,16.13,19.91,0,1.272,2.4730000000000003,1.256,2,0,4.7330000000000005
141,75.01,128.306,1,1.146,3.505,1.232,3,1,3.674
142,63.87,6.249,0,0.198,1.975,0.858,2,0,5.47
143,83.67,84.184,1,0.349,2.397,2.092,1,1,5.76
144,114.76,56.998999999999995,1,-0.755,2.214,1.033,1,1,5.13
145,96.3,102.044,1,-0.46299999999999997,2.434,1.256,3,2,5.12
146,93.21,118.087,1,-0.147,2.355,1.6440000000000001,2,0,5.9
147,75.99,73.774,1,0.787,2.266,1.185,2,0,5.551
148,47.56,65.155,1,1.459,2.72,1.265,1,0,6.52
149,56.79,76.155,1,1.064,2.72,1.3459999999999999,1,0,6.882999999999999
150,38.33,54.156000000000006,1,2.222,2.725,1.012,1,0,5.942
151,70.14,50.908,3,-0.792,1.401,0.647,2,0,3.9789999999999996
152,47.36,21.135,1,0.18,1.6269999999999998,1.051,2,0,2.188
153,73.58,63.842,2,0.894,3.136,1.3880000000000001,3,0,3.008
154,12.03,18.011,1,1.859,1.989,1.062,1,0,5.79
155,20.23,42.683,1,-0.8140000000000001,1.0,2.353,0,0,0.9890000000000001
156,69.48,142.262,0,4.096,3.884,1.169,2,1,5.742000000000001
157,65.82,80.765,0,3.6919999999999997,3.883,1.087,3,0,6.756
158,164.9,144.333,4,0.16,3.323,0.833,4,0,4.33
159,76.66,108.311,2,2.0869999999999997,3.468,1.137,2,0,4.652
160,52.6,72.29,0,2.005,2.468,1.281,0,2,3.77
161,35.53,47.145,0,3.967,3.3680000000000003,1.5330000000000001,0,1,5.475
162,55.84,75.414,0,1.9069999999999998,2.892,1.439,1,2,3.536
163,29.54,39.269,0,3.0260000000000002,2.8280000000000003,1.2429999999999999,1,1,4.3389999999999995
164,29.46,53.683,1,-0.081,1.577,1.952,0,0,0.59
165,35.53,47.145,0,0.5379999999999999,1.952,1.9280000000000002,0,1,2.511
166,38.69,64.683,1,0.22399999999999998,2.108,1.9040000000000001,0,0,1.8880000000000001
167,65.57,76.79,1,0.489,1.999,1.5330000000000001,0,0,7.699
168,90.51,65.67,1,-0.759,1.929,1.402,1,1,4.107
169,87.43,55.411,2,-1.222,1.575,1.3619999999999999,1,0,6.617999999999999
170,115.41,71.512,0,1.919,2.72,1.291,1,0,7.671
171,115.41,71.512,0,1.6019999999999999,2.687,1.288,1,0,7.341
172,133.44,75.193,0,0.9059999999999999,3.034,0.941,3,1,7.858
173,9.23,11.0,0,4.19,2.225,0.58,0,0,7.0120000000000005
174,29.46,53.683,1,3.028,2.225,0.5479999999999999,0,0,6.176
175,29.46,53.683,1,2.736,2.1830000000000003,0.62,0,0,5.527
176,100.87,112.494,0,3.275,2.661,1.2429999999999999,2,0,5.636
177,29.46,53.683,1,2.736,2.187,0.62,0,0,5.372000000000001
178,35.25,43.897,2,1.246,2.056,1.081,1,0,5.571000000000001
179,41.57,57.28,1,1.838,2.611,1.175,2,0,3.155
180,96.31,77.727,1,1.126,3.536,1.157,3,0,3.594
181,35.25,43.897,2,1.246,2.046,1.081,1,0,5.642
182,29.46,53.683,1,1.246,2.046,1.114,0,0,3.48
183,9.23,11.0,0,1.859,1.989,1.1640000000000001,0,0,3.432
184,35.25,43.897,2,1.246,2.031,1.081,1,0,4.011
185,29.46,53.683,1,1.246,2.031,1.114,0,0,3.68
186,75.74,93.694,3,2.195,4.365,1.0859999999999999,2,0,5.132000000000001
187,94.89,20.765,0,2.492,2.659,1.194,0,0,6.79
188,88.03,86.37799999999999,2,3.185,2.93,1.13,5,0,4.485
189,102.02,101.265,3,2.273,2.459,1.0859999999999999,5,0,4.288
190,0.0,0.0,0,3.562,2.031,1.15,0,0,5.45
191,0.0,0.0,0,3.259,1.975,1.111,0,0,4.53
192,20.23,42.683,1,2.193,1.975,1.02,0,0,4.765
193,0.0,0.0,0,2.9419999999999997,1.9240000000000002,1.063,0,0,3.5239999999999996
194,103.35,161.259,2,2.401,3.053,0.7979999999999999,1,0,4.14
195,0.0,0.0,0,3.562,2.119,1.15,0,0,4.317
196,0.0,0.0,0,3.21,1.9240000000000002,0.7879999999999999,0,0,4.933
197,20.23,42.683,1,1.859,1.9240000000000002,0.9490000000000001,0,0,3.71
198,12.89,16.785999999999998,0,2.66,2.408,0.976,1,0,3.6180000000000003
199,0.0,0.0,0,3.677,2.344,0.868,0,0,4.98
200,28.24,0.0,0,3.1689999999999996,2.238,0.711,0,0,4.025
201,0.0,0.0,0,2.9419999999999997,1.9180000000000001,1.063,0,0,3.653
202,26.02,32.897,2,1.859,1.9180000000000001,0.917,1,0,5.167999999999999
203,20.23,42.683,1,1.859,1.9180000000000001,0.9490000000000001,0,0,3.76
204,45.82,50.747,0,2.241,2.108,0.9420000000000001,1,0,4.04
205,0.0,0.0,0,3.677,2.324,0.868,0,0,5.001
206,0.0,0.0,0,2.9419999999999997,1.9080000000000001,1.063,0,0,3.7910000000000004
207,20.23,42.683,1,1.859,1.9080000000000001,0.9490000000000001,0,0,3.863
208,84.32,125.10799999999999,2,0.139,2.748,1.2670000000000001,2,1,2.359
209,28.24,0.0,0,3.1689999999999996,2.224,0.711,0,0,4.756
210,0.0,0.0,0,2.459,1.475,1.5,0,0,4.002
211,0.0,0.0,0,1.672,1.225,0.562,0,0,3.28
212,35.53,47.145,0,4.579,3.875,0.927,0,1,8.067
213,17.07,25.145,0,1.442,1.5090000000000001,1.157,0,1,2.576
214,0.0,0.0,0,3.2910000000000004,1.5490000000000002,2.0,0,0,4.927
215,0.0,0.0,0,2.957,1.5090000000000001,0.5329999999999999,0,0,4.186
216,0.0,0.0,0,2.6039999999999996,1.475,0.505,0,0,3.46
217,0.0,44.88,0,2.419,1.5090000000000001,0.731,0,0,3.9539999999999997
218,0.0,0.0,0,6.166,2.9589999999999996,0.57,0,0,8.271
219,0.0,0.0,0,2.226,1.265,2.5,0,0,3.6430000000000002
220,0.0,0.0,0,1.817,1.225,0.502,0,0,3.2539999999999996
221,0.0,0.0,0,3.5580000000000003,1.9780000000000002,1.0,0,0,6.72
222,12.53,11.0,0,4.452,2.862,0.5429999999999999,0,0,6.507999999999999
223,60.98,61.403999999999996,0,3.429,2.7489999999999997,1.08,0,0,5.3
224,12.53,11.0,0,4.2139999999999995,2.687,0.504,0,0,6.21
225,0.0,0.0,0,5.124,2.515,0.456,0,0,6.777
226,0.0,0.0,0,5.468999999999999,2.573,0.465,0,0,6.622999999999999
227,0.0,0.0,0,2.081,1.401,0.501,0,0,3.485
228,0.0,0.0,0,1.672,1.334,0.562,0,0,2.642
229,0.0,0.0,0,2.6039999999999996,1.5590000000000002,0.664,0,0,3.655
230,0.0,0.0,0,2.6039999999999996,1.43,0.505,0,0,3.842
231,0.0,0.0,0,2.226,1.401,0.826,0,0,3.339
232,12.53,11.0,0,0.408,1.689,1.038,0,0,3.5869999999999997
233,0.0,0.0,0,2.081,1.5090000000000001,0.685,0,0,4.322
234,0.0,0.0,0,1.817,1.334,0.718,0,0,2.49
235,18.46,22.0,0,1.466,2.15,1.22,0,0,2.937
236,67.34,94.527,2,-0.297,1.604,1.682,0,0,3.0439999999999996
237,0.0,0.0,0,4.6339999999999995,2.0180000000000002,0.461,0,0,5.6
238,0.0,0.0,0,4.063,1.96,0.499,0,0,4.75
239,20.23,42.683,1,3.909,2.12,0.281,0,0,5.56
240,0.0,0.0,0,6.232,2.728,0.493,0,0,7.61
241,0.0,0.0,0,6.47,2.805,0.469,0,0,8.78
242,20.23,42.683,1,3.0460000000000003,2.0269999999999997,0.602,0,0,5.632000000000001
243,0.0,0.0,0,4.6339999999999995,2.0269999999999997,0.461,0,0,4.874
244,20.23,42.683,1,3.3139999999999996,2.0269999999999997,0.409,0,0,4.495
245,0.0,0.0,0,4.926,2.074,0.478,0,0,4.6739999999999995
246,26.02,32.897,2,3.3139999999999996,2.031,0.366,1,0,4.761
247,20.23,42.683,1,3.3139999999999996,2.031,0.409,0,0,4.864
248,0.0,0.0,0,6.47,2.821,0.469,0,0,8.44
249,0.0,0.0,0,5.472,2.676,0.5770000000000001,0,0,5.64
250,55.05,61.747,0,4.296,3.055,0.603,1,0,5.877999999999999
251,45.82,50.747,0,3.11,2.165,0.478,1,0,4.434
252,92.35,174.455,1,3.84,3.373,0.802,1,1,4.257
253,20.23,42.683,1,2.461,1.975,0.737,0,0,5.691
254,0.0,0.0,0,3.795,1.975,0.657,0,0,5.42
255,39.94,104.289,0,4.281000000000001,3.3569999999999998,1.002,3,0,4.713
256,0.0,0.0,0,4.063,1.975,0.499,0,0,4.83
257,26.02,32.897,2,2.7289999999999996,1.975,0.462,1,0,5.43
258,20.23,42.683,1,2.7289999999999996,1.975,0.5,0,0,4.797
259,45.82,50.747,0,3.11,2.16,0.478,1,0,4.66
260,0.0,0.0,0,5.989,2.733,0.529,0,0,6.989
261,26.02,32.897,2,2.7289999999999996,1.975,0.462,1,0,4.742
262,29.46,53.683,1,3.842,2.887,0.614,0,0,6.109
263,45.82,50.747,0,2.842,2.154,0.726,1,0,4.268
264,75.13,100.774,3,4.512,3.662,0.7020000000000001,5,0,6.65
265,0.0,0.0,0,3.478,1.9240000000000002,0.575,0,0,4.138
266,41.57,57.28,1,3.18,3.292,1.014,2,0,4.992
267,42.52,44.313,0,4.746,2.905,0.9159999999999999,0,0,4.711
268,45.82,50.747,0,2.509,2.119,0.617,1,0,4.31
269,0.0,0.0,0,5.472,2.7030000000000003,0.5770000000000001,0,0,6.209
270,0.0,0.0,0,4.416,2.605,0.723,0,0,5.626
271,0.0,0.0,0,5.989,2.758,0.529,0,0,8.16
272,0.0,0.0,0,5.989,2.7119999999999997,0.529,0,0,6.99
273,30.18,48.531000000000006,0,4.27,3.3539999999999996,0.867,3,0,6.212000000000001
274,0.0,0.0,0,3.945,2.344,0.6779999999999999,0,0,5.5
275,0.0,0.0,0,3.478,1.9180000000000001,0.575,0,0,4.303999999999999
276,45.82,50.747,0,2.509,2.108,0.617,1,0,3.84
277,0.0,0.0,0,4.416,2.591,0.723,0,0,5.641
278,0.0,0.0,0,3.945,2.324,0.6779999999999999,0,0,5.0089999999999995
279,0.0,0.0,0,2.8760000000000003,1.857,0.6990000000000001,0,0,3.918
280,0.0,0.0,0,3.478,1.9080000000000001,0.575,0,0,4.787
281,72.68,73.324,1,0.40299999999999997,2.355,1.4240000000000002,4,1,2.572
282,22.0,73.15,0,3.983,3.431,0.951,1,0,4.9
283,61.82,73.324,0,0.736,2.405,1.546,4,1,3.028
284,0.0,59.84,0,1.817,1.43,1.9880000000000002,0,0,2.0180000000000002
285,65.72,101.271,2,-0.23399999999999999,1.975,1.091,2,1,3.716
286,74.57,132.19299999999998,2,1.671,3.5010000000000003,1.095,3,1,3.742
287,43.24,59.409,0,4.396,3.542,0.91,3,0,4.579
288,39.72,65.971,1,3.2889999999999997,3.767,1.129,1,0,5.754
289,64.16,92.47,0,3.613,4.245,1.175,4,2,4.835
290,59.32,78.204,0,4.832,4.074,0.9620000000000001,1,2,8.582
291,59.32,123.084,0,4.217,4.111000000000001,0.9940000000000001,1,2,8.677999999999999
292,59.32,78.204,0,4.794,3.99,0.645,1,2,9.945
293,59.32,78.204,0,3.907,3.9339999999999997,0.9079999999999999,1,2,9.062999999999999
294,114.19,100.652,3,0.821,3.06,1.082,6,1,2.533
295,75.39,67.204,0,2.9810000000000003,2.784,1.072,1,2,6.475
296,98.18,62.119,0,0.7959999999999999,1.84,0.743,2,2,6.251
297,59.32,93.164,0,4.279,3.9619999999999997,0.907,1,2,9.133
298,59.32,78.204,0,4.115,3.9339999999999997,0.76,1,2,10.047
299,36.26,60.144,0,3.3,3.469,1.102,2,1,4.92
300,49.57,64.63,0,-0.259,1.989,1.103,3,1,3.34
301,237.75,223.047,8,0.083,3.2489999999999997,1.04,7,1,2.928
302,43.09,58.042,2,-0.38,1.401,1.151,1,1,2.6489999999999996
303,166.75,250.102,6,1.632,5.369,1.145,6,4,4.27
304,48.02,61.166000000000004,2,2.589,2.9189999999999996,0.826,2,0,4.234
305,43.09,58.042,2,2.481,2.133,0.506,1,1,2.3480000000000003
306,84.13,65.794,4,-1.4340000000000002,1.225,0.335,2,0,3.884
307,70.14,50.908,3,1.294,2.2030000000000003,0.591,2,0,3.4760000000000004
308,26.02,32.897,2,0.20199999999999999,1.334,1.347,1,0,3.133
309,52.04,65.794,4,-1.053,1.334,1.61,2,0,3.358
310,68.01,92.59299999999999,3,-0.28300000000000003,2.17,0.893,3,1,3.775
311,26.02,32.897,2,2.7289999999999996,1.979,0.462,1,0,5.16
312,26.02,32.897,2,3.3139999999999996,2.0180000000000002,0.366,1,0,5.43
313,26.02,32.897,2,2.127,1.9240000000000002,0.597,1,0,6.409
314,52.04,65.794,4,0.893,1.9180000000000001,0.732,2,0,4.263
315,26.02,32.897,2,1.506,1.857,0.815,1,0,5.371
316,90.37,131.635,3,0.332,2.7060000000000004,1.3130000000000002,3,1,2.072
317,129.62,165.834,6,2.7030000000000003,3.0780000000000003,0.775,7,0,4.404
318,12.53,11.0,0,-0.564,1.5,1.733,0,0,2.332
319,12.53,11.0,0,1.5330000000000001,2.274,1.026,0,0,4.018
320,74.92,138.783,1,3.16,2.827,1.14,2,1,5.301
321,26.3,81.025,0,5.4,3.9360000000000004,0.991,0,1,8.112
322,58.2,116.23200000000001,2,3.508,3.281,0.8029999999999999,2,1,7.8020000000000005
323,41.13,61.166000000000004,2,3.988,3.1689999999999996,0.627,2,0,7.478
324,17.07,25.145,0,4.912,2.659,0.491,0,0,6.394
325,34.14,50.29,0,1.415,2.074,1.1079999999999999,0,0,5.001
326,34.14,50.29,0,2.233,2.415,0.866,0,0,5.545
327,58.2,86.311,2,3.6519999999999997,3.557,1.237,2,2,4.249
328,37.3,67.828,1,3.696,3.117,1.149,0,0,5.17
329,73.22,61.166000000000004,2,-1.202,1.795,0.599,2,1,3.7689999999999997
330,120.73,148.22,1,0.096,2.964,1.16,4,1,3.508
331,41.13,61.166000000000004,2,-1.095,1.726,1.463,2,0,1.188
332,182.83,315.561,5,1.662,5.831,1.351,0,1,3.884
333,203.06,358.244,6,0.9570000000000001,5.8389999999999995,1.345,0,1,4.566
334,34.14,50.29,0,0.076,1.84,1.493,0,0,3.7880000000000003
335,20.31,28.269000000000002,0,-0.273,1.401,2.073,1,1,0.7040000000000001
336,77.76,153.195,3,0.5589999999999999,2.137,0.767,0,0,3.6689999999999996
337,17.07,25.145,0,1.7690000000000001,1.989,0.927,0,0,3.9760000000000004
338,66.05,93.43,1,1.348,2.09,0.784,1,0,4.024
339,32.67,47.536,0,3.2230000000000003,2.773,0.8809999999999999,2,0,4.4030000000000005
340,54.57,41.028,0,4.789,3.58,1.505,0,0,5.5120000000000005
341,87.08,111.60799999999999,1,1.749,3.6660000000000004,1.085,3,0,4.225
342,42.52,44.313,0,1.473,2.241,1.158,0,0,4.072
343,42.52,44.313,0,2.7769999999999997,2.6430000000000002,1.055,0,0,4.57
344,54.74,39.247,0,3.115,2.7060000000000004,0.946,0,0,6.075
345,80.74,61.166000000000004,2,-0.31,1.9180000000000001,0.578,2,1,4.221
346,30.21,36.145,0,2.265,2.344,0.9229999999999999,0,1,4.032
347,60.13,76.44800000000001,0,2.2880000000000003,2.8480000000000003,1.591,4,0,3.22
348,38.77,22.156,0,2.779,2.639,0.8590000000000001,0,0,4.001
349,118.65,210.6,1,3.773,3.759,0.95,1,2,4.501
350,54.37,92.973,1,3.3739999999999997,3.0610000000000004,0.91,0,1,3.5989999999999998
351,37.3,67.828,1,4.548,3.1010000000000004,1.137,0,1,4.56
352,115.14,206.609,3,-1.169,2.333,1.496,1,3,2.736
353,46.53,78.828,1,2.086,2.455,0.941,0,1,3.0469999999999997
354,46.53,78.828,1,2.354,2.455,0.743,0,1,3.783
355,104.06,189.34,3,1.929,3.197,1.021,0,2,4.187
356,57.53,110.512,2,1.643,2.09,0.8140000000000001,0,1,3.068
357,76.21,117.51100000000001,3,1.119,2.25,0.375,2,1,3.6439999999999997
358,50.94,76.132,1,3.77,3.091,1.081,3,0,4.01
359,67.79,107.839,2,2.347,3.2430000000000003,1.4,1,1,3.917
360,84.58,129.736,4,0.925,3.178,1.263,2,1,3.9019999999999997
361,81.95,157.061,4,1.358,3.325,1.248,1,0,3.2769999999999997
362,57.28,71.694,3,2.124,3.455,1.069,2,0,4.305
363,94.83,178.34,3,1.661,3.391,0.9420000000000001,0,0,3.9610000000000003
364,20.23,42.683,1,0.8,1.401,1.6980000000000002,0,0,1.82
365,20.23,42.683,1,1.209,1.43,0.47600000000000003,0,0,3.002
366,52.49,103.37700000000001,3,-0.917,1.84,1.75,1,0,2.957
367,40.46,85.367,2,-1.053,1.334,1.827,0,0,0.122
368,29.46,53.683,1,-0.081,1.6780000000000002,1.952,0,0,1.07
369,38.69,64.683,1,-0.129,2.15,1.9709999999999999,0,0,1.53
370,336.43,551.0980000000001,16,-5.199,4.3,1.3730000000000002,7,0,3.077
371,115.38,179.269,3,1.228,3.0389999999999997,0.787,2,1,3.025
372,347.32,571.952,18,-6.446000000000001,4.624,1.39,5,0,3.088
373,97.99,195.878,4,-1.204,2.214,1.0659999999999998,0,1,3.177
