,nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
10,10.0,12343.0,748.0,96.0,150.0,758.0,281.0,395.0,152.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,193.0,1.0,8553,231,154,150,187,308,620,643,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,282,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13961.0,1580.0,1088.0,240.0,685.0,128.0,905.0,581.0,413.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,223.0,1.0,2.0
11,11.0,8473.0,1415.0,1157.0,150.0,346.0,377.0,280.0,179.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,977.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11830.0,730.0,591.0,180.0,257.0,485.0,145.0,127.0,281.0,?,?,?,?,?,?,?,?,?,?,?,?,2880.0,20.0,1.0,1.0
12,12.0,9931.0,898.0,112.0,240.0,965.0,281.0,415.0,186.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,6715.0,11.0,1.0,11023,974,310,240,845,281,415,157,815,?,?,?,?,?,?,?,?,?,?,?,?,5160,47,1,9401,227,216,150,102,614,455,187,815,?,?,?,?,?,?,?,?,?,?,?,?,5005,869,1,4744.0,238.0,59.0,135.0,254.0,815.0,280.0,319.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,140.0,1.0,3.0
13,13.0,12666.0,3140.0,3004.0,240.0,324.0,445.0,995.0,808.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,200.0,1.0,7177,1499,733,300,1059,413,970,759,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1320,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,600.0,395.0,40.0,165.0,475.0,128.0,1275.0,1058.0,413.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,934.0,1.0,2.0
14,14.0,14132.0,142.0,136.0,240.0,182.0,456.0,1085.0,1093.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,550.0,289.0,1.0,12448,2331,1814,180,653,671,890,917,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1528,1,11408,447,538,180,36,468,935,987,349,?,?,?,?,?,?,?,?,?,?,?,?,385,693,1,3390.0,405.0,133.0,180.0,406.0,349.0,840.0,749.0,149.0,?,?,?,?,?,?,?,?,?,?,?,?,6680.0,164.0,1.0,3.0
15,15.0,13119.0,1081.0,413.0,180.0,859.0,753.0,1575.0,928.0,511.0,1014,1531,511,961,1282,815,?,?,?,?,?,?,9720.0,687.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11725.0,37994.0,36949.0,90.0,1075.0,815.0,1210.0,983.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,11.0,1.0,1.0
16,16.0,13572.0,778.0,254.0,420.0,894.0,349.0,1410.0,2375.0,548.0,?,?,?,?,?,?,?,?,?,?,?,?,320.0,580.0,1.0,5770,1191,792,420,792,349,1411,1353,548,?,?,?,?,?,?,?,?,?,?,?,?,604,2110,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4551.0,2931.0,2589.0,240.0,532.0,548.0,920.0,720.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,108.0,1.0,2.0
17,17.0,1388.0,27415.0,26485.0,90.0,963.0,815.0,1220.0,1027.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,5.0,1.0,13517,3366,1315,90,2099,485,1250,840,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,427,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2421.0,927.0,390.0,90.0,565.0,700.0,2320.0,1527.0,411.0,?,?,?,?,?,?,?,?,?,?,?,?,3420.0,1681.0,1.0,2.0
18,18.0,4697.0,671.0,140.0,240.0,713.0,815.0,280.0,381.0,153.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,2959.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1321.0,3180.0,1730.0,90.0,1590.0,153.0,1240.0,733.0,700.0,5,409,700,935,635,538,?,?,?,?,?,?,3780.0,1115.0,2.0,1.0
19,19.0,13297.0,5442.0,4568.0,120.0,934.0,236.0,420.0,260.0,815.0,495,655,815,810,688,441,?,?,?,?,?,?,5040.0,3013.0,2.0,10625,518,488,170,140,134,465,543,349,1210,1150,349,920,808,441,?,?,?,?,?,?,1175,1037,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2033.0,1317.0,1283.0,360.0,629.0,441.0,700.0,784.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,550.0,492.0,1.0,2.0
20,20.0,9481.0,327.0,167.0,90.0,278.0,579.0,1010.0,584.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,358.0,1.0,9455,302,53,90,268,579,1010,562,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,260,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11277.0,606.0,52.0,240.0,763.0,128.0,810.0,542.0,409.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,7005.0,1.0,2.0
21,21.0,5838.0,249.0,116.0,150.0,223.0,391.0,385.0,155.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,3160.0,3518.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10003.0,82.0,16.0,135.0,138.0,815.0,285.0,157.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,432.0,1.0,1.0
22,22.0,10613.0,2127.0,234.0,300.0,2158.0,332.0,705.0,783.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5400.0,1459.0,1.0,9378,47,34,150,100,614,455,189,815,?,?,?,?,?,?,?,?,?,?,?,?,5005,873,1,8092,1252,410,150,932,349,350,72,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,236,1,11117.0,139.0,34.0,240.0,292.0,815.0,945.0,867.0,403.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,2060.0,1.0,3.0
23,23.0,1363.0,287.0,172.0,150.0,179.0,746.0,870.0,828.0,349.0,905,983,349,4941,834,778,?,?,?,?,?,?,2735.0,3341.0,2.0,9350,813,426,330,659,349,5001,787,778,?,?,?,?,?,?,?,?,?,?,?,?,2854,2207,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9042.0,4583.0,4312.0,780.0,1057.0,778.0,1205.0,832.0,349.0,1360,1623,349,1075,808,757,?,?,?,?,?,?,1075.0,4090.0,2.0,2.0
24,24.0,4038.0,295.0,98.0,240.0,382.0,815.0,270.0,143.0,391.0,?,?,?,?,?,?,?,?,?,?,?,?,5070.0,2015.0,1.0,13373,921,389,300,814,628,910,1544,128,2855,2210,128,960,805,391,?,?,?,?,?,?,3960,1629,2,14188,3954,657,210,2422,233,330,947,281,1460,1868,281,810,949,391,?,?,?,?,?,?,3810,1569,2,5171.0,989.0,343.0,240.0,830.0,391.0,270.0,134.0,815.0,380,515,815,260,156,783,?,?,?,?,?,?,5100.0,1966.0,2.0,3.0
25,25.0,3091.0,692.0,72.0,270.0,851.0,349.0,930.0,1062.0,456.0,?,?,?,?,?,?,?,?,?,?,?,?,435.0,3613.0,1.0,6901,59,87,240,171,128,970,864,456,?,?,?,?,?,?,?,?,?,?,?,?,3960,122,1,1309,3204,820,240,2586,398,815,705,456,?,?,?,?,?,?,?,?,?,?,?,?,9700,213,1,324.0,1233.0,380.0,150.0,944.0,456.0,1030.0,821.0,128.0,925,1167,128,705,631,667,?,?,?,?,?,?,4230.0,5859.0,2.0,3.0
26,26.0,13510.0,1211.0,494.0,90.0,772.0,485.0,1250.0,897.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,4.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8957.0,860.0,525.0,90.0,368.0,700.0,1935.0,1424.0,431.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,1287.0,1.0,1.0
27,27.0,4991.0,115.0,51.0,240.0,227.0,476.0,975.0,731.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,6465.0,7.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9817.0,814.0,78.0,135.0,812.0,815.0,300.0,290.0,527.0,?,?,?,?,?,?,?,?,?,?,?,?,5100.0,24.0,1.0,1.0
28,28.0,11674.0,123.0,48.0,420.0,596.0,349.0,1240.0,1048.0,413.0,?,?,?,?,?,?,?,?,?,?,?,?,360.0,365.0,1.0,2270,1064,534,90,563,700,860,495,413,?,?,?,?,?,?,?,?,?,?,?,?,3780,1284,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5820.0,2741.0,2591.0,150.0,265.0,413.0,1000.0,761.0,128.0,640,862,128,95,183,391,?,?,?,?,?,?,4230.0,2649.0,2.0,2.0
29,29.0,7108.0,342.0,9.0,300.0,583.0,753.0,510.0,322.0,174.0,660,784,174,1155,1805,128,845,193,128,1500,939,815,3960.0,444.0,3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3618.0,1045.0,36.0,240.0,1195.0,815.0,995.0,884.0,671.0,?,?,?,?,?,?,?,?,?,?,?,?,4680.0,2.0,1.0,1.0
30,30.0,394.0,1024.0,892.0,420.0,559.0,815.0,845.0,726.0,809.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,2341.0,1.0,13723,56,24,240,241,128,785,516,809,?,?,?,?,?,?,?,?,?,?,?,?,3960,159,1,4861,16266,15981,240,512,128,780,521,809,?,?,?,?,?,?,?,?,?,?,?,?,3960,3513,1,12166.0,1545.0,1244.0,150.0,411.0,809.0,725.0,606.0,128.0,95,192,128,210,242,134,?,?,?,?,?,?,4170.0,2184.0,2.0,3.0
31,31.0,13559.0,139.0,10.0,240.0,305.0,476.0,975.0,818.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5040.0,786.0,1.0,144,216,87,240,310,476,985,741,815,?,?,?,?,?,?,?,?,?,?,?,?,6465,7,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4319.0,114.0,31.0,240.0,260.0,815.0,465.0,342.0,752.0,?,?,?,?,?,?,?,?,?,?,?,?,5760.0,33561.0,1.0,2.0
32,32.0,11152.0,509.0,283.0,240.0,429.0,398.0,1305.0,369.0,299.0,?,?,?,?,?,?,?,?,?,?,?,?,9040.0,588.0,1.0,8595,1768,1674,150,209,411,585,634,128,1530,1538,128,570,1248,299,?,?,?,?,?,?,4230,73,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9552.0,16955.0,16424.0,90.0,556.0,299.0,820.0,605.0,700.0,725,958,700,695,229,561,?,?,?,?,?,?,3780.0,4388.0,2.0,2.0
33,33.0,10315.0,136.0,93.0,135.0,166.0,815.0,295.0,201.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,111.0,1.0,5552,1082,950,240,321,476,915,758,128,165,399,128,1260,1276,485,?,?,?,?,?,?,3960,341,2,1781,141,83,150,176,128,110,122,485,?,?,?,?,?,?,?,?,?,?,?,?,4230,151,1,6793.0,1438.0,256.0,90.0,1209.0,485.0,1240.0,911.0,700.0,125,461,700,800,399,635,?,?,?,?,?,?,3780.0,3070.0,2.0,3.0
34,34.0,3104.0,3858.0,3529.0,90.0,702.0,671.0,815.0,524.0,700.0,3695,3647,700,1840,1346,308,?,?,?,?,?,?,3780.0,1121.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7418.0,1290.0,355.0,300.0,1310.0,308.0,805.0,672.0,256.0,?,?,?,?,?,?,?,?,?,?,?,?,2940.0,1257.0,1.0,1.0
35,35.0,3491.0,241.0,190.0,135.0,135.0,815.0,285.0,166.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,337.0,1.0,10825,1220,405,155,941,134,250,276,485,?,?,?,?,?,?,?,?,?,?,?,?,2880,591,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13507.0,7282.0,6225.0,90.0,1083.0,485.0,1250.0,850.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,1310.0,1.0,2.0
36,36.0,4535.0,5877.0,5505.0,240.0,584.0,548.0,920.0,157.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,859.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14151.0,1315.0,929.0,240.0,590.0,128.0,845.0,502.0,206.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,636.0,1.0,1.0
37,37.0,2172.0,2713.0,2080.0,90.0,697.0,700.0,1100.0,625.0,597.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,3734.0,1.0,2267,4843,3975,90,928,700,905,493,597,?,?,?,?,?,?,?,?,?,?,?,?,3780,19652,1,12789,1329,569,420,1150,349,1160,950,597,?,?,?,?,?,?,?,?,?,?,?,?,635,1314,1,5014.0,1048.0,163.0,180.0,1005.0,597.0,1050.0,981.0,815.0,600,668,815,260,192,134,?,?,?,?,?,?,5160.0,1421.0,2.0,3.0
38,38.0,11135.0,898.0,29.0,240.0,1049.0,597.0,950.0,773.0,349.0,1365,1485,349,927,894,556,?,?,?,?,?,?,393.0,529.0,2.0,2916,1213,1161,360,352,441,875,716,349,999,1042,349,928,937,556,?,?,?,?,?,?,1143,1137,2,11419,490,515,300,219,468,1115,946,349,2389,2438,349,928,937,556,?,?,?,?,?,?,1143,1125,2,1206.0,4654.0,4545.0,180.0,199.0,556.0,555.0,551.0,134.0,205,240,134,775,779,339,?,?,?,?,?,?,2820.0,1125.0,2.0,3.0
39,39.0,13641.0,14854.0,14484.0,300.0,688.0,555.0,735.0,719.0,371.0,?,?,?,?,?,?,?,?,?,?,?,?,1560.0,53.0,1.0,13608,3190,2084,300,1377,308,840,659,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,315,1,13585,385,77,300,639,555,805,710,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,44,1,7066.0,2920.0,2875.0,300.0,303.0,371.0,855.0,727.0,308.0,185,316,308,300,93,761,?,?,?,?,?,?,2100.0,1591.0,2.0,3.0
40,40.0,10206.0,1476.0,1147.0,240.0,525.0,798.0,740.0,596.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5590.0,1425.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7655.0,390.0,104.0,180.0,444.0,815.0,225.0,162.0,128.0,675,441,128,390,345,678,?,?,?,?,?,?,3960.0,6015.0,2.0,1.0
41,41.0,11942.0,112.0,73.0,120.0,99.0,256.0,980.0,1610.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5440.0,714.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13298.0,132.0,103.0,135.0,107.0,815.0,295.0,193.0,527.0,?,?,?,?,?,?,?,?,?,?,?,?,5100.0,68.0,1.0,1.0
42,42.0,9153.0,781.0,41.0,150.0,865.0,727.0,125.0,172.0,128.0,1845,1786,128,675,592,555,?,?,?,?,?,?,4200.0,3985.0,2.0,11932,139,197,180,62,256,980,1497,815,1485,979,815,685,670,555,?,?,?,?,?,?,5760,1202,2,1146,1320,1230,300,347,690,750,655,555,?,?,?,?,?,?,?,?,?,?,?,?,1560,1633,1,8022.0,14735.0,14618.0,300.0,396.0,555.0,740.0,536.0,371.0,?,?,?,?,?,?,?,?,?,?,?,?,1560.0,115.0,1.0,3.0
43,43.0,2315.0,22224.0,21475.0,90.0,1785.0,476.0,1120.0,871.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,354.0,1.0,1712,826,90,240,922,456,1015,795,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1025,1,4532,3355,3064,240,495,548,920,693,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,311,1,12677.0,2974.0,1028.0,90.0,1968.0,128.0,1430.0,1157.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,159.0,1.0,3.0
44,44.0,8251.0,1863.0,1181.0,90.0,712.0,308.0,1255.0,946.0,233.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,797.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7494.0,1540.0,1525.0,150.0,116.0,233.0,90.0,155.0,349.0,915,856,349,282,127,749,?,?,?,?,?,?,1178.0,1055.0,2.0,1.0
45,45.0,9962.0,990.0,248.0,240.0,925.0,281.0,415.0,204.0,815.0,?,?,?,?,?,?,?,?,?,?,?,?,5280.0,14.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9872.0,180.0,111.0,240.0,260.0,815.0,500.0,527.0,313.0,?,?,?,?,?,?,?,?,?,?,?,?,6000.0,7497.0,1.0,1.0
