,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
46,47,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0
47,48,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0
48,49,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0
49,50,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0
50,51,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0
51,52,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0
52,53,2010,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,8,0
53,54,2010,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,9,0
54,55,2010,1,3,6,91.0,-10,-8.0,1024.0,SE,80.9,10,0
55,56,2010,1,3,7,86.0,-10,-9.0,1024.0,SE,84.92,11,0
56,57,2010,1,3,8,82.0,-10,-9.0,1024.0,SE,89.84,12,0
57,58,2010,1,3,9,86.0,-11,-9.0,1023.0,SE,93.86,13,0
58,59,2010,1,3,10,78.0,-11,-9.0,1023.0,SE,97.88,15,0
59,60,2010,1,3,11,98.0,-11,-9.0,1022.0,SE,102.8,16,0
60,61,2010,1,3,12,107.0,-11,-9.0,1021.0,SE,105.93,17,0
61,62,2010,1,3,13,90.0,-11,-9.0,1020.0,SE,111.74,19,0
62,63,2010,1,3,14,96.0,-11,-9.0,1020.0,SE,116.66,20,0
63,64,2010,1,3,15,95.0,-11,-9.0,1020.0,SE,121.58,21,0
64,65,2010,1,3,16,86.0,-11,-9.0,1020.0,SE,124.71,22,0
65,66,2010,1,3,17,70.0,-11,-9.0,1020.0,SE,127.84,23,0
66,67,2010,1,3,18,61.0,-11,-9.0,1021.0,cv,0.89,24,0
67,68,2010,1,3,19,53.0,-11,-9.0,1022.0,cv,1.78,25,0
68,69,2010,1,3,20,71.0,-10,-9.0,1022.0,NW,4.02,26,0
69,70,2010,1,3,21,72.0,-11,-10.0,1023.0,NW,7.15,27,0
70,71,2010,1,3,22,76.0,-11,-9.0,1023.0,NW,11.17,0,0
71,72,2010,1,3,23,73.0,-12,-11.0,1023.0,NW,14.3,0,0
72,73,2010,1,4,0,79.0,-14,-12.0,1023.0,NW,16.09,0,0
73,74,2010,1,4,1,58.0,-16,-9.0,1023.0,NW,21.9,0,0
74,75,2010,1,4,2,25.0,-17,-10.0,1024.0,NW,29.95,0,0
75,76,2010,1,4,3,26.0,-18,-11.0,1024.0,NW,39.78,0,0
76,77,2010,1,4,4,28.0,-19,-11.0,1025.0,NW,48.72,0,0
77,78,2010,1,4,5,26.0,-20,-12.0,1026.0,NW,55.87,0,0
78,79,2010,1,4,6,20.0,-21,-12.0,1027.0,NW,64.81,0,0
79,80,2010,1,4,7,29.0,-21,-13.0,1027.0,NW,73.75,0,0
80,81,2010,1,4,8,26.0,-22,-13.0,1028.0,NW,80.9,0,0
81,82,2010,1,4,9,27.0,-22,-13.0,1029.0,NW,90.73,0,0
82,83,2010,1,4,10,27.0,-22,-12.0,1030.0,NW,100.56,0,0
83,84,2010,1,4,11,25.0,-23,-12.0,1031.0,NW,108.61,0,0
84,85,2010,1,4,12,29.0,-21,-11.0,1030.0,NW,117.55,0,0
85,86,2010,1,4,13,32.0,-20,-10.0,1030.0,NW,127.38,0,0
86,87,2010,1,4,14,28.0,-21,-10.0,1030.0,NW,136.32,0,0
87,88,2010,1,4,15,29.0,-21,-9.0,1030.0,NW,145.26,0,0
88,89,2010,1,4,16,30.0,-21,-9.0,1031.0,NW,152.41,0,0
89,90,2010,1,4,17,30.0,-20,-11.0,1032.0,NW,159.56,0,0
90,91,2010,1,4,18,28.0,-23,-11.0,1032.0,NW,165.37,0,0
91,92,2010,1,4,19,26.0,-21,-12.0,1033.0,NW,171.18,0,0
92,93,2010,1,4,20,31.0,-24,-12.0,1034.0,NW,180.12,0,0
93,94,2010,1,4,21,33.0,-24,-13.0,1034.0,NW,187.27,0,0
94,95,2010,1,4,22,29.0,-24,-13.0,1035.0,NW,195.32,0,0
95,96,2010,1,4,23,31.0,-26,-15.0,1035.0,NW,198.45,0,0
96,97,2010,1,5,0,30.0,-26,-17.0,1035.0,NW,201.58,0,0
97,98,2010,1,5,1,34.0,-26,-18.0,1035.0,NW,205.6,0,0
98,99,2010,1,5,2,27.0,-26,-19.0,1035.0,NW,208.73,0,0
99,100,2010,1,5,3,25.0,-27,-18.0,1035.0,NW,213.65,0,0
100,101,2010,1,5,4,28.0,-27,-19.0,1035.0,NW,218.57,0,0
101,102,2010,1,5,5,28.0,-27,-16.0,1034.0,NE,4.92,0,0
102,103,2010,1,5,6,27.0,-26,-16.0,1035.0,NE,8.05,0,0
103,104,2010,1,5,7,27.0,-27,-16.0,1034.0,NE,13.86,0,0
104,105,2010,1,5,8,27.0,-26,-16.0,1035.0,NE,18.78,0,0
105,106,2010,1,5,9,29.0,-26,-15.0,1035.0,NE,24.59,0,0
106,107,2010,1,5,10,36.0,-25,-14.0,1035.0,NE,29.51,0,0
107,108,2010,1,5,11,30.0,-25,-13.0,1035.0,NE,34.43,0,0
108,109,2010,1,5,12,27.0,-25,-12.0,1034.0,NE,39.35,0,0
109,110,2010,1,5,13,39.0,-24,-11.0,1032.0,NE,41.14,0,0
110,111,2010,1,5,14,41.0,-22,-11.0,1032.0,cv,0.89,0,0
111,112,2010,1,5,15,33.0,-23,-11.0,1031.0,NW,1.79,0,0
112,113,2010,1,5,16,50.0,-24,-11.0,1031.0,NW,3.58,0,0
113,114,2010,1,5,17,56.0,-23,-11.0,1031.0,NW,5.37,0,0
114,115,2010,1,5,18,59.0,-23,-11.0,1032.0,NW,7.16,0,0
115,116,2010,1,5,19,60.0,-22,-13.0,1033.0,NW,10.29,0,0
116,117,2010,1,5,20,84.0,-22,-12.0,1033.0,NW,13.42,0,0
117,118,2010,1,5,21,106.0,-24,-18.0,1033.0,NW,16.55,0,0
118,119,2010,1,5,22,66.0,-22,-13.0,1034.0,NW,20.57,0,0
119,120,2010,1,5,23,50.0,-22,-16.0,1033.0,NW,23.7,0,0
120,121,2010,1,6,0,56.0,-25,-17.0,1033.0,NW,26.83,0,0
121,122,2010,1,6,1,77.0,-25,-14.0,1033.0,NE,4.02,0,0
122,123,2010,1,6,2,50.0,-26,-14.0,1034.0,NE,8.04,0,0
123,124,2010,1,6,3,44.0,-26,-14.0,1033.0,NE,13.85,0,0
124,125,2010,1,6,4,27.0,-26,-14.0,1033.0,NE,17.87,0,0
125,126,2010,1,6,5,28.0,-26,-14.0,1033.0,NE,23.68,0,0
126,127,2010,1,6,6,21.0,-26,-14.0,1033.0,NE,28.6,0,0
127,128,2010,1,6,7,25.0,-26,-15.0,1034.0,NE,33.52,0,0
128,129,2010,1,6,8,20.0,-26,-14.0,1034.0,NE,39.33,0,0
129,130,2010,1,6,9,29.0,-25,-13.0,1035.0,NE,44.25,0,0
130,131,2010,1,6,10,34.0,-25,-12.0,1035.0,NE,50.06,0,0
131,132,2010,1,6,11,42.0,-24,-11.0,1035.0,NE,54.98,0,0
132,133,2010,1,6,12,28.0,-24,-10.0,1034.0,NE,59.0,0,0
133,134,2010,1,6,13,36.0,-22,-10.0,1033.0,NW,4.02,0,0
134,135,2010,1,6,14,48.0,-22,-9.0,1033.0,NW,5.81,0,0
135,136,2010,1,6,15,49.0,-22,-8.0,1033.0,cv,0.89,0,0
136,137,2010,1,6,16,52.0,-22,-8.0,1033.0,NW,1.79,0,0
137,138,2010,1,6,17,56.0,-21,-9.0,1033.0,NW,3.58,0,0
138,139,2010,1,6,18,96.0,-22,-9.0,1033.0,NW,5.37,0,0
139,140,2010,1,6,19,75.0,-22,-14.0,1034.0,cv,0.89,0,0
140,141,2010,1,6,20,105.0,-22,-12.0,1035.0,NW,1.79,0,0
141,142,2010,1,6,21,132.0,-21,-14.0,1034.0,NW,3.58,0,0
142,143,2010,1,6,22,93.0,-22,-16.0,1035.0,NW,5.37,0,0
143,144,2010,1,6,23,131.0,-21,-16.0,1035.0,NW,7.16,0,0
144,145,2010,1,7,0,127.0,-21,-16.0,1035.0,NW,8.95,0,0
145,146,2010,1,7,1,130.0,-21,-16.0,1035.0,cv,0.45,0,0
146,147,2010,1,7,2,43.0,-22,-18.0,1036.0,cv,1.34,0,0
147,148,2010,1,7,3,37.0,-23,-15.0,1036.0,NW,4.02,0,0
148,149,2010,1,7,4,30.0,-24,-16.0,1035.0,NW,7.15,0,0
149,150,2010,1,7,5,28.0,-25,-15.0,1035.0,NW,10.28,0,0
150,151,2010,1,7,6,24.0,-24,-15.0,1035.0,NW,14.3,0,0
151,152,2010,1,7,7,23.0,-25,-13.0,1036.0,NE,4.92,0,0
152,153,2010,1,7,8,24.0,-24,-14.0,1036.0,NW,4.02,0,0
153,154,2010,1,7,9,27.0,-23,-12.0,1036.0,NW,8.94,0,0
154,155,2010,1,7,10,40.0,-22,-11.0,1036.0,NW,12.96,0,0
155,156,2010,1,7,11,42.0,-20,-10.0,1036.0,NW,16.09,0,0
156,157,2010,1,7,12,42.0,-21,-9.0,1035.0,NW,19.22,0,0
157,158,2010,1,7,13,55.0,-21,-8.0,1034.0,NW,21.01,0,0
158,159,2010,1,7,14,52.0,-20,-7.0,1033.0,NW,22.8,0,0
159,160,2010,1,7,15,51.0,-20,-7.0,1032.0,NW,24.59,0,0
160,161,2010,1,7,16,57.0,-18,-8.0,1032.0,NW,26.38,0,0
161,162,2010,1,7,17,50.0,-19,-9.0,1032.0,NW,28.17,0,0
162,163,2010,1,7,18,54.0,-19,-11.0,1032.0,NE,0.89,0,0
163,164,2010,1,7,19,67.0,-18,-11.0,1033.0,NW,1.79,0,0
164,165,2010,1,7,20,106.0,-19,-15.0,1032.0,NE,1.79,0,0
165,166,2010,1,7,21,159.0,-19,-14.0,1032.0,cv,0.45,0,0
166,167,2010,1,7,22,198.0,-21,-14.0,1032.0,cv,1.34,0,0
167,168,2010,1,7,23,190.0,-21,-16.0,1032.0,cv,2.23,0,0
168,169,2010,1,8,0,210.0,-21,-17.0,1031.0,NW,1.79,0,0
169,170,2010,1,8,1,195.0,-19,-16.0,1031.0,NW,3.58,0,0
170,171,2010,1,8,2,275.0,-20,-16.0,1031.0,NE,0.89,0,0
171,172,2010,1,8,3,164.0,-19,-15.0,1030.0,SE,0.89,0,0
172,173,2010,1,8,4,110.0,-18,-15.0,1030.0,cv,0.45,0,0
173,174,2010,1,8,5,100.0,-18,-15.0,1029.0,cv,1.34,0,0
174,175,2010,1,8,6,81.0,-18,-15.0,1029.0,NW,1.79,0,0
175,176,2010,1,8,7,71.0,-16,-13.0,1029.0,NE,0.89,0,0
176,177,2010,1,8,8,66.0,-16,-12.0,1029.0,SE,0.89,0,0
177,178,2010,1,8,9,92.0,-16,-12.0,1030.0,SE,1.78,0,0
178,179,2010,1,8,10,135.0,-17,-10.0,1030.0,NE,0.89,0,0
179,180,2010,1,8,11,155.0,-16,-10.0,1029.0,cv,0.89,0,0
180,181,2010,1,8,12,198.0,-16,-9.0,1028.0,SE,3.13,0,0
181,182,2010,1,8,13,250.0,-15,-8.0,1026.0,SE,4.92,0,0
182,183,2010,1,8,14,200.0,-16,-8.0,1026.0,cv,0.89,0,0
183,184,2010,1,8,15,231.0,-16,-8.0,1025.0,cv,1.78,0,0
184,185,2010,1,8,16,250.0,-16,-8.0,1025.0,cv,2.67,0,0
185,186,2010,1,8,17,212.0,-17,-8.0,1025.0,SE,0.89,0,0
186,187,2010,1,8,18,219.0,-17,-9.0,1026.0,cv,0.45,0,0
187,188,2010,1,8,19,227.0,-17,-11.0,1026.0,cv,1.34,0,0
188,189,2010,1,8,20,226.0,-17,-12.0,1026.0,cv,1.79,0,0
189,190,2010,1,8,21,225.0,-18,-14.0,1027.0,NW,1.79,0,0
190,191,2010,1,8,22,168.0,-16,-9.0,1027.0,NW,4.92,0,0
191,192,2010,1,8,23,169.0,-16,-11.0,1027.0,NW,6.71,0,0
192,193,2010,1,9,0,165.0,-17,-13.0,1027.0,cv,0.89,0,0
193,194,2010,1,9,1,159.0,-17,-13.0,1027.0,NW,3.13,0,0
194,195,2010,1,9,2,167.0,-17,-14.0,1027.0,NW,4.92,0,0
195,196,2010,1,9,3,196.0,-17,-15.0,1027.0,NW,8.05,0,0
196,197,2010,1,9,4,169.0,-17,-13.0,1027.0,NW,9.84,0,0
197,198,2010,1,9,5,155.0,-19,-16.0,1027.0,NW,13.86,0,0
198,199,2010,1,9,6,119.0,-18,-15.0,1027.0,NW,17.88,0,0
199,200,2010,1,9,7,106.0,-19,-15.0,1027.0,NW,21.9,0,0
200,201,2010,1,9,8,93.0,-18,-14.0,1028.0,NW,25.92,0,0
201,202,2010,1,9,9,84.0,-18,-9.0,1029.0,NE,5.81,0,0
202,203,2010,1,9,10,73.0,-17,-7.0,1029.0,NE,11.62,0,0
203,204,2010,1,9,11,66.0,-17,-6.0,1030.0,NE,17.43,0,0
204,205,2010,1,9,12,40.0,-16,-6.0,1029.0,NE,23.24,0,0
205,206,2010,1,9,13,49.0,-16,-5.0,1029.0,NE,28.16,0,0
206,207,2010,1,9,14,50.0,-15,-4.0,1029.0,NE,33.08,0,0
207,208,2010,1,9,15,49.0,-14,-4.0,1028.0,NE,37.1,0,0
208,209,2010,1,9,16,41.0,-15,-4.0,1029.0,NE,38.89,0,0
209,210,2010,1,9,17,37.0,-15,-4.0,1030.0,NW,1.79,0,0
210,211,2010,1,9,18,45.0,-15,-7.0,1030.0,NE,3.13,0,0
211,212,2010,1,9,19,44.0,-15,-6.0,1031.0,NW,3.13,0,0
212,213,2010,1,9,20,54.0,-15,-7.0,1032.0,NW,4.92,0,0
213,214,2010,1,9,21,50.0,-15,-6.0,1032.0,NE,3.13,0,0
214,215,2010,1,9,22,47.0,-15,-8.0,1033.0,cv,0.45,0,0
215,216,2010,1,9,23,66.0,-15,-8.0,1033.0,cv,0.9,0,0
216,217,2010,1,10,0,75.0,-15,-11.0,1033.0,NW,0.89,0,0
217,218,2010,1,10,1,82.0,-17,-13.0,1033.0,NW,1.78,0,0
218,219,2010,1,10,2,66.0,-17,-12.0,1033.0,NW,4.91,0,0
219,220,2010,1,10,3,83.0,-17,-13.0,1033.0,NW,8.04,0,0
220,221,2010,1,10,4,62.0,-19,-14.0,1032.0,NW,9.83,0,0
221,222,2010,1,10,5,40.0,-18,-13.0,1032.0,NW,12.96,0,0
222,223,2010,1,10,6,23.0,-19,-13.0,1032.0,NW,16.09,0,0
223,224,2010,1,10,7,25.0,-19,-14.0,1033.0,NW,19.22,0,0
224,225,2010,1,10,8,27.0,-19,-14.0,1034.0,NW,22.35,0,0
225,226,2010,1,10,9,35.0,-17,-12.0,1033.0,NW,24.14,0,0
226,227,2010,1,10,10,50.0,-16,-7.0,1033.0,NE,4.02,0,0
227,228,2010,1,10,11,70.0,-15,-7.0,1033.0,NW,3.13,0,0
228,229,2010,1,10,12,75.0,-15,-7.0,1032.0,NW,6.26,0,0
229,230,2010,1,10,13,58.0,-14,-6.0,1031.0,NW,9.39,0,0
230,231,2010,1,10,14,70.0,-14,-6.0,1031.0,NW,12.52,0,0
231,232,2010,1,10,15,68.0,-13,-5.0,1030.0,NW,14.31,0,0
232,233,2010,1,10,16,71.0,-14,-5.0,1031.0,NW,16.1,0,0
233,234,2010,1,10,17,88.0,-14,-6.0,1031.0,NW,19.23,0,0
234,235,2010,1,10,18,84.0,-13,-7.0,1032.0,NW,23.25,0,0
235,236,2010,1,10,19,83.0,-15,-6.0,1032.0,NW,27.27,0,0
236,237,2010,1,10,20,66.0,-15,-6.0,1033.0,NW,30.4,0,0
237,238,2010,1,10,21,27.0,-15,-4.0,1034.0,NW,35.32,0,0
238,239,2010,1,10,22,24.0,-16,-4.0,1034.0,NW,44.26,0,0
239,240,2010,1,10,23,22.0,-17,-5.0,1035.0,NW,52.31,0,0
240,241,2010,1,11,0,23.0,-17,-6.0,1035.0,NW,60.36,0,0
241,242,2010,1,11,1,27.0,-17,-8.0,1035.0,cv,0.89,0,0
242,243,2010,1,11,2,23.0,-19,-11.0,1036.0,NW,4.02,0,0
243,244,2010,1,11,3,17.0,-20,-11.0,1036.0,NW,8.94,0,0
244,245,2010,1,11,4,17.0,-21,-11.0,1035.0,NE,4.02,0,0
245,246,2010,1,11,5,16.0,-22,-12.0,1035.0,NW,3.13,0,0
246,247,2010,1,11,6,16.0,-22,-12.0,1035.0,NE,4.92,0,0
247,248,2010,1,11,7,20.0,-22,-13.0,1036.0,NW,5.81,0,0
248,249,2010,1,11,8,20.0,-22,-9.0,1036.0,NW,13.86,0,0
249,250,2010,1,11,9,18.0,-22,-10.0,1036.0,NW,21.91,0,0
250,251,2010,1,11,10,25.0,-22,-9.0,1036.0,NW,29.06,0,0
251,252,2010,1,11,11,26.0,-21,-9.0,1036.0,NW,33.08,0,0
252,253,2010,1,11,12,27.0,-20,-6.0,1035.0,NW,42.02,0,0
253,254,2010,1,11,13,28.0,-19,-5.0,1034.0,NW,50.96,0,0
254,255,2010,1,11,14,15.0,-19,-5.0,1033.0,NW,59.01,0,0
255,256,2010,1,11,15,24.0,-20,-5.0,1033.0,NW,66.16,0,0
256,257,2010,1,11,16,13.0,-20,-5.0,1032.0,NW,71.97,0,0
257,258,2010,1,11,17,13.0,-20,-5.0,1033.0,NW,76.89,0,0
258,259,2010,1,11,18,13.0,-20,-7.0,1033.0,NW,81.81,0,0
259,260,2010,1,11,19,17.0,-22,-7.0,1033.0,NW,85.83,0,0
260,261,2010,1,11,20,20.0,-22,-8.0,1033.0,NW,89.85,0,0
261,262,2010,1,11,21,27.0,-23,-10.0,1033.0,NW,91.64,0,0
262,263,2010,1,11,22,20.0,-23,-13.0,1033.0,NW,93.43,0,0
263,264,2010,1,11,23,15.0,-22,-12.0,1032.0,cv,0.89,0,0
264,265,2010,1,12,0,21.0,-22,-15.0,1031.0,cv,1.78,0,0
265,266,2010,1,12,1,21.0,-22,-14.0,1031.0,NE,1.79,0,0
266,267,2010,1,12,2,37.0,-22,-14.0,1031.0,NW,0.89,0,0
267,268,2010,1,12,3,26.0,-24,-18.0,1030.0,NE,1.79,0,0
268,269,2010,1,12,4,15.0,-24,-13.0,1030.0,NE,3.58,0,0
269,270,2010,1,12,5,9.0,-25,-14.0,1030.0,NW,3.13,0,0
270,271,2010,1,12,6,11.0,-24,-14.0,1030.0,NW,7.15,0,0
271,272,2010,1,12,7,11.0,-25,-12.0,1030.0,NW,12.96,0,0
272,273,2010,1,12,8,16.0,-26,-14.0,1030.0,NW,16.98,0,0
273,274,2010,1,12,9,13.0,-25,-12.0,1031.0,NW,21.0,0,0
274,275,2010,1,12,10,15.0,-25,-11.0,1031.0,NW,26.81,0,0
275,276,2010,1,12,11,21.0,-24,-11.0,1030.0,NW,35.75,0,0
276,277,2010,1,12,12,24.0,-23,-11.0,1029.0,NW,47.82,0,0
277,278,2010,1,12,13,22.0,-22,-11.0,1029.0,NW,63.02,0,0
278,279,2010,1,12,14,22.0,-23,-11.0,1029.0,NW,75.98,0,0
279,280,2010,1,12,15,22.0,-22,-11.0,1029.0,NW,88.05,0,0
280,281,2010,1,12,16,19.0,-23,-11.0,1030.0,NW,101.01,0,0
281,282,2010,1,12,17,23.0,-24,-11.0,1030.0,NW,109.06,0,0
282,283,2010,1,12,18,25.0,-24,-11.0,1032.0,NW,118.0,0,0
283,284,2010,1,12,19,25.0,-23,-11.0,1032.0,NW,126.05,0,0
284,285,2010,1,12,20,31.0,-23,-12.0,1032.0,NW,134.1,0,0
285,286,2010,1,12,21,25.0,-24,-12.0,1033.0,NW,142.15,0,0
286,287,2010,1,12,22,22.0,-23,-12.0,1033.0,NW,150.2,0,0
287,288,2010,1,12,23,22.0,-23,-12.0,1034.0,NW,160.03,0,0
288,289,2010,1,13,0,15.0,-24,-12.0,1034.0,NW,169.86,0,0
289,290,2010,1,13,1,16.0,-24,-12.0,1033.0,NW,178.8,0,0
290,291,2010,1,13,2,11.0,-25,-12.0,1033.0,NW,189.98,0,0
291,292,2010,1,13,3,11.0,-24,-13.0,1033.0,NW,198.03,0,0
292,293,2010,1,13,4,12.0,-25,-12.0,1032.0,NW,205.18,0,0
293,294,2010,1,13,5,11.0,-25,-12.0,1033.0,NW,215.01,0,0
294,295,2010,1,13,6,12.0,-25,-12.0,1032.0,NW,226.19,0,0
295,296,2010,1,13,7,27.0,-25,-12.0,1032.0,NW,235.13,0,0
296,297,2010,1,13,8,28.0,-25,-12.0,1032.0,NW,243.18,0,0
297,298,2010,1,13,9,34.0,-23,-11.0,1033.0,NW,252.12,0,0
298,299,2010,1,13,10,33.0,-23,-10.0,1033.0,NW,257.93,0,0
299,300,2010,1,13,11,36.0,-22,-9.0,1033.0,NW,263.74,0,0
300,301,2010,1,13,12,26.0,-21,-8.0,1031.0,NW,270.89,0,0
301,302,2010,1,13,13,49.0,-21,-6.0,1030.0,NW,278.94,0,0
302,303,2010,1,13,14,52.0,-20,-5.0,1029.0,NW,286.99,0,0
303,304,2010,1,13,15,47.0,-22,-5.0,1028.0,NW,294.14,0,0
304,305,2010,1,13,16,47.0,-21,-5.0,1028.0,NW,299.06,0,0
305,306,2010,1,13,17,39.0,-19,-7.0,1028.0,SE,1.79,0,0
306,307,2010,1,13,18,59.0,-19,-8.0,1028.0,cv,0.45,0,0
307,308,2010,1,13,19,76.0,-20,-9.0,1028.0,cv,1.34,0,0
308,309,2010,1,13,20,96.0,-19,-10.0,1027.0,SE,1.79,0,0
309,310,2010,1,13,21,95.0,-19,-13.0,1027.0,cv,0.89,0,0
310,311,2010,1,13,22,68.0,-18,-12.0,1027.0,cv,1.78,0,0
311,312,2010,1,13,23,65.0,-18,-13.0,1027.0,NE,0.89,0,0
312,313,2010,1,14,0,75.0,-18,-14.0,1026.0,NE,1.78,0,0
313,314,2010,1,14,1,257.0,-20,-15.0,1025.0,NE,2.67,0,0
314,315,2010,1,14,2,174.0,-20,-15.0,1025.0,NW,0.89,0,0
315,316,2010,1,14,3,164.0,-20,-16.0,1025.0,NW,1.78,0,0
316,317,2010,1,14,4,161.0,-20,-16.0,1024.0,NW,3.57,0,0
317,318,2010,1,14,5,137.0,-21,-17.0,1024.0,NW,6.7,0,0
318,319,2010,1,14,6,92.0,-19,-14.0,1023.0,NW,10.72,0,0
319,320,2010,1,14,7,64.0,-21,-17.0,1023.0,NW,13.85,0,0
320,321,2010,1,14,8,87.0,-19,-15.0,1024.0,NW,15.64,0,0
321,322,2010,1,14,9,87.0,-19,-14.0,1024.0,NW,18.77,0,0
322,323,2010,1,14,10,84.0,-18,-10.0,1024.0,NW,22.79,0,0
323,324,2010,1,14,11,95.0,-17,-9.0,1023.0,NW,24.58,0,0
324,325,2010,1,14,12,79.0,-16,-6.0,1023.0,NW,26.37,0,0
325,326,2010,1,14,13,75.0,-17,-5.0,1022.0,NW,28.16,0,0
326,327,2010,1,14,14,79.0,-16,-5.0,1022.0,NW,29.95,0,0
327,328,2010,1,14,15,86.0,-15,-4.0,1022.0,NW,33.08,0,0
328,329,2010,1,14,16,72.0,-16,-4.0,1023.0,cv,0.89,0,0
329,330,2010,1,14,17,89.0,-15,-5.0,1025.0,SE,1.79,0,0
330,331,2010,1,14,18,94.0,-14,-3.0,1026.0,NW,5.81,0,0
331,332,2010,1,14,19,69.0,-16,-3.0,1027.0,NW,11.62,0,0
332,333,2010,1,14,20,49.0,-15,-4.0,1029.0,NW,20.56,0,0
333,334,2010,1,14,21,33.0,-16,-5.0,1031.0,NW,24.58,0,0
334,335,2010,1,14,22,27.0,-17,-6.0,1032.0,NE,3.13,0,0
335,336,2010,1,14,23,20.0,-18,-6.0,1033.0,NE,8.05,0,0
336,337,2010,1,15,0,36.0,-19,-7.0,1034.0,NE,13.86,0,0
337,338,2010,1,15,1,37.0,-17,-8.0,1035.0,NW,5.81,0,0
338,339,2010,1,15,2,30.0,-18,-10.0,1035.0,NW,11.62,0,0
339,340,2010,1,15,3,18.0,-19,-10.0,1036.0,NW,14.75,0,0
