,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
36,None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369
37,None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312
38,None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367
39,None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835
40,None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726
41,None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689
42,None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990
43,None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985
44,None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309
45,None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603
46,None,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884
47,None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104
48,None,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178
49,None,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501
50,None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713
51,None,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292
52,None,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057
53,None,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907
54,None,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503
55,None,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037
56,None,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822
57,None,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992
58,None,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166
59,None,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627
60,None,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388
61,None,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368
62,None,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489
63,None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537
64,None,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628
65,None,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534
66,None,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403
67,None,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770
68,None,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217
69,None,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870
70,None,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967
71,None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108
72,None,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128
73,None,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069
74,None,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169
75,None,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384
76,None,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063
77,None,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364
78,None,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971
79,None,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450
80,None,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832
81,None,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231
82,None,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718
83,None,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545
84,None,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411
85,None,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688
86,None,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
87,None,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072
88,None,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342
89,None,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258
90,None,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861
91,None,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191
92,None,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669
93,None,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074
94,None,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025
95,None,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153
96,None,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024
97,None,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779
98,None,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362
99,None,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860
100,None,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160
101,None,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992
102,None,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202
103,None,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941
104,None,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233
105,None,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323
106,None,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312
107,None,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627
108,None,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508
109,None,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539
110,None,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232
111,None,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568
112,None,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624
113,None,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529
114,None,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139
115,None,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640
116,None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589
117,None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429
118,None,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329
119,None,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833
120,None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015
121,None,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382
122,None,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815
123,None,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110
124,None,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555
125,None,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959
126,Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455
127,None,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336
128,None,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265
129,None,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314
130,None,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779
131,None,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571
132,None,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563
133,None,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676
134,None,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966
135,None,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832
136,None,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395
137,None,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411
138,None,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648
139,None,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602
140,None,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125
141,None,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502
142,None,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979
143,None,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663
144,None,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259
145,None,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069
146,None,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378
147,None,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030
148,None,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400
149,None,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917
150,None,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515
151,None,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302
152,None,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251
153,None,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798
154,None,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678
155,None,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733
156,None,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449
157,None,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765
158,None,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599
159,None,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534
160,None,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691
161,None,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067
162,None,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030
163,None,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300
164,None,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777
165,None,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349
166,None,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127
167,None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460
168,None,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418
169,None,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775
170,None,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306
171,None,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846
172,None,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947
173,None,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494
174,None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332
175,None,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261
176,None,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361
177,None,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875
178,None,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793
179,None,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793
180,None,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283
181,None,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283
182,None,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680
183,None,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680
184,None,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632
185,None,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887
186,None,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030
187,None,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067
188,None,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227
189,None,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610
190,None,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286
191,None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775
192,None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340
193,None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013
194,None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,2603
195,None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,1910
196,None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037
197,None,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,347
198,None,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,350
199,None,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,850
200,None,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,2791
201,None,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809
202,None,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,6798
203,None,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,6304
204,None,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291
205,None,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,4638
206,None,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,5557
207,None,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818
208,None,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,6272
209,None,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,5944
210,None,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949
211,None,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,3511
212,None,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,3039
213,None,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,2679
214,None,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,2094
215,None,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284
216,None,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,630
217,None,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,410
218,None,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,331
219,None,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,372
220,None,282.26,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,739
221,None,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,2561
222,None,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586
223,None,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,6992
224,None,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,5860
225,None,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230
226,None,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,4864
227,None,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,5146
228,None,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526
229,None,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,5383
230,None,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,5758
231,None,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889
232,None,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,6057
233,None,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,6028
234,None,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257
235,None,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897
236,None,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,1335
237,None,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,769
238,None,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,570
239,None,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,413
240,None,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,399
241,None,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,740
242,None,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420
243,None,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,2220
244,None,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,3479
245,None,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546
246,None,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,4579
247,None,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,4438
248,None,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623
249,None,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,4440
250,None,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,4495
251,None,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483
252,None,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,4591
253,None,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,4477
254,None,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221
255,None,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 19:00:00,3672
256,None,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13 20:00:00,3015
257,None,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13 21:00:00,2769
258,None,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 22:00:00,2875
259,None,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,1931
260,None,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 00:00:00,1309
261,None,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 01:00:00,870
262,None,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 02:00:00,654
263,None,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 03:00:00,364
264,None,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 04:00:00,262
265,None,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 05:00:00,505
266,None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,861
267,None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 07:00:00,1132
268,None,282.24,0.0,0.0,57,Mist,mist,2012-10-14 08:00:00,1797
269,None,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685
270,None,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685
271,None,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685
272,None,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,3370
273,None,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,3370
274,None,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,3662
275,None,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,3662
276,None,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076
277,None,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076
278,None,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076
279,None,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,4128
280,None,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,4128
281,None,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,4128
282,None,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,4358
283,None,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,4358
284,None,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,4358
285,None,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,4342
286,None,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,4342
287,None,284.68,0.0,0.0,93,Mist,mist,2012-10-14 16:00:00,4234
288,None,284.64,0.0,0.0,93,Rain,light rain,2012-10-14 17:00:00,4271
289,None,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,4271
290,None,284.4,0.0,0.0,93,Mist,mist,2012-10-14 18:00:00,4080
291,None,284.17,0.0,0.0,93,Mist,mist,2012-10-14 19:00:00,3453
292,None,284.03,0.0,0.0,93,Mist,mist,2012-10-14 20:00:00,2718
293,None,283.58,0.0,0.0,93,Mist,mist,2012-10-14 21:00:00,2439
294,None,283.04,0.0,0.0,93,Mist,mist,2012-10-14 22:00:00,1819
295,None,281.95,0.0,0.0,93,Mist,mist,2012-10-14 23:00:00,1002
296,None,281.95,0.0,0.0,93,Fog,fog,2012-10-14 23:00:00,1002
297,None,281.61,0.0,0.0,93,Mist,mist,2012-10-15 00:00:00,542
298,None,281.61,0.0,0.0,93,Fog,fog,2012-10-15 00:00:00,542
299,None,281.57,0.0,0.0,85,Fog,fog,2012-10-15 01:00:00,303
300,None,281.42,0.0,0.0,85,Fog,fog,2012-10-15 02:00:00,239
301,None,281.29,0.0,0.0,85,Mist,mist,2012-10-15 03:00:00,335
302,None,281.29,0.0,0.0,85,Fog,fog,2012-10-15 03:00:00,335
303,None,281.02,0.0,0.0,85,Mist,mist,2012-10-15 04:00:00,810
304,None,281.02,0.0,0.0,85,Fog,fog,2012-10-15 04:00:00,810
305,None,280.82,0.0,0.0,85,Mist,mist,2012-10-15 05:00:00,2606
306,None,280.82,0.0,0.0,85,Fog,fog,2012-10-15 05:00:00,2606
307,None,280.39,0.0,0.0,85,Mist,mist,2012-10-15 06:00:00,5714
308,None,280.19,0.0,0.0,100,Mist,mist,2012-10-15 07:00:00,6798
309,None,279.82,0.0,0.0,100,Mist,mist,2012-10-15 08:00:00,6114
310,None,279.75,0.0,0.0,100,Mist,mist,2012-10-15 09:00:00,5094
311,None,280.07,0.0,0.0,100,Mist,mist,2012-10-15 10:00:00,4473
312,None,280.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-15 11:00:00,4529
