,AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1,PU2,PU3,PEU1,PEU2,PEU3,ENJ1,ENJ2,Qu1,Qu2,Qu3,Qu4,Qu5,Vis1,Vis2,Vis3,Im1,Im2,Im3,SA1,SA2,SA3,Use1,Use2,Use3,Use4,Use5,Pf1,Pf2,Pf3,JR1,JR2,BI1,BI2,Inc1,Inc2,Inc3,Inc4,Exp1,Exp2,Exp3,Exp4,Exp5
42,36,0,5,1,14,1,2,?,?,0,3,3,3,4,?,2,3,5,2,2,1,5,1,2,1,1,1,5,2,5,5,5,1,1,1,1,1,1,1,1,5,5,1,2,5,1,1,5,1,1,2,1,2
43,39,0,1,1,10,1,2,?,?,0,3,3,4,4,4,?,4,3,4,4,4,2,4,?,?,3,2,2,3,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,2,2,4,4,4,2,1,?
44,35,0,4,1,7,1,2,?,?,0,4,4,4,3,4,3,4,4,2,3,3,3,3,2,3,2,3,4,2,5,2,4,2,3,3,3,3,4,4,4,4,1,3,3,4,3,3,3,4,3,4,3,3
45,33,0,6,1,7,1,2,?,?,0,3,3,3,4,4,3,3,4,4,4,3,3,4,3,3,1,3,3,3,4,4,4,1,1,2,2,3,1,3,2,4,3,3,3,4,3,3,3,2,2,3,1,3
46,33,0,6,0,5,1,4,?,?,0,5,4,5,4,5,3,4,3,4,5,5,4,?,3,3,1,3,5,3,5,5,4,1,1,1,1,3,1,1,3,5,3,3,3,2,2,1,2,2,2,4,1,2
47,34,0,4,1,11,1,2,?,?,0,3,4,4,5,5,4,5,4,4,4,3,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,4,3,4,4,?,4,4,4,4,1,2
48,59,0,2,1,36,1,1,?,?,0,4,4,4,4,4,3,4,3,4,4,3,3,5,4,3,3,3,3,3,5,5,5,4,3,4,4,4,4,2,4,4,2,4,4,4,3,3,5,4,4,4,1,2
49,36,0,4,1,9,1,2,?,?,0,3,3,4,5,4,3,4,4,2,1,1,3,3,4,4,2,3,5,3,5,5,5,1,1,2,2,3,1,2,2,5,2,3,3,4,2,1,4,2,2,3,1,2
50,34,0,4,1,7,1,2,?,?,0,3,3,3,5,5,4,2,4,2,4,2,3,2,2,4,1,3,4,3,4,4,4,1,1,3,3,4,1,2,1,4,1,2,2,4,2,4,2,2,2,2,1,5
51,41,0,6,1,15,1,3,?,?,0,3,3,2,4,4,2,3,4,2,3,3,4,2,4,3,2,2,4,3,4,4,4,2,2,2,2,3,3,4,3,4,4,2,2,4,4,3,2,2,2,2,1,4
52,43,0,5,0,19,1,4,?,?,0,2,3,3,4,4,2,4,4,3,3,2,2,3,2,2,1,2,2,2,4,4,4,2,2,2,2,3,2,2,3,4,3,2,2,3,3,3,3,2,3,3,1,1
53,43,0,3,0,4,1,4,?,?,0,2,2,2,3,2,3,4,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,1,1,2,2,2,2,3,1,4,4,2,2,3,3,3,3,2,2,2,1,2
54,32,0,4,1,8,1,2,?,?,0,3,4,4,5,4,4,5,5,4,4,4,3,5,4,4,1,3,5,4,5,5,5,2,1,2,2,5,2,1,4,3,3,3,3,4,4,3,4,4,5,5,1,4
55,32,0,4,0,7,1,4,?,?,0,4,3,3,5,4,3,5,5,3,4,2,5,4,3,4,1,3,5,2,5,4,4,1,1,1,1,2,1,1,1,4,1,2,2,2,5,1,5,1,2,4,1,1
56,52,0,1,1,10,1,3,?,?,1,2,2,4,5,4,2,3,4,4,4,2,4,1,2,4,1,2,4,3,4,4,2,1,1,4,3,4,1,1,1,4,3,2,4,4,5,3,3,4,5,5,2,3
57,31,0,6,1,10,1,3,?,?,0,4,5,4,5,5,4,5,5,4,4,3,2,4,4,3,2,3,4,4,5,4,5,3,4,4,5,4,1,2,2,4,4,5,4,5,4,4,5,5,5,5,1,2
58,37,0,6,1,11,1,3,?,?,0,2,3,3,4,4,3,3,3,2,3,2,4,3,3,3,1,2,4,2,5,5,5,2,1,2,2,3,1,1,3,4,4,3,3,3,5,2,3,2,2,2,1,1
59,33,0,4,1,5,1,3,?,?,0,2,3,4,3,4,3,4,4,4,4,3,2,3,2,3,2,2,4,2,3,4,4,2,1,2,3,2,2,1,2,3,1,2,3,5,5,5,5,4,4,4,1,3
60,32,0,1,0,2,1,5,?,?,0,4,4,5,4,4,5,5,4,3,5,3,2,4,3,3,4,4,5,4,5,5,5,3,3,4,4,4,5,1,3,5,5,3,4,5,2,2,4,4,5,3,2,4
61,52,0,6,1,23,1,2,?,?,1,3,3,3,5,4,4,3,4,4,4,3,3,3,4,4,1,2,3,2,4,5,5,2,3,3,3,4,4,3,4,2,2,3,3,4,4,4,4,3,3,4,2,5
62,62,0,1,1,17,1,2,?,?,1,4,4,5,5,4,4,3,3,5,5,3,3,4,2,3,5,2,2,2,4,4,4,4,5,5,4,4,5,4,4,3,2,4,5,3,5,3,4,5,5,3,4,4
63,50,0,1,0,15,1,3,?,?,0,3,2,3,4,4,3,4,4,3,2,3,4,4,4,3,3,3,?,2,4,4,4,3,2,4,4,4,2,2,2,4,2,4,4,5,5,3,3,4,5,2,1,2
64,42,0,6,1,20,1,2,?,?,0,4,3,4,4,3,4,5,5,3,4,3,4,3,4,4,2,2,2,2,4,4,4,3,3,4,3,4,4,4,4,3,2,4,4,4,3,3,4,3,4,4,2,2
65,43,0,6,1,20,1,2,?,?,0,5,4,5,4,3,2,4,4,3,4,3,2,4,2,3,3,2,4,3,4,4,5,2,1,4,4,5,1,1,1,4,3,4,5,3,4,3,3,4,4,4,1,1
66,44,0,6,1,17,1,2,?,?,0,3,4,4,4,4,3,4,4,4,4,4,2,4,3,3,2,3,4,3,4,4,5,1,1,1,1,3,1,1,1,4,3,3,3,4,4,4,3,2,2,4,1,3
67,41,0,4,1,?,1,3,?,?,0,4,4,4,2,3,1,4,3,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,4,4,3,3,3,5,4,4,4,1,4
68,50,0,1,1,23,1,2,?,?,1,5,5,5,5,5,4,5,5,4,4,4,2,5,5,3,4,2,2,4,5,4,4,3,4,4,4,4,3,1,4,2,2,5,5,5,4,3,4,4,5,4,2,4
69,48,0,1,1,16,1,2,?,?,0,5,5,5,4,4,4,4,4,4,4,3,2,3,4,3,1,4,3,4,5,5,5,1,4,4,4,4,5,5,3,5,5,5,5,5,5,1,1,5,5,5,1,4
70,47,0,6,1,17,1,2,?,?,0,5,4,4,4,4,4,4,4,4,4,3,2,3,3,4,2,3,3,4,4,4,4,2,1,2,2,4,2,3,3,4,2,3,4,4,5,4,3,3,4,4,1,2
71,51,0,1,1,13,1,2,?,?,0,3,2,2,2,2,?,3,2,5,4,2,3,4,?,?,2,2,3,?,4,5,5,3,3,4,?,4,4,1,2,4,2,4,4,5,5,5,4,4,5,5,1,1
72,46,0,5,1,13,1,2,?,?,1,?,?,?,5,4,3,4,4,3,3,2,5,3,?,?,1,2,5,?,5,5,4,1,1,1,2,3,3,4,4,?,?,?,?,4,4,4,?,2,?,4,2,1
73,42,0,3,1,12,1,3,?,?,0,2,3,4,3,4,3,4,4,3,3,3,3,4,3,4,2,2,4,3,4,5,5,2,1,2,2,3,1,4,3,5,5,1,2,1,1,2,1,3,4,4,1,2
74,44,0,4,1,17,1,2,?,?,0,2,4,4,4,4,?,3,?,4,4,4,2,?,?,?,3,?,?,?,4,?,?,3,?,3,?,4,1,1,1,?,?,2,?,1,1,1,1,4,4,4,1,4
75,53,1,1,1,6,1,2,?,?,0,2,2,2,4,4,3,3,3,2,4,2,3,2,2,3,1,1,1,1,3,3,3,1,1,2,2,3,3,3,2,5,5,3,2,5,5,5,5,2,4,4,1,3
76,39,1,6,1,16,1,2,?,?,0,2,4,3,4,4,?,4,4,3,3,4,4,3,?,?,1,2,?,?,4,4,4,2,1,?,?,4,1,3,2,5,2,?,3,4,3,?,4,3,2,2,1,1
77,42,1,6,0,17,1,3,?,?,0,2,3,3,4,3,3,3,4,3,3,3,4,2,3,3,1,2,4,3,4,4,4,2,2,2,2,3,1,2,3,4,4,3,3,4,4,4,4,3,3,4,2,2
78,46,1,4,1,15,1,3,?,?,0,4,1,4,5,4,4,1,4,2,2,1,2,1,?,3,1,1,3,?,5,2,3,1,1,1,1,2,2,2,3,2,2,2,2,4,4,4,?,3,4,3,1,2
79,47,1,6,0,20,1,3,?,?,0,3,3,3,5,4,5,4,4,4,4,4,3,3,3,5,1,2,3,2,4,5,4,1,1,1,1,3,1,1,1,3,3,2,2,4,3,3,1,1,1,4,1,1
80,39,1,6,1,18,1,3,?,?,0,2,3,2,4,4,2,3,2,4,3,3,4,3,3,2,1,2,2,1,4,4,5,1,1,1,1,3,4,4,3,3,2,2,3,2,5,4,4,2,3,3,1,1
81,38,1,1,1,12,1,3,?,?,0,3,4,3,5,?,2,4,4,4,4,3,3,3,3,2,2,2,3,3,4,4,4,3,2,3,3,3,3,2,1,3,2,3,3,5,5,5,5,4,4,2,2,3
82,43,1,6,0,14,1,2,?,?,0,3,2,2,4,4,3,4,4,3,3,4,2,3,3,3,1,2,4,3,5,5,5,1,1,1,1,3,1,2,2,5,3,3,3,3,5,3,5,2,3,5,1,4
83,42,1,6,0,3,1,4,?,?,0,2,2,2,5,3,5,5,5,2,3,2,2,2,2,5,1,2,4,1,5,5,4,1,1,1,1,2,2,3,3,5,5,3,3,4,4,4,4,2,2,2,1,5
84,46,1,4,1,16,1,3,?,?,0,3,3,3,4,4,3,4,3,3,4,3,3,3,2,3,2,2,4,3,4,3,4,3,2,3,2,3,2,2,3,4,2,4,4,4,4,4,4,4,3,4,2,3
85,40,1,6,1,12,1,3,?,?,0,3,3,3,4,4,4,4,4,3,3,3,2,4,4,3,2,2,3,2,5,5,5,2,2,3,3,4,3,3,3,4,3,4,4,4,4,3,3,4,5,5,2,4
86,48,1,1,1,16,1,2,?,?,0,3,3,3,5,5,2,4,3,3,3,3,4,2,2,4,2,3,3,3,5,4,4,3,3,4,1,3,1,1,1,3,2,2,4,4,1,1,5,4,5,4,1,3
87,36,1,6,1,10,1,2,?,?,0,2,1,3,5,5,4,3,3,4,4,4,3,4,3,3,2,3,4,4,4,4,4,3,2,4,4,4,3,2,3,4,4,4,4,3,3,3,3,4,5,5,2,2
88,37,1,6,1,10,1,2,?,?,1,4,3,3,5,5,4,4,4,4,4,4,5,3,2,4,1,2,2,4,5,5,5,2,2,3,3,4,2,4,2,4,1,3,3,2,4,2,1,3,3,4,2,5
89,50,1,4,1,20,1,2,?,?,0,2,2,2,5,4,5,3,?,3,3,3,5,3,1,1,2,3,5,5,5,5,5,1,1,1,1,5,1,3,1,5,1,3,3,3,3,3,3,2,4,5,1,2
90,43,1,4,1,16,1,3,?,?,1,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4
91,49,1,6,1,25,1,2,?,?,0,3,3,3,4,5,3,3,3,4,4,2,2,3,3,3,2,2,2,4,4,4,4,3,2,3,3,2,2,2,2,4,3,3,3,4,4,4,4,4,4,4,2,2
92,35,1,6,1,11,1,3,?,?,0,2,3,3,5,3,?,3,4,3,3,1,?,3,1,?,1,1,4,4,3,3,5,1,1,1,2,1,1,2,1,4,3,1,1,?,?,3,1,3,3,3,1,2
93,46,1,3,1,22,1,2,?,?,0,4,3,3,3,5,3,3,2,4,4,2,3,5,4,3,1,2,4,4,2,2,2,1,3,1,1,4,1,1,1,5,4,3,2,4,5,4,4,1,4,4,1,4
94,40,1,6,1,15,1,2,?,?,0,4,4,4,2,5,3,3,4,3,4,3,3,5,5,5,3,3,3,5,5,4,5,4,4,5,4,5,2,5,4,4,4,5,5,5,5,5,5,4,4,4,2,5
95,35,1,6,0,6,1,3,?,?,0,3,3,4,5,5,?,5,5,4,5,4,3,4,?,?,1,?,5,?,5,5,5,2,1,1,1,3,1,1,1,5,5,3,3,5,4,5,5,4,4,5,1,1
96,41,1,6,1,18,1,2,?,?,0,2,2,3,4,3,4,4,2,2,2,2,2,2,2,2,2,2,4,2,2,5,3,2,?,2,2,2,2,2,2,4,3,3,2,2,2,2,2,4,4,3,2,3
97,41,1,6,1,15,1,2,?,?,0,4,3,4,4,4,2,4,3,2,3,2,4,3,2,2,1,2,2,2,4,4,4,1,1,2,1,3,2,2,2,3,3,2,2,4,4,4,2,2,4,4,1,3
98,55,1,1,1,9,1,2,?,?,1,4,4,4,4,4,4,3,3,3,3,3,2,3,4,3,1,3,2,3,4,4,5,4,2,4,2,4,2,1,2,4,4,4,4,5,5,5,5,4,4,4,3,5
99,45,1,5,0,17,1,4,?,?,0,2,2,3,4,4,3,3,3,3,3,2,3,3,3,3,1,2,2,2,3,3,3,1,1,1,1,2,?,2,2,4,4,2,2,4,4,4,4,2,3,3,1,3
100,45,1,1,1,18,1,2,?,?,0,2,2,3,5,5,4,4,5,4,3,3,4,4,4,?,2,1,2,3,5,5,5,2,2,2,2,4,2,3,3,5,2,3,3,5,5,5,5,2,4,5,1,1
101,37,1,6,1,9,1,2,?,?,0,4,3,3,3,5,4,3,4,4,4,3,3,3,5,4,4,4,4,4,5,5,5,3,1,3,3,4,3,4,4,5,4,4,4,5,5,4,5,4,4,4,1,4
102,35,1,6,0,11,1,4,?,?,0,2,2,2,5,3,3,?,3,2,2,3,4,1,2,3,1,1,4,1,4,4,2,1,1,1,2,1,1,2,4,3,3,2,1,5,4,4,4,1,1,2,1,1
103,33,1,5,0,10,1,4,?,?,0,2,3,3,4,4,3,4,4,3,3,3,2,2,3,3,1,1,2,1,3,3,3,1,1,1,1,2,1,2,1,4,3,3,1,5,4,4,5,1,4,4,1,1
104,44,1,1,1,?,1,2,?,?,0,1,2,2,5,5,3,2,2,2,2,2,4,1,1,3,1,1,3,2,5,4,4,1,1,2,1,3,3,3,2,5,3,1,1,4,2,2,2,2,3,2,1,5
105,38,1,6,0,8,1,3,?,?,0,3,2,2,4,4,3,4,4,3,4,3,5,2,3,4,1,1,4,2,4,4,5,1,1,1,1,3,1,1,1,5,3,2,3,4,4,4,3,3,3,4,1,1
106,48,1,5,1,14,1,2,?,?,0,2,3,3,5,5,2,4,3,3,3,3,5,4,5,3,1,2,4,2,5,4,5,1,3,1,1,1,1,2,3,5,2,2,3,5,2,2,4,2,5,3,1,2
107,44,1,1,1,15,1,2,?,?,0,3,3,5,5,4,3,3,5,3,3,3,4,3,3,4,1,1,2,2,5,5,5,2,1,3,2,3,5,5,3,5,4,4,4,5,5,5,5,5,5,2,1,3
108,33,1,6,1,?,1,3,?,?,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,4,3,4,3,2,3,3,2,3
109,40,1,3,1,2,1,3,?,?,0,3,3,3,5,4,3,3,4,3,3,3,4,4,4,4,2,2,3,2,4,4,5,2,3,2,2,3,3,3,3,4,2,2,3,3,2,2,5,3,4,4,2,4
110,29,1,4,0,5,1,4,?,?,0,3,3,2,5,3,4,4,4,3,4,3,4,4,3,4,2,3,4,2,4,4,4,1,1,2,2,3,3,4,4,5,4,3,3,4,4,3,3,2,4,4,2,5
111,32,1,1,1,3,1,3,?,?,0,3,3,3,4,5,3,4,4,4,4,4,3,4,4,3,1,2,2,2,4,4,4,3,1,3,3,4,3,3,3,3,3,4,4,5,5,4,3,4,4,4,1,1
112,35,1,6,0,7,1,3,?,?,0,3,3,3,5,5,3,4,4,3,4,4,3,3,5,3,1,2,4,3,4,5,4,1,1,2,2,3,2,5,4,5,5,3,3,5,5,5,4,2,4,4,1,1
113,34,1,1,1,?,1,2,?,?,0,2,2,3,5,4,4,4,3,3,3,2,1,2,3,3,1,1,3,1,3,3,3,1,1,1,1,2,1,1,1,5,4,2,1,3,3,3,2,2,2,3,1,4
114,38,1,6,1,13,1,3,?,?,0,3,3,2,5,5,2,4,4,3,5,3,2,2,3,2,1,4,5,4,5,5,5,1,1,3,1,4,2,4,1,5,1,2,2,5,5,5,5,3,3,3,1,1
115,41,1,6,1,11,1,3,?,?,0,4,4,4,5,3,5,5,5,3,3,3,3,4,4,4,1,3,2,2,4,5,5,2,1,2,2,4,2,2,2,5,5,4,3,2,5,2,4,3,4,2,1,4
116,31,1,1,0,5,1,4,?,?,0,5,5,5,5,5,4,5,5,4,4,4,2,4,4,4,4,2,2,4,5,5,5,4,1,4,4,5,4,2,4,4,1,4,4,3,4,3,5,5,5,5,1,2
117,42,1,1,0,4,1,4,?,?,0,1,1,1,5,2,?,4,3,2,2,2,4,1,1,?,1,1,3,3,3,3,4,1,1,1,1,2,1,1,3,4,4,1,1,1,3,2,1,1,2,4,1,1
118,33,1,1,0,8,1,4,?,?,0,5,3,3,4,5,4,4,4,3,3,3,5,5,5,4,1,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,5,4,5,5,5,5,5,2,3,3,1,3
119,40,1,1,1,5,1,3,?,?,0,5,5,5,5,5,?,4,5,4,4,4,1,5,5,4,4,3,3,4,5,5,5,4,2,5,2,5,1,3,2,5,3,5,5,5,5,5,5,5,5,5,1,2
120,31,1,1,1,5,1,3,?,?,1,4,4,4,3,5,3,5,5,4,4,3,3,5,5,4,3,4,5,3,5,5,5,2,1,3,3,4,2,3,5,4,4,3,3,5,5,4,3,5,5,5,2,3
121,31,1,6,0,3,1,4,?,?,0,3,3,2,4,4,4,4,3,2,2,2,4,2,3,3,1,2,4,2,4,3,4,1,2,1,2,2,2,3,2,4,3,3,2,3,3,3,2,2,2,4,2,2
122,30,1,5,0,2,1,4,?,?,0,3,3,4,3,3,3,4,4,3,3,3,4,4,3,3,2,4,5,4,4,4,4,2,3,3,3,4,3,3,2,5,3,3,3,4,4,4,3,4,4,4,2,2
123,59,1,6,1,20,1,1,?,?,1,4,4,5,5,5,4,4,4,4,3,3,1,3,4,1,3,?,?,?,?,?,?,3,5,5,5,?,3,3,3,3,3,5,4,5,1,1,4,4,5,5,3,3
